feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bacteria.Candidatus.Melainabacteria	source	Canis_lupus	-3.88113971070311	0.129992115474045	27	27	1.72066814253832e-20	4.12960354209197e-19
Bacteria.Candidatus.Melainabacteria	source	Homo_sapiens	-3.30742312348637	0.129992115474045	27	27	7.13958548151831e-19	8.56750257782197e-18
Bacteria.Fusobacteria	source	Canis_lupus	7.00873346679842	0.335734495900523	27	26	6.75686633980313e-17	5.4054930718425e-16
Bacteria.Synergistetes	source	Canis_lupus	-1.78313171179707	0.0954928850950037	27	9	8.45571555313183e-16	4.05874346550328e-15
Bacteria.Synergistetes	source	Homo_sapiens	-1.78313171179707	0.0954928850950037	27	9	8.45571555313183e-16	4.05874346550328e-15
Bacteria.Lentisphaerae	source	Canis_lupus	-1.35713727182045	0.0741328317784435	27	9	1.31980626862088e-15	4.52505006384305e-15
Bacteria.Lentisphaerae	source	Homo_sapiens	-1.35713727182045	0.0741328317784435	27	9	1.31980626862089e-15	4.52505006384305e-15
Bacteria.Deferribacteres	source	Canis_lupus	1.54113574826358	0.0994374884413561	27	9	5.3160044715808e-14	1.59480134147424e-13
Bacteria.Verrucomicrobia	source	Canis_lupus	-7.53301631675482	0.495210179792764	27	16	7.99758424183042e-14	2.13268913115478e-13
Bacteria.Verrucomicrobia	source	Homo_sapiens	-6.86707015236365	0.495210179792764	27	16	5.92666527786619e-13	1.42239966668789e-12
Bacteria.Tenericutes	source	Homo_sapiens	-3.11502152395077	0.243231508434072	27	18	3.21210429278445e-12	7.00822754789334e-12
Bacteria.Bacteroidetes	source	Canis_lupus	-2.10496485875847	0.204787118436447	27	27	2.8652294596602e-10	5.7304589193204e-10
Bacteria.Proteobacteria	source	Canis_lupus	1.68606213004829	0.172431563474254	27	27	7.60440528693689e-10	1.40389020681912e-09
Bacteria.Bacteroidetes	source	Homo_sapiens	1.47107394539409	0.204787118436447	27	27	2.00877413863837e-07	3.44361280909434e-07
Bacteria.Firmicutes	source	Homo_sapiens	-0.13092527260659	0.0217692705807277	27	27	3.2902245982726e-06	5.26435935723615e-06
Bacteria.Tenericutes	source	Canis_lupus	-1.09527545474012	0.243231508434072	27	18	0.000146976508349074	0.000220464762523611
Bacteria.Proteobacteria	source	Homo_sapiens	0.580742440852932	0.172431563474254	27	27	0.00255055051870798	0.00360077720288186
Bacteria.Cyanobacteria	source	Canis_lupus	-0.48398985382213	0.20525304866762	27	3	0.0268604923391825	0.0339290429547568
Bacteria.Cyanobacteria	source	Homo_sapiens	-0.48398985382213	0.20525304866762	27	3	0.0268604923391825	0.0339290429547568
Bacteria.Fusobacteria	source	Homo_sapiens	0.718685205922764	0.335734495900523	27	26	0.0426691881930368	0.0512030258316441
Bacteria.Firmicutes	source	Canis_lupus	0.0276731231497392	0.0217692705807277	27	27	0.215839860621861	0.246674126424984
