family	SRTP_A_F1_210317_ZHMW	SRTP_A_F1_210317_ZMB	SRTP_A_F1_210330_ZHMW	SRTP_A_F1_210330_ZMB	SRTP_A_F1_210415_ZHMW	SRTP_A_F1_210415_ZMB	SRTP_A_F1_210705_ZHMW	SRTP_A_F1_210705_ZMB	SRTP_A_F1_210903_ZHMW	SRTP_A_F1_210903_ZMB	SRTP_A_F1_211203_ZHMW	SRTP_A_F1_211203_ZMB	SRTP_A_F2_210316_ZHMW	SRTP_A_F2_210316_ZMB	SRTP_A_F2_210401_ZHMW	SRTP_A_F2_210401_ZMB	SRTP_A_F2_210413_ZHMW	SRTP_A_F2_210413_ZMB	SRTP_A_F2_210705_ZHMW	SRTP_A_F2_210705_ZMB	SRTP_A_F3_210317_ZHMW	SRTP_A_F3_210317_ZMB	SRTP_A_F3_210401_ZHMW	SRTP_A_F3_210401_ZMB	SRTP_A_F3_210413_ZHMW	SRTP_A_F3_210413_ZMB	SRTP_A_F3_210704_ZHMW	SRTP_A_F3_210704_ZMB	SRTP_A_F3_210803_ZHMW	SRTP_A_F3_210803_ZMB	SRTP_A_F3_211003_ZHMW	SRTP_A_F3_211003_ZMB	SRTP_A_F3_211203_ZHMW	SRTP_A_F3_211203_ZMB	SRTP_A_F4_210317_ZHMW	SRTP_A_F4_210317_ZMB	SRTP_A_F4_210330_ZHMW	SRTP_A_F4_210330_ZMB	SRTP_A_F4_210413_ZHMW	SRTP_A_F4_210413_ZMB	SRTP_A_F4_210704_ZHMW	SRTP_A_F4_210704_ZMB	SRTP_A_F4_211203_ZHMW	SRTP_A_F4_211203_ZMB	SRTP_A_M1_210317_ZHMW	SRTP_A_M1_210317_ZMB	SRTP_A_M1_210412_ZHMW	SRTP_A_M1_210412_ZMB	SRTP_A_M1_210415_ZHMW	SRTP_A_M1_210415_ZMB	SRTP_A_M1_210705_ZHMW	SRTP_A_M1_210705_ZMB	SRTP_A_M1_210903_ZHMW	SRTP_A_M1_210903_ZMB	SRTP_A_M2_210317_ZHMW	SRTP_A_M2_210317_ZMB	SRTP_A_M2_210330_ZHMW	SRTP_A_M2_210330_ZMB	SRTP_A_M2_210415_ZHMW	SRTP_A_M2_210415_ZMB	SRTP_A_M2_210704_ZHMW	SRTP_A_M2_210704_ZMB	SRTP_A_M2_210803_ZHMW	SRTP_A_M2_210803_ZMB	SRTP_A_M2_211203_ZHMW	SRTP_A_M2_211203_ZMB	SRTP_A_M3_210414_ZHMW	SRTP_A_M3_210414_ZMB	SRTP_A_M3_210903_ZHMW	SRTP_A_M3_210903_ZMB	SRTP_A_M3_211203_ZHMW	SRTP_A_M3_211203_ZMB	SRTP_A_M4_210317_ZHMW	SRTP_A_M4_210317_ZMB	SRTP_A_M4_210401_ZHMW	SRTP_A_M4_210401_ZMB	SRTP_A_M4_210704_ZHMW	SRTP_A_M4_210704_ZMB	SRTP_A_M4_210803_ZHMW	SRTP_A_M4_210803_ZMB
Erysipelotrichaceae	919.092319573467	2753.13719006302	3513.61359898248	855.532158063882	704.18130932669	644.95948034067	528.139470009135	526.485709411252	1427.00884893951	2030.82938789489	622.042841938387	971.219181572306	4359.67218263365	3320.2769086187	353.833627586107	382.379613095238	585.529053561695	2608.5012915886	112.312526379965	1117.38530763209	811.878019168244	120.12028742365	701.588651814331	1491.88270741985	69.6358929022605	1897.95573935424	4277.30682886338	2751.32380046439	430.727757970398	339.829885986821	713.850495425513	347.786184428438	2556.34246366429	1128.66713040416	1925.6106373915	679.811667451164	699.428100196289	724.024426473065	381.455551512515	1052.71159107514	941.934495388484	1693.20294913526	1458.47653324642	1205.54162631511	3143.92506098662	1092.88326420675	4954.12144457127	1522.62446172462	471.384383626153	1024.29573065317	432.345079816802	2619.8301582188	1468.99519947037	2323.7635725461	1681.43932250562	3034.01187211528	808.542905214411	2810.11257180675	429.88777695233	18992.4797161503	317.92342253382	2994.52198216462	5301.62681236791	1815.87803317796	856.914089773914	1951.99602217486	4997.76772078717	2019.70338480438	974.193080965359	1799.61660893402	2352.68431900177	1431.81967853848	1159.27820571518	9068.98225225637	262.480308246182	1103.31554053639	132.21817855782	1673.02135958377	1886.69561627525	2486.8299167155
Eubacteriaceae	0	0	30.0466759586399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.26225412623	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacteriaceae	14724.9820560754	657.163132557445	6771.54492802432	593.32692923471	17746.3492050804	2432.66902032661	16279.5850666535	10532.4477562848	3781.4578185375	1371.29614447005	808.708058139896	214.099179431072	336.923363326094	295.591048004483	3123.4198282355	1309.75796376035	12997.9941486636	1988.28299094759	29786.0471177705	4583.69755857122	58.1089801736426	0	6173.24510988051	1001.00124220635	10089.4519621808	2307.84320484593	13456.7650771414	5325.56523202087	547.384643099629	23.0420104553757	10365.0966632927	84.1903155387974	35599.6245229437	1932.86836547029	1496.92448230045	130.409119300437	8219.74179835734	117.400592858128	31919.173340979	2433.95913012856	575.460883536392	7053.48043051396	10215.4187191469	1057.88414422882	23433.792383817	7921.67400236087	6395.97940034076	134.408217466021	5976.90806202197	1618.02727245959	8499.110764331	6909.32272206684	8418.44036960411	1696.25756725465	2291.27714443812	241.405994524941	17651.1897461539	12.1474742397587	8207.67269526681	231.335772546805	2909.31345493171	1282.83343389103	588.531462662605	2044.90762664231	18813.5691831894	3648.82953746859	48425.1302550308	2754.39330349355	497.426695443212	71.2092128209756	10135.2002602212	867.066810076015	2752.29133733317	58.2375017393206	5967.84049446486	1665.03812277082	11537.0994734113	4373.27854381599	10216.3888490439	9039.24846755671
Helicobacteraceae	124.244257172055	0	248.385854591423	19.0425872558437	311.438594784909	46.0881645757811	44.0985344248426	49.0535253719568	0	0	124.815038262471	85.4386396790664	97.2665661983068	119.238581472985	87.2071652776275	0	177.410118307784	52.1385353146646	186.519017023875	95.1179155972567	0	0	210.490045181471	35.1404648718378	0	548.674359249223	524.423640704808	86.1105227985401	0	0	124.133758870306	0	1932.52753122053	26.0384608611429	0	0	120.346047266091	17.0582057998989	310.273184583186	0	0	21.0234276222823	0	24.0570575290789	45.0901087262316	152.393422204924	439.484289886883	0	149.449176779779	80.199700449326	981.156736143247	263.279203297954	91.1085657883443	0	0	0	0	0	250.780770360089	0	22.0640861064481	41.0586820395587	0	10.019145647439	0	0	55.1809187324467	0	34.1852096401453	0	55.0730229449766	0	0	35.1433200151072	129.582651682196	95.2874545633166	0	0	45.1071912816634	67.1206580463033
Hungateiclostridiaceae	320.902883553111	153.862057545908	10316.6980719926	287.234297470211	0	0	0	0	999.038072208564	158.331890621866	54.3566188402881	75.7936183818889	0	0	494.096199824416	44.9097744658725	0	0	0	0	875.641526452091	0	79.8611488169122	13.0551876852392	0	0	2624.01999490397	330.945854754028	0	0	58.0625646328852	0	0	0	626.496301240896	0	129.114614152964	18.0616296704812	0	0	173.23254118913	0	351.079834959236	43.102228072933	450.128628365	47.1213092709757	1276.83156065271	68.7237921004024	553.846874406977	120.5831036762	202.33859258442	102.6101602419	86.6306361148072	0	361.824273307635	62.6250669819517	19.0616842793333	0	0	91.9993467865241	73.875125169786	74.171559287985	132.34270926572	0	397.763923312421	27.0725369902564	591.093411709517	19.0505111781184	0	0	633.815453174494	25.0690721530224	558.614986703301	28.1146560120858	30.1355003912085	25.0756460006153	0	0	0	0
Intrasporangiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.1966323196783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachnospiraceae	6841.05795997133	48261.6092687059	28824.2135095423	21440.0204108103	20772.3357159246	26143.5970258082	5928.58366795463	43093.6931300852	40738.1228359858	36598.948719701	13294.7192540029	28259.1839429304	8326.76164940241	25972.137137898	7022.76593501488	13711.3537748712	17825.2847943238	28732.7369859032	6112.98270145851	51769.3296099639	3797.12130121035	3310.28088444527	12664.7802595203	21897.4457640693	2886.63382865176	14475.3333565337	51278.319277201	56688.5109430868	29536.0207634599	17596.1427056669	61619.6236741275	18422.3426983347	37909.0629600009	33073.8357219227	16670.5365431626	18644.7021075493	16796.0967267945	21918.2700600166	13222.8058059131	22514.9219370413	10572.0437139811	50066.5061688631	35024.7471673244	28208.9190555185	14372.3255286154	37301.0733826393	39764.2190408219	19696.0366166059	13976.997347712	28240.038976484	13342.2533582693	62859.2356555803	49758.2776859723	36672.252772649	7146.38935461961	28243.5817483396	17331.1450654527	15163.9690799867	13905.0069466293	62723.1421667269	6166.50853986588	53497.986354823	24866.4572227628	31481.270809986	14773.7124213761	24486.6087064807	46623.9724835424	32167.6942849543	11398.5696047576	31158.4254484443	29863.4174926599	25327.0676054428	16888.4581477769	29778.9980842324	3932.13957105312	27181.6302934912	3264.78500954642	74642.3023708122	10588.8751941911	22280.0785297265
Lactobacillaceae	51.8552583393347	246.436174709042	83.1291376986264	112.251040666026	52.0109840816503	60.713643813974	0	0	0	0	0	39.2012582056893	478.310846150437	1142.28527577582	433.595896749108	8076.13821775649	0	30.0799242199988	0	0	44320.0777679585	86787.6640863532	324.75606971037	2766.05659024715	0	27.033236255923	0	0	50019.1406559544	21024.5785788299	2690.89887802777	5168.69967866231	4527.27011539487	3411.03879085816	0	28.0881180031711	623.18136533335	2822.56976230721	0	36.0586272866697	0	0	0	0	0	1028.65569252049	4581.85654420595	7893.97578153682	71.2574937399244	35.0873689465801	24.6312273165947	33.9728693643148	98.1169170028324	35.0880721887421	48.0808505045773	269.797624057772	14.0454515742456	252.060090474994	0	0	0	0	0	0	0	0	494.33243471709	133.353578246829	70.381313965005	68.2003728426243	87.1155090220539	337.945824119748	0	0	0	34.1028784752923	0	0	0	0
Leuconostocaceae	0	0	0	0	81.1142321281952	200.384612676433	0	0	0	0	0	0	0	0	0	0	779.802666912179	360.95911463271	0	0	89.1672281974861	0	0	0	0	179.220344071817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0111686420076	0	12.0361753111231	18.0449326010984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micrococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.0061532902204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Moraxellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.0301128592222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Morganellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	844.966814534934	0	4297.06735487372	208.495262214122	8367.24063802443	140.207096944616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Muribaculaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227.706504355781	0	51.153745073118	0	93.1097368834597	43.0457487907709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oscillatoriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.7496141136142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oscillospiraceae	154.916391690269	78.3654085840964	2607.34630012193	122.751495390853	0	0	79.4247398277389	76.3739259530574	261.187236217731	70.8787843879491	37.4206000586721	51.9039545164148	25.8810583403576	0	125.464738225253	50.9487721543555	0	0	0	0	0	0	154.530117219028	87.7523132115269	83.5550866247515	0	90.6673211267675	26.0334138693261	0	0	0	0	0	0	413.555940950196	43.0264481888672	116.35514005738	0	241.278008778208	45.0963363495109	49.0426022276955	255.114203142026	493.69438232681	60.1364308277996	93.1058316100715	152.230362414762	1107.92211823356	84.7180335476643	125.509614500976	61.596137006839	249.915784004503	215.264252937926	248.913955119118	71.6106194959749	75.4680692578365	42.079105382822	0	0	0	16.3571711946959	44.1288829354977	44.6580657007841	50.7628461044138	54.0227025808159	192.101371815565	55.8197803907785	472.567122825508	28.0744375288899	0	0	330.060095271411	29.3120386245546	0	0	43.1938707567097	32.096826806471	0	30.0517038799129	0	0
Peptococcaceae	14.0275774226514	278.492912882575	32.0497876892159	207.456998368194	0	0	0	0	0	119.249945545633	163.064808052583	603.096269112151	0	0	27.0642926723672	461.665674603175	0	0	0	0	0	0	44.1026761470176	339.356476993693	0	0	0	0	0	0	0	0	0	0	30.1603836989063	133.418560512527	45.1297677247843	139.475917117311	25.0220310168453	288.332288601305	0	779.869053248039	27.0597103376503	699.659419451344	87.1742102040479	559.44427353702	103.177637449614	91.2772223090142	30.0904382778078	246.613456126292	25.029508906817	948.057862197207	300.357909310604	324.815274679998	49.1507380128376	319.644290832826	0	0	0	177.257280263136	31.0903031932677	397.601964004869	0	310.59344957243	0	288.773727880882	68.2236813419342	421.116572547552	39.2124463519313	136.400741163518	19.0252261082646	412.153479440531	701.116828678859	104.425865187747	0	488.473580760629	0	757.090229686426	0	14.0252121290783
