family	SRTP_A_F1_210317_ZHMW	SRTP_A_F1_210317_ZMB	SRTP_A_F1_210330_ZHMW	SRTP_A_F1_210330_ZMB	SRTP_A_F1_210415_ZHMW	SRTP_A_F1_210415_ZMB	SRTP_A_F1_210705_ZHMW	SRTP_A_F1_210705_ZMB	SRTP_A_F1_210903_ZHMW	SRTP_A_F1_210903_ZMB	SRTP_A_F1_211203_ZHMW	SRTP_A_F1_211203_ZMB	SRTP_A_F2_210316_ZHMW	SRTP_A_F2_210316_ZMB	SRTP_A_F2_210401_ZHMW	SRTP_A_F2_210401_ZMB	SRTP_A_F2_210413_ZHMW	SRTP_A_F2_210413_ZMB	SRTP_A_F2_210705_ZHMW	SRTP_A_F2_210705_ZMB	SRTP_A_F3_210317_ZHMW	SRTP_A_F3_210317_ZMB	SRTP_A_F3_210401_ZHMW	SRTP_A_F3_210401_ZMB	SRTP_A_F3_210413_ZHMW	SRTP_A_F3_210413_ZMB	SRTP_A_F3_210704_ZHMW	SRTP_A_F3_210704_ZMB	SRTP_A_F3_210803_ZHMW	SRTP_A_F3_210803_ZMB	SRTP_A_F3_211003_ZHMW	SRTP_A_F3_211003_ZMB	SRTP_A_F3_211203_ZHMW	SRTP_A_F3_211203_ZMB	SRTP_A_F4_210317_ZHMW	SRTP_A_F4_210317_ZMB	SRTP_A_F4_210330_ZHMW	SRTP_A_F4_210330_ZMB	SRTP_A_F4_210413_ZHMW	SRTP_A_F4_210413_ZMB	SRTP_A_F4_210704_ZHMW	SRTP_A_F4_210704_ZMB	SRTP_A_F4_211203_ZHMW	SRTP_A_F4_211203_ZMB	SRTP_A_M1_210317_ZHMW	SRTP_A_M1_210317_ZMB	SRTP_A_M1_210412_ZHMW	SRTP_A_M1_210412_ZMB	SRTP_A_M1_210415_ZHMW	SRTP_A_M1_210415_ZMB	SRTP_A_M1_210705_ZHMW	SRTP_A_M1_210705_ZMB	SRTP_A_M1_210903_ZHMW	SRTP_A_M1_210903_ZMB	SRTP_A_M2_210317_ZHMW	SRTP_A_M2_210317_ZMB	SRTP_A_M2_210330_ZHMW	SRTP_A_M2_210330_ZMB	SRTP_A_M2_210415_ZHMW	SRTP_A_M2_210415_ZMB	SRTP_A_M2_210704_ZHMW	SRTP_A_M2_210704_ZMB	SRTP_A_M2_210803_ZHMW	SRTP_A_M2_210803_ZMB	SRTP_A_M2_211203_ZHMW	SRTP_A_M2_211203_ZMB	SRTP_A_M3_210414_ZHMW	SRTP_A_M3_210414_ZMB	SRTP_A_M3_210903_ZHMW	SRTP_A_M3_210903_ZMB	SRTP_A_M3_211203_ZHMW	SRTP_A_M3_211203_ZMB	SRTP_A_M4_210317_ZHMW	SRTP_A_M4_210317_ZMB	SRTP_A_M4_210401_ZHMW	SRTP_A_M4_210401_ZMB	SRTP_A_M4_210704_ZHMW	SRTP_A_M4_210704_ZMB	SRTP_A_M4_210803_ZHMW	SRTP_A_M4_210803_ZMB
Peptoniphilaceae	0	0	0	0	0	0	0	0	0	0	0	21.1083698030635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peptostreptococcaceae	2665.23972815629	24262.9843627297	10626.2780692399	22569.7035112313	369.493935654928	6916.25581894492	977.201915481032	29657.1584120433	2436.63190078077	18940.2819808718	3003.52759877905	10690.8059349173	7873.61151307119	17048.8394434889	297.688260359982	5114.25549370224	931.15254185345	8987.9056265382	449.250105519861	34540.1000310236	6862.87096291144	2274.28374751981	322.75140261572	8336.48894663427	87.3474968370637	12832.3285367155	10485.3699339751	38922.1451201583	7919.90056958745	16474.22792166	4681.49565567382	29176.6621711959	34094.9344802324	14318.0029943107	5675.43027734775	20575.0880685361	1063.05674870929	16487.0358255645	764.647163243142	19231.2942635228	308.318493690242	28463.3473829991	1356.99234138803	13422.8150358173	12180.4405678789	26279.3941184994	3623.77859140559	12988.5263173214	733.187921257506	11265.5517192822	657.151092714145	17227.2283249832	5175.2043925155	13820.7987947235	3749.37357438848	12532.8390692569	4473.04463259961	14161.7083450629	1079.36043562978	23094.8189123957	258.740356486759	15428.2148116569	2957.69396254412	9205.54028592657	762.710978244934	14305.842203383	2601.81627897454	9414.26891221691	5252.45688553242	13551.075348055	2080.21490275947	11802.2863171904	6705.09984411896	9296.94157570799	159.718152073405	14046.1934824074	150.811304368853	30283.7491708424	474.178523680266	10590.4764705296
Prevotellaceae	13.2751213070688	0	31.7602290974947	0	0	0	0	0	34.8576387747627	0	0	0	0	0	20.0951934358344	0	23.0273933574145	0	0	0	0	0	16.5176372557134	0	32.9008067348892	0	49.7470696983836	0	0	0	0	0	0	0	0	0	53.4469115603512	0	650.128536495029	50.2205856819338	0	29.5092274279443	38.6082891124379	13.3397666107923	18.98786189289	27.0117117759848	70.1474802210892	0	80.1483548497325	13.3908608270127	88.6714442133519	66.1378636843658	70.7514122745194	0	26.2248734062854	0	50.5321664014638	0	0	0	31.9245463513474	14.103542382556	0	14.5238240693148	128.573338730714	0	235.286200853199	12.3593910595301	0	0	133.18166079472	14.308344467048	0	0	57.6714562280171	0	35.7355237303422	0	64.7762831424436	82.6839838560922
Pseudomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	60.164886308231	15.0300732949141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.0526309039845	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruminococcaceae	13057.072513609	2818.60148089386	16966.2788008267	3097.52931486136	7470.41348141601	3478.67662005534	6671.64887028139	3574.05958885741	1625.79119496712	689.25654598207	378.299285953932	475.064441529722	679.050859571082	524.923437990279	3204.30021951367	612.444717179191	3133.34359649186	966.119974123137	659.836092482294	288.746685859716	106.199546317927	0	3972.99683993241	1141.15994389492	3890.46554952209	325.958506916286	15277.0294997605	3827.77158819367	199.221655318617	20.0365308307615	284.936088867732	29.0657041741086	442.572399662232	0	2044.33629285001	396.351969145558	3119.06836312335	149.510156716761	13368.5957440248	1862.94386162422	1738.60208947623	12429.5137756898	3682.04739243994	657.584194551085	699.432945369595	7368.50927266943	13831.4065022332	740.789156919536	5276.54651491521	1501.29546883148	15659.6876591463	11513.6186875875	9140.51435074827	1155.47290462445	6527.56050724566	1289.3431975469	46.1493409116546	0	1413.40098646947	498.837118428542	5028.26991594875	8816.68583183853	712.420793285714	1764.51148205499	6228.67397924707	1363.37256330785	7929.7759208204	643.221653398145	187.013205678442	33.0972397618618	8646.04156036792	579.252747810474	491.484063396697	147.60194406345	3004.47814444623	1528.60969092083	1142.1496718133	2408.39413619263	3983.9015938598	2595.84909880717
Selenomonadaceae	3461.80580425536	5313.35487709142	2535.94155891043	564.261927633465	24658.8877459861	6559.62921389471	2361.28843404227	1032.12470782577	14785.8574544483	2089.49536133025	1644.51768611289	165.85147702407	90.2473294623465	101.202493519088	13363.6766373088	2997.79639089438	22666.3050585883	2865.61408988134	1421.95684010392	471.583993524851	0	0	1711.97206461623	320.277741048182	4130.61390498636	5739.65796064682	14523.929499384	2872.70798939635	30.0334153763754	0	1831.97409419473	98.2220347952636	470.615349731932	80.1183411112089	246.309800143246	162.509825589776	752.16279543002	0	72509.8113173013	12151.784943003	11412.9809175221	7645.77446180018	4196.26048872912	211.501584686793	317.634765915899	3660.43801326298	15482.2868216658	917.787463086835	19914.051997527	8620.9497872691	10198.0007304413	7383.00624758356	32947.9899500714	3937.86762255286	692.091527222251	1418.17097650271	1002.24306619833	0	7911.59638972063	8823.5923894155	7136.73777922854	6642.38097428572	14541.1042229691	531.014749431189	16025.1230983685	1209.2424370163	20859.311162414	293.778935628022	232.25833608435	0	19542.9161584742	647.887703773325	74.2241172344116	38.1556045878307	8909.00049138972	2765.325034052	746.019268938141	747.228947020654	12677.5515617938	6550.76700196139
Staphylococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0226566117616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcaceae	489.963239976894	8185.49378952297	1835.81498301547	624.396336418383	11817.8009338925	16327.0106906035	0	0	0	99.2079378909046	3192.93318022058	5129.63752920199	33569.2476685686	40794.3425592131	563.339858085252	4658.84890279777	97.2247541009365	2632.99602576084	0	0	4321.95172745007	1828.18499192647	289.674395511643	2274.09008384881	0	25876.0142021758	0	0	0	36.1804050344853	0	34.0770324799894	3287.31411795315	1658.63060566569	1170.22288751755	226.711238168452	39.1124653614797	213.727533529307	0	222.361515102987	0	0	0	0	1601.19982259634	2194.66577996237	5061.73104890884	5285.41955413192	433.302311200435	1523.7943073934	0	0	0	57.1434318502372	380.165912431513	947.953138345268	135.438291112411	6908.67829287755	374.164909377253	889.032785789299	0	0	0	0	0	0	732.401284994296	5762.18249404471	54.2941564872895	374.099103975008	47.0624014294392	724.026365028099	0	17.0696125787664	0	25.0752771924665	0	0	0	79.1422684426562
Succinivibrionaceae	3205.44784832301	67.1187955508365	4175.27001661902	435.975024015319	0	0	0	0	265.499714285714	179.375968509817	5100.3048295722	3615.56006554652	0	39.0781905667767	231.550059489618	42.1520833333333	0	0	0	0	0	0	4116.58387049845	703.813312132245	124.47046281199	0	0	0	0	0	0	0	0	0	114.609458055844	36.1132945755057	608.750422411589	19.0650535410635	232.204447817094	24.0390848577798	951.067146496061	511.570046376415	0	0	0	0	11257.6908046933	254.77378534604	114.34366545567	35.0873689465801	159.187676647355	137.145756433524	100.119303063636	0	2419.96544195169	1364.97310405649	836.777370187212	0	0	501.727664212986	1511.22457819723	1205.72324818605	792.061082622873	3453.79360317072	929.084200652164	516.50616565884	5454.32253371173	570.512676731696	3633.68486631061	544.07791263992	12116.3583702792	110.308725973805	61.1847456565998	583.302481431915	70.3161675794865	30.0907751252579	40.2166721799537	13.0187503163009	0	0
Sutterellaceae	275.54169937351	0	308.039897780132	12.0268972142171	769.082394774816	129.248065742224	206.461320261763	269.293843368498	29.0546857142857	0	48.3154986822468	15.0774070021882	177.486414609282	90.1804397694847	84.2000216473645	25.0905257936508	247.572311988829	28.0745959386656	208.580406134221	28.0347540707704	0	0	268.625390993496	15.0601992307876	491.859086917999	0	343.277306797232	68.0873901197759	0	0	269.290171314829	0	1174.54469093983	41.0606498194946	69.3688825074846	0	261.752652803749	0	1712.50780265107	189.307793255016	17.0730110775428	495.552222525225	54.1194206753007	42.0998506758881	19.0380459066311	203.525425707891	167.184228726895	0	341.024967148489	46.1148056007411	865.019827819585	381.405351862586	160.190884902583	27.0679414027439	65.199958588458	0	218.707745941824	0	0	0	285.830206378987	103.147420733526	14.0365255149514	113.216345816061	240.539598874347	44.1182084285657	192.631570847814	0	0	0	140.185876587213	0	0	0	266.197066332362	31.0938009627665	314.695459798199	110.158656522546	183.455961592999	404.727550010546
Symphyonemataceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.334953798115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Synergistaceae	0	0	19.0295614404719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tannerellaceae	162.319110176395	10.0177306792293	156.242714984928	23.0515529939161	0	0	0	0	0	0	0	0	0	0	10.0238121008767	0	0	0	0	0	0	0	57.0902713809176	0	0	0	0	0	0	0	0	0	0	0	10.0534612329688	0	20.6283892161246	0	41.1000875920817	0	0	0	0	0	12.0762199822984	21.9590294915424	241.802077025005	0	44.5541280898531	22.0549176235647	11.0130201688986	0	0	0	13.0399917176916	0	0	0	0	0	27.1075606476843	0	0	0	0	0	16.0526310173767	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermoactinomycetaceae	169.395798474101	281.606688665802	510.179013951067	160.234440908342	420.640316284637	154.15565594623	156.97812607653	384.071158701004	130.975528967414	117.850943036676	76.8441245135242	139.937004068984	147.602383530673	257.716686197796	110.751413636003	118.21497758328	183.499595400438	114.37209717254	150.643506736664	333.92685746752	119.266036756971	244.490205265491	114.265154308967	106.2851529342	110.269755392474	133.632332224913	193.088928895942	384.04715418712	382.001201622687	101.889291704373	316.781663798637	170.405316278004	408.984110771953	144.983328811994	205.926989969884	148.762514842673	117.925195304278	96.3515542790507	227.366148553544	179.255162373444	100.854607995247	454.507392042987	94.5917097640313	145.680747227031	115.020078168677	268.978962289839	258.795615558117	117.901681745773	316.982855188497	209.474171110395	300.792149030229	488.738238869913	374.525447293789	176.939165025823	237.86937404546	174.119443191747	152.271460514276	109.448092770368	129.531131225914	423.548705744353	142.874278003152	363.71230330033	84.4411184038279	111.718436484557	125.158209326231	167.518615165497	474.598447583446	169.541564816281	53.3955765570544	157.615504947868	391.92087353847	148.402645485995	194.363480916547	159.748386113319	74.5850346412246	116.400695305354	54.3572469429309	434.465601632273	174.574658340103	126.321289936918
unassigned	2745.02741372987	216.351882698717	3024.55957173393	156.314555413005	5238.34648635431	1123.48708876175	1968.86605661504	1769.79128610503	938.277107190923	149.956400326305	214.810660128943	218.472671439547	3668.23645152059	137.649534641197	1364.19402382442	780.782976396299	2645.30784303925	420.123597088354	2048.823611108	283.098036261003	15.0281845276662	0	1772.27583891386	242.376824084811	3916.90594397135	268.345181138002	5390.57361630526	1270.93614334942	30.0334153746521	0	1255.31457276944	0	2484.40797702161	141.208576208506	349.28953339917	28.6513505634313	4166.52066794964	33.9625798089558	11058.7925977655	1012.3036109832	213.530960780843	4382.33184720619	2066.93169854018	457.301835669989	1670.20743263983	1849.34691107172	4035.67792355132	108.329434123526	3240.7136850683	1036.35482825822	8021.94445967141	4628.05885069598	2468.56163020283	487.369068062201	429.201719017174	66.196005984691	1478.41655249169	11.1351847197788	1425.84992333392	118.171520184055	1213.58362451405	559.890628705967	341.088473338668	606.401867778476	1585.01010722299	397.576452687491	5849.87962814744	710.008709495835	127.51751884335	90.8368704878372	3771.44486706366	395.027112431709	1815.44275392545	111.38863998641	2073.30037208911	789.001415773938	3746.30267138548	1521.75446770777	4076.32450818446	2987.8264249236
Xanthomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1228951997989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
