Gram.Stain	SRTP_A_F1_210317_ZHMW	SRTP_A_F1_210317_ZMB	SRTP_A_F1_210330_ZHMW	SRTP_A_F1_210330_ZMB	SRTP_A_F1_210415_ZHMW	SRTP_A_F1_210415_ZMB	SRTP_A_F1_210705_ZHMW	SRTP_A_F1_210705_ZMB	SRTP_A_F1_210903_ZHMW	SRTP_A_F1_210903_ZMB	SRTP_A_F1_211203_ZHMW	SRTP_A_F1_211203_ZMB	SRTP_A_F2_210316_ZHMW	SRTP_A_F2_210316_ZMB	SRTP_A_F2_210401_ZHMW	SRTP_A_F2_210401_ZMB	SRTP_A_F2_210413_ZHMW	SRTP_A_F2_210413_ZMB	SRTP_A_F2_210705_ZHMW	SRTP_A_F2_210705_ZMB	SRTP_A_F3_210317_ZHMW	SRTP_A_F3_210317_ZMB	SRTP_A_F3_210401_ZHMW	SRTP_A_F3_210401_ZMB	SRTP_A_F3_210413_ZHMW	SRTP_A_F3_210413_ZMB	SRTP_A_F3_210704_ZHMW	SRTP_A_F3_210704_ZMB	SRTP_A_F3_210803_ZHMW	SRTP_A_F3_210803_ZMB	SRTP_A_F3_211003_ZHMW	SRTP_A_F3_211003_ZMB	SRTP_A_F3_211203_ZHMW	SRTP_A_F3_211203_ZMB	SRTP_A_F4_210317_ZHMW	SRTP_A_F4_210317_ZMB	SRTP_A_F4_210330_ZHMW	SRTP_A_F4_210330_ZMB	SRTP_A_F4_210413_ZHMW	SRTP_A_F4_210413_ZMB	SRTP_A_F4_210704_ZHMW	SRTP_A_F4_210704_ZMB	SRTP_A_F4_211203_ZHMW	SRTP_A_F4_211203_ZMB	SRTP_A_M1_210317_ZHMW	SRTP_A_M1_210317_ZMB	SRTP_A_M1_210412_ZHMW	SRTP_A_M1_210412_ZMB	SRTP_A_M1_210415_ZHMW	SRTP_A_M1_210415_ZMB	SRTP_A_M1_210705_ZHMW	SRTP_A_M1_210705_ZMB	SRTP_A_M1_210903_ZHMW	SRTP_A_M1_210903_ZMB	SRTP_A_M2_210317_ZHMW	SRTP_A_M2_210317_ZMB	SRTP_A_M2_210330_ZHMW	SRTP_A_M2_210330_ZMB	SRTP_A_M2_210415_ZHMW	SRTP_A_M2_210415_ZMB	SRTP_A_M2_210704_ZHMW	SRTP_A_M2_210704_ZMB	SRTP_A_M2_210803_ZHMW	SRTP_A_M2_210803_ZMB	SRTP_A_M2_211203_ZHMW	SRTP_A_M2_211203_ZMB	SRTP_A_M3_210414_ZHMW	SRTP_A_M3_210414_ZMB	SRTP_A_M3_210903_ZHMW	SRTP_A_M3_210903_ZMB	SRTP_A_M3_211203_ZHMW	SRTP_A_M3_211203_ZMB	SRTP_A_M4_210317_ZHMW	SRTP_A_M4_210317_ZMB	SRTP_A_M4_210401_ZHMW	SRTP_A_M4_210401_ZMB	SRTP_A_M4_210704_ZHMW	SRTP_A_M4_210704_ZMB	SRTP_A_M4_210803_ZHMW	SRTP_A_M4_210803_ZMB
NA	0	0	19.0295614404719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0284713437774	90.0992849426411	0	0	0	0	0	0	0	12.0369154317153	0	0	0	0	0	10.0291300483855	16.0229003081205	0	16.0306330359025	0	0	10.0328943149903	0	0	0	0	0	0	0	0	0	0	0	0	0
negative	24105.4097054143	1181.80152313538	17186.1858504631	1444.61193784122	28178.3395584668	4364.32104964648	20526.1507697992	16491.7674319097	5784.8873078226	1846.63712559807	6661.62769772211	4093.01128728248	6359.80108077681	873.28175174031	5771.53904721166	2557.26041628811	17234.1639788283	2683.55918998764	33218.2379431211	5131.62356137814	73.1371647013088	0	13941.3914266133	2142.56434704808	18383.2601432438	3231.97917828378	23022.259935029	7562.46317526966	1422.38487300921	23.0420104553757	16923.5176726604	292.685577752919	51139.4870859642	2331.45711249855	2593.08368726102	313.30393337123	16688.9472111335	256.381589569939	55428.3510280976	4741.24195890038	2003.67013810317	15853.3370899824	14402.9868937542	2034.52403436712	26131.5234650768	11521.9002586124	24767.514419327	539.639384802684	11991.5837261237	3353.66236001755	23125.7792387684	14786.8999655689	12876.8886257018	2508.3201007809	5841.80157580583	1733.75566985555	21373.300542956	293.563960794417	10264.9908804758	859.292902952918	7383.84853491979	4022.86166199368	2198.36494416221	6693.57931310206	23847.3729583677	4937.05025579716	64632.9328902574	4445.17104991018	4494.00452016643	757.518077975618	28865.5866197063	1609.33284839305	5292.13961986824	849.387618689291	9887.82738824438	2999.06247511683	17960.2092188643	6775.92074944036	16884.5432965743	14340.0215780554
positive	30397.828729802	94042.7017120298	82928.2366791919	50804.2385264559	72483.4779729967	61856.7770696867	18724.5509200546	81142.7951667838	63767.0206699626	62442.1108284736	24850.1431719948	51016.9216266489	61348.7593904516	106579.718248239	27994.4329032132	36760.5986316844	47563.6288366664	48027.1823883677	9533.72578149799	90043.3627852369	61778.8628352986	94868	21983.1294647426	39266.9594578674	13025.4595108879	63367.9026483585	103769.365285853	107796.378880566	109928.477439298	63600.9579895449	94710.7617362929	60300.287234313	85758.5129140342	54537.5428875014	29779.0613988254	41384.5103894078	24895.6199915051	43394.5636000447	107830.03326861	58555.6149325249	26277.5887947078	104671.981821604	54844.8069628494	48965.4355498792	34360.3643996205	91097.0230041337	99031.7666776329	49925.6311057546	46747.1343121151	54113.8266265798	49547.9810417427	108089.881489604	102792.944566566	59912.3578081995	22779.0544008957	50065.3822189612	24659.6636286075	39985.4360392056	26851.5378256331	118603.100864972	22914.3219185848	92525.1455856246	50072.6522444919	47058.163647018	42520.4810545502	44910.4832751412	91072.5557893185	51666.6056374655	19827.7666914546	49276.4819220243	78585.7047738366	45168.581244233	27163.8603801318	49663.6123813107	18169.1545354695	48007.8104397078	6213.02699402598	111907.012903287	32405.9632134585	47041.3193296751
