order	SRTP_A_F1_210317_ZHMW	SRTP_A_F1_210317_ZMB	SRTP_A_F1_210330_ZHMW	SRTP_A_F1_210330_ZMB	SRTP_A_F1_210415_ZHMW	SRTP_A_F1_210415_ZMB	SRTP_A_F1_210705_ZHMW	SRTP_A_F1_210705_ZMB	SRTP_A_F1_210903_ZHMW	SRTP_A_F1_210903_ZMB	SRTP_A_F1_211203_ZHMW	SRTP_A_F1_211203_ZMB	SRTP_A_F2_210316_ZHMW	SRTP_A_F2_210316_ZMB	SRTP_A_F2_210401_ZHMW	SRTP_A_F2_210401_ZMB	SRTP_A_F2_210413_ZHMW	SRTP_A_F2_210413_ZMB	SRTP_A_F2_210705_ZHMW	SRTP_A_F2_210705_ZMB	SRTP_A_F3_210317_ZHMW	SRTP_A_F3_210317_ZMB	SRTP_A_F3_210401_ZHMW	SRTP_A_F3_210401_ZMB	SRTP_A_F3_210413_ZHMW	SRTP_A_F3_210413_ZMB	SRTP_A_F3_210704_ZHMW	SRTP_A_F3_210704_ZMB	SRTP_A_F3_210803_ZHMW	SRTP_A_F3_210803_ZMB	SRTP_A_F3_211003_ZHMW	SRTP_A_F3_211003_ZMB	SRTP_A_F3_211203_ZHMW	SRTP_A_F3_211203_ZMB	SRTP_A_F4_210317_ZHMW	SRTP_A_F4_210317_ZMB	SRTP_A_F4_210330_ZHMW	SRTP_A_F4_210330_ZMB	SRTP_A_F4_210413_ZHMW	SRTP_A_F4_210413_ZMB	SRTP_A_F4_210704_ZHMW	SRTP_A_F4_210704_ZMB	SRTP_A_F4_211203_ZHMW	SRTP_A_F4_211203_ZMB	SRTP_A_M1_210317_ZHMW	SRTP_A_M1_210317_ZMB	SRTP_A_M1_210412_ZHMW	SRTP_A_M1_210412_ZMB	SRTP_A_M1_210415_ZHMW	SRTP_A_M1_210415_ZMB	SRTP_A_M1_210705_ZHMW	SRTP_A_M1_210705_ZMB	SRTP_A_M1_210903_ZHMW	SRTP_A_M1_210903_ZMB	SRTP_A_M2_210317_ZHMW	SRTP_A_M2_210317_ZMB	SRTP_A_M2_210330_ZHMW	SRTP_A_M2_210330_ZMB	SRTP_A_M2_210415_ZHMW	SRTP_A_M2_210415_ZMB	SRTP_A_M2_210704_ZHMW	SRTP_A_M2_210704_ZMB	SRTP_A_M2_210803_ZHMW	SRTP_A_M2_210803_ZMB	SRTP_A_M2_211203_ZHMW	SRTP_A_M2_211203_ZMB	SRTP_A_M3_210414_ZHMW	SRTP_A_M3_210414_ZMB	SRTP_A_M3_210903_ZHMW	SRTP_A_M3_210903_ZMB	SRTP_A_M3_211203_ZHMW	SRTP_A_M3_211203_ZMB	SRTP_A_M4_210317_ZHMW	SRTP_A_M4_210317_ZMB	SRTP_A_M4_210401_ZHMW	SRTP_A_M4_210401_ZMB	SRTP_A_M4_210704_ZHMW	SRTP_A_M4_210704_ZMB	SRTP_A_M4_210803_ZHMW	SRTP_A_M4_210803_ZMB
Coriobacteriales	373.734741332069	691.223303925581	1184.84156279175	382.856895852251	80.1128218096229	34.0653816684945	153.342631068203	1737.89454604854	39.0735428571429	922.91948146341	46.3023529038199	24.873658355015	1675.59208061715	680.361317816446	0	179.64816468254	39.0903650508677	303.807234621988	60.16742484641	899.923911126152	217.407736166904	15.0150359279542	33.0770070999454	54.2167172308354	23.0872632635144	223.09688702075	156.126122041924	1138.9609096991	33.0367569121319	46.0840209107514	32.0345184181436	19.0438302086223	27.0353498782174	12.0177511666813	294.566414125985	147.462619516648	46.1326514520017	207.708741210534	11.0096936465001	87.141683040412	23.0987796931461	92.1026352976176	28.0619218316374	31.0736993083936	634.267529415658	14.0362362557166	201.221736371898	47.1431807530073	19.057277575945	66.164752870694	0	454.459215511968	11.0131233370526	43.1082029747404	148.455290324489	438.295516738914	161.522693103824	274.330459914551	28.0874462803299	1682.57702173886	25.0728251209638	108.154577079813	34.0887048220248	179.342703388575	26.0584565447209	183.49163960029	24.0789463559768	76.2020447124735	13.0708154506438	257.766102532097	10.0132768990867	246.690423541419	123.361027766234	489.998290324219	0	208.629374201788	16.0866688719815	127.183176166939	0	169.304346415303
Cytophagales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.0427626094874	0	0	0	0	0	0	0	0	0	0	0	0	0
Deferribacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0284713437774	90.0992849426411	0	0	0	0	0	0	0	12.0369154317153	0	0	0	0	0	10.0291300483855	16.0229003081205	0	16.0306330359025	0	0	10.0328943149903	0	0	0	0	0	0	0	0	0	0	0	0	0
Eggerthellales	0	40.0709246754293	167.259829561376	0	0	0	0	29.0333682188083	13.0245142857143	0	0	0	495.357567004856	61.1222980659841	0	14.0506944444444	0	0	0	12.0148949380258	0	0	0	0	0	0	0	22.0330648283614	0	0	55.0593285311843	0	0	0	60.3207673978127	0	0	25.1936560703112	0	13.0211705336706	0	19.0211964201601	0	10.0237739704495	19.0380459066311	0	0	0	0	17.054136383285	0	125.209633252811	0	0	0	0	14.0454515742456	0	13.0406000587246	33.0479849557773	0	0	0	0	0	0	0	18.0478526950595	0	31.0913464429611	0	19.0533253954754	13.0417295712237	14.0573281781764	0	0	0	0	0	0
Enterobacterales	13.8817442994366	0	333.732143846696	0	0	0	715.636693616355	2288.14970887448	0	0	0	0	153.420460085989	17.0340830675693	0	0	15.9370271485806	0	0	0	0	0	0	0	0	0	874.706981933413	248.318716907418	844.966814534934	0	4297.06735487372	208.495262214122	8969.22475834748	159.235202958528	66.3528553418301	0	0	0	0	0	0	0	0	0	141.271034224851	190.491777756155	144.158855908226	14.0426495860022	19.057277575945	0	132.155807027993	74.0787298103371	257.309945121584	36.0905885369919	0	0	0	0	0	0	239.426999243051	286.411913111929	0	0	0	0	0	0	0	0	21.7177981086496	0	0	0	0	0	0	0	0	0
Erysipelotrichales	919.092319573467	2753.13719006302	3513.61359898248	855.532158063882	704.18130932669	644.95948034067	528.139470009135	526.485709411252	1427.00884893951	2030.82938789489	622.042841938387	971.219181572306	4359.67218263365	3320.2769086187	353.833627586107	382.379613095238	585.529053561695	2608.5012915886	112.312526379965	1117.38530763209	811.878019168244	120.12028742365	701.588651814331	1491.88270741985	69.6358929022605	1897.95573935424	4277.30682886338	2751.32380046439	430.727757970398	339.829885986821	713.850495425513	347.786184428438	2556.34246366429	1128.66713040416	1925.6106373915	679.811667451164	699.428100196289	724.024426473065	381.455551512515	1052.71159107514	941.934495388484	1693.20294913526	1458.47653324642	1205.54162631511	3143.92506098662	1092.88326420675	4954.12144457127	1522.62446172462	471.384383626153	1024.29573065317	432.345079816802	2619.8301582188	1468.99519947037	2323.7635725461	1681.43932250562	3034.01187211528	808.542905214411	2810.11257180675	429.88777695233	18992.4797161503	317.92342253382	2994.52198216462	5301.62681236791	1815.87803317796	856.914089773914	1951.99602217486	4997.76772078717	2019.70338480438	974.193080965359	1799.61660893402	2352.68431900177	1431.81967853848	1159.27820571518	9068.98225225637	262.480308246182	1103.31554053639	132.21817855782	1673.02135958377	1886.69561627525	2486.8299167155
Fusobacteriales	14724.9820560754	657.163132557445	6771.54492802432	593.32692923471	17746.3492050804	2432.66902032661	16279.5850666535	10532.4477562848	3781.4578185375	1371.29614447005	808.708058139896	214.099179431072	336.923363326094	295.591048004483	3123.4198282355	1309.75796376035	12997.9941486636	1988.28299094759	29786.0471177705	4583.69755857122	58.1089801736426	0	6173.24510988051	1001.00124220635	10089.4519621808	2307.84320484593	13456.7650771414	5325.56523202087	547.384643099629	23.0420104553757	10365.0966632927	84.1903155387974	35599.6245229437	1932.86836547029	1496.92448230045	130.409119300437	8219.74179835734	117.400592858128	31919.173340979	2433.95913012856	575.460883536392	7053.48043051396	10215.4187191469	1057.88414422882	23433.792383817	7921.67400236087	6395.97940034076	134.408217466021	5976.90806202197	1618.02727245959	8499.110764331	6909.32272206684	8418.44036960411	1696.25756725465	2291.27714443812	241.405994524941	17651.1897461539	12.1474742397587	8207.67269526681	231.335772546805	2909.31345493171	1282.83343389103	588.531462662605	2044.90762664231	18813.5691831894	3648.82953746859	48425.1302550308	2754.39330349355	497.426695443212	71.2092128209756	10135.2002602212	867.066810076015	2752.29133733317	58.2375017393206	5967.84049446486	1665.03812277082	11537.0994734113	4373.27854381599	10216.3888490439	9039.24846755671
Lactobacillales	541.818498316228	8431.92996423201	1992.09461643603	736.647377084409	11950.9261501023	16588.1089470939	0	112.12234370733	0	99.2079378909046	3511.9351423362	5632.9355154488	35275.8891779135	44265.2377719339	996.935754834361	12734.9871205543	877.027421013116	3024.03506461355	0	0	48815.5086994357	88746.6472429224	614.430465222013	5040.14667409596	0	26095.9949866581	0	0	50091.22099155	21249.9899385155	3025.25928126258	6430.59904625561	7968.77002396593	5195.6748341586	1170.22288751755	254.799356171623	676.334202875874	3048.3383822835	0	258.420142389656	0	0	0	0	1601.19982259634	3223.32147248287	9671.67200388381	13179.3953356687	516.595980251482	1576.92660894108	53.6654576485022	100.043087797204	98.1169170028324	92.2315040389794	428.24676293609	1217.75076240304	149.483742686657	7173.3157363907	374.164909377253	889.032785789299	0	0	0	0	0	0	1226.73371971139	5895.53607229154	124.675470452294	442.299476817632	134.177910451493	1073.00306174523	0	56.2293120345151	0	59.1781556677588	0	0	0	79.1422684426562
Micrococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.1966323196783	0	21.0061532902204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nostocales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65.1862979373512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oscillatoriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128.350149502151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pleurocapsales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.339800876748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonadales	0	0	0	0	0	0	0	0	0	0	0	0	60.164886308231	15.0300732949141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.0301128592222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.0526309039845	0	0	0	0	0	0	0	0	0	0	0	0	0
Selenomonadales	3461.80580425536	5313.35487709142	2535.94155891043	564.261927633465	24658.8877459861	6559.62921389471	2361.28843404227	1032.12470782577	14785.8574544483	2089.49536133025	1644.51768611289	165.85147702407	90.2473294623465	101.202493519088	13363.6766373088	2997.79639089438	22666.3050585883	2865.61408988134	1421.95684010392	471.583993524851	0	0	1711.97206461623	320.277741048182	4130.61390498636	5739.65796064682	14523.929499384	2872.70798939635	30.0334153763754	0	1831.97409419473	98.2220347952636	470.615349731932	80.1183411112089	246.309800143246	162.509825589776	752.16279543002	0	72509.8113173013	12151.784943003	11412.9809175221	7645.77446180018	4196.26048872912	211.501584686793	317.634765915899	3660.43801326298	15482.2868216658	917.787463086835	19914.051997527	8620.9497872691	10198.0007304413	7383.00624758356	32947.9899500714	3937.86762255286	692.091527222251	1418.17097650271	1002.24306619833	0	7911.59638972063	8823.5923894155	7136.73777922854	6642.38097428572	14541.1042229691	531.014749431189	16025.1230983685	1209.2424370163	20859.311162414	293.778935628022	232.25833608435	0	19542.9161584742	647.887703773325	74.2241172344116	38.1556045878307	8909.00049138972	2765.325034052	746.019268938141	747.228947020654	12677.5515617938	6550.76700196139
Synechococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.6500999768085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Synergistales	0	0	19.0295614404719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tissierellales	0	0	0	0	0	0	0	0	0	0	0	21.1083698030635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xanthomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1228951997989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
