order	SRTP_A_F1_210317_ZHMW	SRTP_A_F1_210317_ZMB	SRTP_A_F1_210330_ZHMW	SRTP_A_F1_210330_ZMB	SRTP_A_F1_210415_ZHMW	SRTP_A_F1_210415_ZMB	SRTP_A_F1_210705_ZHMW	SRTP_A_F1_210705_ZMB	SRTP_A_F1_210903_ZHMW	SRTP_A_F1_210903_ZMB	SRTP_A_F1_211203_ZHMW	SRTP_A_F1_211203_ZMB	SRTP_A_F2_210316_ZHMW	SRTP_A_F2_210316_ZMB	SRTP_A_F2_210401_ZHMW	SRTP_A_F2_210401_ZMB	SRTP_A_F2_210413_ZHMW	SRTP_A_F2_210413_ZMB	SRTP_A_F2_210705_ZHMW	SRTP_A_F2_210705_ZMB	SRTP_A_F3_210317_ZHMW	SRTP_A_F3_210317_ZMB	SRTP_A_F3_210401_ZHMW	SRTP_A_F3_210401_ZMB	SRTP_A_F3_210413_ZHMW	SRTP_A_F3_210413_ZMB	SRTP_A_F3_210704_ZHMW	SRTP_A_F3_210704_ZMB	SRTP_A_F3_210803_ZHMW	SRTP_A_F3_210803_ZMB	SRTP_A_F3_211003_ZHMW	SRTP_A_F3_211003_ZMB	SRTP_A_F3_211203_ZHMW	SRTP_A_F3_211203_ZMB	SRTP_A_F4_210317_ZHMW	SRTP_A_F4_210317_ZMB	SRTP_A_F4_210330_ZHMW	SRTP_A_F4_210330_ZMB	SRTP_A_F4_210413_ZHMW	SRTP_A_F4_210413_ZMB	SRTP_A_F4_210704_ZHMW	SRTP_A_F4_210704_ZMB	SRTP_A_F4_211203_ZHMW	SRTP_A_F4_211203_ZMB	SRTP_A_M1_210317_ZHMW	SRTP_A_M1_210317_ZMB	SRTP_A_M1_210412_ZHMW	SRTP_A_M1_210412_ZMB	SRTP_A_M1_210415_ZHMW	SRTP_A_M1_210415_ZMB	SRTP_A_M1_210705_ZHMW	SRTP_A_M1_210705_ZMB	SRTP_A_M1_210903_ZHMW	SRTP_A_M1_210903_ZMB	SRTP_A_M2_210317_ZHMW	SRTP_A_M2_210317_ZMB	SRTP_A_M2_210330_ZHMW	SRTP_A_M2_210330_ZMB	SRTP_A_M2_210415_ZHMW	SRTP_A_M2_210415_ZMB	SRTP_A_M2_210704_ZHMW	SRTP_A_M2_210704_ZMB	SRTP_A_M2_210803_ZHMW	SRTP_A_M2_210803_ZMB	SRTP_A_M2_211203_ZHMW	SRTP_A_M2_211203_ZMB	SRTP_A_M3_210414_ZHMW	SRTP_A_M3_210414_ZMB	SRTP_A_M3_210903_ZHMW	SRTP_A_M3_210903_ZMB	SRTP_A_M3_211203_ZHMW	SRTP_A_M3_211203_ZMB	SRTP_A_M4_210317_ZHMW	SRTP_A_M4_210317_ZMB	SRTP_A_M4_210401_ZHMW	SRTP_A_M4_210401_ZMB	SRTP_A_M4_210704_ZHMW	SRTP_A_M4_210704_ZMB	SRTP_A_M4_210803_ZHMW	SRTP_A_M4_210803_ZMB
Acidaminococcales	1449.84762999351	297.526601173111	1384.14934814759	63.1412103746398	5551.2511284817	917.761462349391	1398.24387178155	573.625919144072	143.269657142857	43.0903164576656	160.045089384943	92.4747739203413	326.895882274722	98.1964788601056	1166.77183098587	90.3258928571428	822.216023938297	201.534678233216	501.395207053416	91.1129533318405	0	0	931.16786652713	158.634111025083	1433.41791044776	29.0356982015792	3416.79495977876	443.569318538761	0	0	71.076587740256	0	667.873245296624	0	202.074570782672	70.0019278895461	703.021492779417	21.0719021758549	6204.07873862748	707.149746054503	422.80809780164	1827.03597191495	374.82643983562	182.432689948216	112.22427060751	1611.15789434589	3494.85123288137	50.1523199500078	3694.45004459957	404.006613675946	6596.55142604418	2220.35457673755	954.430078210707	169.425285006983	318.978254914958	75.2309021998098	79.2564767403857	0	373.161786295812	51.0655371575356	2737.73439953175	2648.75567637893	204.532228932149	1033.97589437257	1540.46025693507	249.650314523571	2526.28212337894	175.465234914498	14.076262793001	11.0324132539477	1555.09423206417	40.1122970508984	109.330120216807	118.48319319379	1280.75876662636	168.508342807501	577.109261083349	487.702415720322	1526.76735870713	1527.74632120317
Aeromonadales	3205.44784832301	67.1187955508365	4175.27001661902	435.975024015319	0	0	0	0	265.499714285714	179.375968509817	5100.3048295722	3615.56006554652	0	39.0781905667767	231.550059489618	42.1520833333333	0	0	0	0	0	0	4116.58387049845	703.813312132245	124.47046281199	0	0	0	0	0	0	0	0	0	114.609458055844	36.1132945755057	608.750422411589	19.0650535410635	232.204447817094	24.0390848577798	951.067146496061	511.570046376415	0	0	0	0	11257.6908046933	254.77378534604	114.34366545567	35.0873689465801	159.187676647355	137.145756433524	100.119303063636	0	2419.96544195169	1364.97310405649	836.777370187212	0	0	501.727664212986	1511.22457819723	1205.72324818605	792.061082622873	3453.79360317072	929.084200652164	516.50616565884	5454.32253371173	570.512676731696	3633.68486631061	544.07791263992	12116.3583702792	110.308725973805	61.1847456565998	583.302481431915	70.3161675794865	30.0907751252579	40.2166721799537	13.0187503163009	0	0
Anaeroplasmatales	0	0	0	0	72.1015396254197	0	15.0335912811963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.0303361302815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132.116323758001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.0624616288071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.061229456333
Bacillales	169.395798474101	281.606688665802	510.179013951067	160.234440908342	420.640316284637	154.15565594623	156.97812607653	384.071158701004	130.975528967414	117.850943036676	76.8441245135242	323.88136949568	147.602383530673	257.716686197796	110.751413636003	118.21497758328	183.499595400438	114.37209717254	150.643506736664	333.92685746752	119.266036756971	244.490205265491	114.265154308967	106.2851529342	110.269755392474	133.632332224913	193.088928895942	384.04715418712	382.001201622687	101.889291704373	316.781663798637	180.427972889766	408.984110771953	144.983328811994	205.926989969884	148.762514842673	117.925195304278	96.3515542790507	227.366148553544	179.255162373444	100.854607995247	454.507392042987	94.5917097640313	145.680747227031	115.020078168677	318.105789184847	258.795615558117	117.901681745773	316.982855188497	209.474171110395	300.792149030229	488.738238869913	374.525447293789	176.939165025823	237.86937404546	174.119443191747	152.271460514276	109.448092770368	129.531131225914	423.548705744353	142.874278003152	363.71230330033	84.4411184038279	111.718436484557	125.158209326231	167.518615165497	535.799102904887	169.541564816281	53.3955765570544	157.615504947868	402.488520627274	148.402645485995	194.363480916547	159.748386113319	74.5850346412246	116.400695305354	54.3572469429309	434.465601632273	174.574658340103	126.321289936918
Bacteroidales	5561.92010680604	457.519595027094	5224.01852750228	384.240500121132	7797.29050746377	1586.99081364964	3265.33556356155	3352.82259800996	1708.8750892851	295.965012618199	446.616651689115	103.531528081692	5534.53939024891	275.085228064889	2245.16197256155	1180.25984340078	3795.25037271954	615.063067786716	3037.09140219257	424.773333138896	15.0281845276662	0	3111.30466360194	387.549128606861	7614.2396058721	342.42099209717	7823.0869284521	1834.38131342305	30.0334153746521	0	1867.9297243089	0	3440.53546965344	172.254433389099	845.828009055411	146.781519495287	7464.31591811373	102.857737370849	20740.7401756441	2071.90012287272	460.069096993178	7587.50569234931	4133.44875393199	910.482981933332	2492.33189240209	3053.81563058254	6363.01683977096	136.414732404621	5268.43279481208	1489.02103083391	12489.1484267992	7021.66820209764	3704.54656778393	726.848643931047	1012.19598767081	101.299479664957	2666.62568067304	11.1351847197788	1774.43747624283	126.229466193127	2376.87560287365	1082.65690737718	803.735873361778	1027.55835097679	3835.11477412115	691.499628254159	10436.4406411611	1120.26506968494	244.250172014458	142.230952514723	6278.08070405711	631.957312343226	2478.66353687846	172.704315502948	3442.84132470869	1177.55232169468	6049.09469418937	2265.4446061372	6439.59129465577	4772.82405392549
Bifidobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.9936379154208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.0331919944962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderiales	275.54169937351	0	308.039897780132	12.0268972142171	769.082394774816	129.248065742224	206.461320261763	269.293843368498	29.0546857142857	0	48.3154986822468	15.0774070021882	177.486414609282	90.1804397694847	84.2000216473645	25.0905257936508	247.572311988829	28.0745959386656	208.580406134221	28.0347540707704	0	0	268.625390993496	15.0601992307876	491.859086917999	0	343.277306797232	68.0873901197759	0	0	269.290171314829	0	1174.54469093983	41.0606498194946	69.3688825074846	0	261.752652803749	0	1712.50780265107	189.307793255016	17.0730110775428	495.552222525225	54.1194206753007	42.0998506758881	19.0380459066311	203.525425707891	167.184228726895	0	341.024967148489	46.1148056007411	865.019827819585	381.405351862586	160.190884902583	27.0679414027439	65.199958588458	0	218.707745941824	0	0	0	285.830206378987	103.147420733526	14.0365255149514	113.216345816061	240.539598874347	44.1182084285657	221.726964361286	0	0	0	140.185876587213	0	0	0	266.197066332362	31.0938009627665	314.695459798199	110.158656522546	183.455961592999	404.727550010546
Campylobacterales	323.636250536886	0	373.580336690613	19.0425872558437	1793.51591152237	215.413149928004	44.0985344248426	49.0535253719568	0	0	257.68265963865	144.743107221007	97.2665661983068	141.282688972193	87.2071652776275	0	177.410118307784	52.1385353146646	186.519017023875	95.1179155972567	0	0	258.602055508664	35.1404648718378	63.2390254609306	581.714981340675	524.423640704808	86.1105227985401	0	0	124.133758870306	0	1932.52753122053	26.0384608611429	0	0	134.386419447135	17.0582057998989	691.608937248326	22.0358277862982	0	205.228698217517	0	24.0570575290789	45.0901087262316	152.393422204924	439.484289886883	0	271.816959109531	165.411882176735	981.156736143247	263.279203297954	236.281555226002	22.0553596554701	53.1630431567427	26.0770916091584	0	0	262.818247337373	0	61.1776932951516	62.0887386939668	0	54.1033864961709	29.0652015306502	36.0967159870083	66.2171024789361	0	118.642786398151	0	174.043610452935	0	0	35.1433200151072	140.632335158973	95.2874545633166	19.102919285478	14.020192648324	45.1071912816634	89.1602771062836
Chroococcidiopsidales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.6320583420219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridiales	23482.1339378572	76233.8521622034	71640.1571504112	48041.5645165389	29117.4785010057	36958.0969283933	14126.5583870769	76747.4374137271	47227.8111233217	57138.7174003998	18788.455934805	43784.5772810296	18977.5027870147	57795.6042932267	12002.4636388621	20243.1957775731	22389.9613191137	38909.3179322565	7287.25027637761	87117.4148672164	11814.8023437708	5741.72722846048	17876.628255154	32095.5163541133	7258.43478389549	29248.5290442522	81202.1189468887	100183.736643452	58961.4573158661	41863.1648524274	88664.7257669219	53224.2081657353	73658.8923707253	47976.0815018488	25674.0293314967	39921.1624779464	21900.6155534672	39271.8749375524	28469.3181810528	44106.130494055	13375.9118963072	92940.3372149931	48692.5898694425	47179.1814284232	28417.0548260231	81177.0803343947	64968.8178227006	34090.6266628256	21814.6117733464	42194.9548256761	31966.6261987617	94698.2403316319	66937.8738511803	53169.022456054	19271.9738689468	43707.8027458097	22292.2978325753	29602.0325460036	17592.0677857221	87686.7505707304	12553.9792141666	79767.6200724152	29906.8591569969	43386.2338301631	23930.7337516072	41148.5842466607	60902.5830137661	43018.3305476033	18416.0971491519	46577.0604690958	54588.3303563187	41561.6121087022	25490.2616987114	39717.9580146224	7642.32993456605	43586.453297137	4687.23636963176	108437.411403163	16140.3740183421	36101.2081850001
