genus	SRTP_A_F1_210317_ZHMW	SRTP_A_F1_210317_ZMB	SRTP_A_F1_210330_ZHMW	SRTP_A_F1_210330_ZMB	SRTP_A_F1_210415_ZHMW	SRTP_A_F1_210415_ZMB	SRTP_A_F1_210705_ZHMW	SRTP_A_F1_210705_ZMB	SRTP_A_F1_210903_ZHMW	SRTP_A_F1_210903_ZMB	SRTP_A_F1_211203_ZHMW	SRTP_A_F1_211203_ZMB	SRTP_A_F2_210316_ZHMW	SRTP_A_F2_210316_ZMB	SRTP_A_F2_210401_ZHMW	SRTP_A_F2_210401_ZMB	SRTP_A_F2_210413_ZHMW	SRTP_A_F2_210413_ZMB	SRTP_A_F2_210705_ZHMW	SRTP_A_F2_210705_ZMB	SRTP_A_F3_210317_ZHMW	SRTP_A_F3_210317_ZMB	SRTP_A_F3_210401_ZHMW	SRTP_A_F3_210401_ZMB	SRTP_A_F3_210413_ZHMW	SRTP_A_F3_210413_ZMB	SRTP_A_F3_210704_ZHMW	SRTP_A_F3_210704_ZMB	SRTP_A_F3_210803_ZHMW	SRTP_A_F3_210803_ZMB	SRTP_A_F3_211003_ZHMW	SRTP_A_F3_211003_ZMB	SRTP_A_F3_211203_ZHMW	SRTP_A_F3_211203_ZMB	SRTP_A_F4_210317_ZHMW	SRTP_A_F4_210317_ZMB	SRTP_A_F4_210330_ZHMW	SRTP_A_F4_210330_ZMB	SRTP_A_F4_210413_ZHMW	SRTP_A_F4_210413_ZMB	SRTP_A_F4_210704_ZHMW	SRTP_A_F4_210704_ZMB	SRTP_A_F4_211203_ZHMW	SRTP_A_F4_211203_ZMB	SRTP_A_M1_210317_ZHMW	SRTP_A_M1_210317_ZMB	SRTP_A_M1_210412_ZHMW	SRTP_A_M1_210412_ZMB	SRTP_A_M1_210415_ZHMW	SRTP_A_M1_210415_ZMB	SRTP_A_M1_210705_ZHMW	SRTP_A_M1_210705_ZMB	SRTP_A_M1_210903_ZHMW	SRTP_A_M1_210903_ZMB	SRTP_A_M2_210317_ZHMW	SRTP_A_M2_210317_ZMB	SRTP_A_M2_210330_ZHMW	SRTP_A_M2_210330_ZMB	SRTP_A_M2_210415_ZHMW	SRTP_A_M2_210415_ZMB	SRTP_A_M2_210704_ZHMW	SRTP_A_M2_210704_ZMB	SRTP_A_M2_210803_ZHMW	SRTP_A_M2_210803_ZMB	SRTP_A_M2_211203_ZHMW	SRTP_A_M2_211203_ZMB	SRTP_A_M3_210414_ZHMW	SRTP_A_M3_210414_ZMB	SRTP_A_M3_210903_ZHMW	SRTP_A_M3_210903_ZMB	SRTP_A_M3_211203_ZHMW	SRTP_A_M3_211203_ZMB	SRTP_A_M4_210317_ZHMW	SRTP_A_M4_210317_ZMB	SRTP_A_M4_210401_ZHMW	SRTP_A_M4_210401_ZMB	SRTP_A_M4_210704_ZHMW	SRTP_A_M4_210704_ZMB	SRTP_A_M4_210803_ZHMW	SRTP_A_M4_210803_ZMB
Anaerobiospirillum	2858.28345323631	39.0691496489944	4111.65998919125	435.975024015319	0	0	0	0	265.499714285714	179.375968509817	5100.3048295722	3615.56006554652	0	39.0781905667767	231.550059489618	42.1520833333333	0	0	0	0	0	0	4116.58387049845	703.813312132245	124.47046281199	0	0	0	0	0	0	0	0	0	114.609458055844	36.1132945755057	608.750422411589	19.0650535410635	232.204447817094	24.0390848577798	951.067146496061	511.570046376415	0	0	0	0	10617.0903998064	216.656931157252	0	0	0	0	0	0	2419.96544195169	1364.97310405649	836.777370187212	0	0	501.727664212986	1511.22457819723	1205.72324818605	792.061082622873	3453.79360317072	929.084200652164	516.50616565884	5454.32253371173	570.512676731696	3633.68486631061	544.07791263992	12116.3583702792	110.308725973805	61.1847456565998	583.302481431915	70.3161675794865	30.0907751252579	40.2166721799537	13.0187503163009	0	0
Bacteroides	2697.44759830386	188.689754909369	2421.06621855968	142.353392073386	2494.88653408107	439.512774413023	1240.30385920351	1513.86701560373	668.385192018726	138.714193396531	197.884224448347	35.8329266640275	815.786740859621	52.7313937610488	729.553877204585	355.317539829761	1047.02364282133	159.416276216956	962.195240317788	117.645507674376	0	0	1280.49239347858	139.200286441822	3630.67796040978	74.075810959168	2134.17114555222	499.769782152069	0	0	612.615151539459	0	956.127492631837	31.0458571805935	344.259397767286	48.5909739452892	3092.73805015179	17.2120091347599	8948.61611357449	968.309156242219	215.31100018088	3059.02097065483	1732.23623922433	351.313784981125	744.813166881794	1149.90255780209	2090.05663656541	24.0731194119676	1877.09334648096	455.059745570302	4425.1385060085	2391.3263114155	1140.40305546332	237.455259045786	610.868473412727	51.1509160034532	1116.90211801654	0	348.58755290891	0	1105.26315682642	480.513618376325	61.9604670768571	440.10499787599	2022.39003679999	308.292104009142	3954.2839953405	366.507305754092	84.6303464810603	26.5082528580112	1943.26042397861	199.364811101677	631.904019881493	39.225588649764	1284.04448420243	361.469208308006	2244.44397862777	711.19147274257	2125.79560140902	1689.97768751666
Blautia	3099.67505985079	39164.6295169293	13348.319940747	16227.1361044973	8967.16590830527	17348.803323796	3011.84868195668	36968.3884212354	31255.2575666238	28796.6636774453	9255.72088150117	22569.7868691863	4010.8090202232	21596.0865441618	2759.94528551376	10104.6013398926	10042.173111331	20812.5955863366	3557.19432178819	29120.6897291353	2537.76378438244	2991.02855427686	5768.2794176019	15657.3952766479	553.384405783594	11568.1038504571	33199.3183449348	43681.9498723172	22405.8743467166	12096.1216980028	47498.939045046	15828.2911949025	5871.68910507073	2401.63662285227	3822.64727197738	14885.7014265058	10946.528053825	17905.1854148614	2943.0564441525	10190.3972012741	7444.08652354288	35531.3884010659	25374.6675696148	22798.6117364994	8878.41197147915	25990.7251982995	19229.5735129153	13895.2262194395	6785.96710500826	19759.0253436807	5209.85785154038	47338.5250589223	35242.8934254012	29786.7221754271	4382.20591071936	23751.7284855572	14275.0250887198	13372.8917292988	11092.4234104243	50783.5629438417	1726.95016024152	37273.5290183671	19796.0869350365	24362.9977243098	5854.85710100295	16639.0481555851	27161.3884089902	25683.6121167052	8423.97316481735	26945.8590726012	17491.0173367972	19825.9039521081	11048.2389911061	26278.3249473323	1176.23966435618	19239.999325207	1325.60916400547	48646.8737382332	3962.93638718571	15245.317108457
Catenibacterium	365.71898280484	1238.20319806748	1618.51363113986	250.559211626039	0	0	0	0	753.415456734541	940.850985923664	111.408659214892	278.429448869265	65.1786366625533	45.0902198847423	162.385756034203	110.398313413937	18.0417069465543	22.0586110998871	10.0279041410683	81.1005385603664	0	0	71.1656819404916	212.850815795132	15.0569108240311	0	2460.2346637427	1102.41270409466	0	0	0	0	0	0	466.474944422645	155.487796088983	218.628652533399	151.517004457925	0	21.0341992505573	412.765150168829	260.195936205782	516.138721225506	190.451705438541	123.043115262704	122.315773085531	715.788763710939	275.837759725043	158.471774053603	258.644033949076	135.159337167131	778.82522401045	563.67173526033	535.342378340992	1026.14702742053	828.449336342286	81.2629698224207	189.298140236243	0	8722.93988322217	93.2709094499852	1100.57293645679	1240.43181637629	517.98957335209	156.350739268325	283.760295120093	310.069899917527	147.390797009653	47.256025090789	115.338865836791	557.739523279127	344.965470290112	106.321033438408	34.1392248802338	0	0	0	0	10.0249159340437	13.0234112627156
Clostridium	184.089668270303	103.60518816066	1110.0186985016	79.5295552492314	127.169689166992	163.31976124611	0	53.1000046299482	234.441740189967	271.721899078968	1235.07675652196	2447.93456704239	1946.33445159456	14033.5935494627	292.74471516798	93.630564287074	39.0903650508677	18.0479545319993	46.1283590489143	440.845966698569	41.0770377096444	147.152572543429	32.434425655958	0	13.2065962674773	1386.03498502599	528.0023849112	62.9840226779292	21245.4951871719	7759.94463763497	20917.8561058227	5529.98805839292	650.655595527339	397.967642531858	141.527965180217	75.2360313878099	312.124832970136	530.824550019254	20.0176248118184	16.0280070045152	98.9313412814394	19.0216016127324	6613.7614942372	3920.68849433462	434.639501717084	8911.06160189193	1312.93815159185	58.6631109231093	258.799087437802	120.01875682193	576.921974643281	491.862156096912	809.240956110121	723.885179872491	1086.8444321208	847.420710178567	239.778021109354	265.219936234216	900.804580968803	468.837634172214	150.787145206546	328.433416098879	150.397983000205	71.1367061946634	111.377985730922	36.0967162051351	283.474694028662	113.300414765608	1180.64026823405	1572.22443075658	11397.1840968909	3215.97464581496	17.0521982052053	324.133435520235	0	0	0	0	109.271792961022	196.380146531655
Collinsella	373.734741332069	691.223303925581	1184.84156279175	382.856895852251	80.1128218096229	34.0653816684945	153.342631068203	1737.89454604854	39.0735428571429	922.91948146341	46.3023529038199	24.873658355015	1675.59208061715	680.361317816446	0	179.64816468254	39.0903650508677	303.807234621988	60.16742484641	899.923911126152	217.407736166904	15.0150359279542	33.0770070999454	54.2167172308354	23.0872632635144	223.09688702075	156.126122041924	1138.9609096991	33.0367569121319	46.0840209107514	32.0345184181436	19.0438302086223	27.0353498782174	12.0177511666813	294.566414125985	147.462619516648	46.1326514520017	207.708741210534	11.0096936465001	87.141683040412	23.0987796931461	92.1026352976176	28.0619218316374	31.0736993083936	634.267529415658	14.0362362557166	201.221736371898	47.1431807530073	19.057277575945	66.164752870694	0	454.459215511968	11.0131233370526	43.1082029747404	148.455290324489	438.295516738914	161.522693103824	274.330459914551	28.0874462803299	1682.57702173886	25.0728251209638	108.154577079813	34.0887048220248	179.342703388575	26.0584565447209	183.49163960029	24.0789463559768	76.2020447124735	13.0708154506438	257.766102532097	10.0132768990867	246.690423541419	123.361027766234	489.998290324219	0	208.629374201788	16.0866688719815	127.183176166939	0	169.304346415303
Enterocloster	584.402100004056	384.84321077314	1543.20115420663	195.224769139208	1319.1748600179	305.63580385176	1253.34489933334	511.940697337935	597.908204311332	80.9771699674319	368.331142554803	362.640880477746	136.225274939608	82.0720111300131	814.435307044846	100.094973882343	404.637936870508	93.1362301467336	189.142359533723	83.8446849076729	0	0	1395.97785362309	199.493008463002	992.561899972036	88.3688966456302	2443.88623310173	301.610901537926	37.4656781746074	0	177.938565201944	0	0	0	435.148877492814	39.5769318667296	724.056821446421	26.8095996625119	1455.46395769505	124.826949957596	549.763431115791	981.750351733719	1708.96840691384	174.642914193792	112.973303201551	660.990086052957	5035.20827385014	230.167804646141	1402.99817528717	360.919612386695	2084.21314175623	801.423705861155	1796.16637927446	275.713230153188	330.390837550697	180.680959135726	77.7438990913098	0	544.055766844113	204.772683589057	1551.06362732463	1554.21539480891	701.409927718573	347.492044547816	1679.3009536059	394.226673708606	2966.89457453066	169.307719091636	195.421932320845	33.0411975958501	1974.87051828578	110.655028957887	302.142654407684	72.6332765619381	654.792047868164	261.277827700514	367.01669272998	423.973909961143	1773.69402265037	493.295163357228
Faecalibacterium	12492.5644685429	2441.23361720977	12139.1524883725	2582.85520104026	6453.05090230196	3076.87837006876	5682.68183629241	2716.35086685573	1229.3139667354	562.090766408458	303.985294868733	338.959164420436	640.75603918266	478.831213219132	2756.07806994813	416.502732498892	2693.20698071069	864.26740757013	643.791445856585	261.71317372888	46.0868082072624	0	3368.78793964494	927.70815239423	3429.56546867483	251.302469334557	13786.4125960114	3682.86975441435	199.221655318617	20.0365308307615	256.276147092911	29.0657041741086	442.572399662232	0	1255.62368505046	297.935419194061	2433.95334604315	137.469070269773	10480.880638593	1332.10298113657	1500.35185273554	11211.1910049085	2810.57037269741	559.34276823907	507.013222566073	6532.24803532775	10558.9936012388	400.215523759561	4435.07952945316	1178.30789739343	13754.0626674028	10130.7654672777	7982.17241348019	994.484287547779	6101.57392736702	1121.8026461338	46.1493409116546	0	1067.32352337223	327.475990729499	4667.56348664018	8280.22728550615	604.56422384774	1556.85547683881	5441.58005845982	1121.80555478152	4830.33542126933	449.251869963816	125.680917794652	33.0972397618618	7255.38474493174	514.306215799751	472.426519667171	147.60194406345	2600.5709314357	1394.20244769779	1064.84860044219	2293.2366487426	3761.19600778165	2402.48093151427
Faecalicatena	333.822888235054	495.248692891675	1627.17044160038	414.854995192614	129.86373201863	152.012226555863	74.696689643635	94.8411586174453	279.286254951942	320.546221668572	225.704118861297	413.944516489417	21.3610397790686	62.4081952343536	321.524799885257	298.667545231502	304.028688324853	236.234377992368	19.874282144748	51.2628395441272	0	0	282.760846433484	311.303588175244	29.0757479737426	22.4131851022227	706.413522419967	395.666641958756	91.2126132978614	128.882347515795	290.419088814009	74.8693170056067	0	0	503.220030098198	88.0558983037133	232.897875579954	259.841989991633	207.178755245961	170.986809594359	97.0903667860117	407.682677116237	298.833572733982	303.004907671341	221.884569697193	436.855246244944	1088.47704484206	525.6838327274	396.008116639017	644.341318716751	430.483292984771	958.883578132439	894.145725907561	291.831801328193	189.009212761545	226.561150177081	0	0	48.535067048667	580.80351930081	108.406743722226	956.445683984991	77.9705106055864	304.320204709294	342.102460509523	348.613820258764	1000.9530099632	228.399584003716	93.7070945511013	145.536994421487	345.939903298647	243.667854240696	382.46737200222	77.4430369275058	77.1929684807373	380.915785628944	52.5962836220055	593.747533285075	198.566640314689	138.403396748362
Faecalimonas	570.551949547386	3708.69406784689	3425.39230502522	1922.03065645059	762.752655307329	2269.47806038042	349.640567419895	3795.89414186271	1168.60836839564	3304.1846516002	1630.20048906296	3001.56555054194	1753.14461460726	2501.93433118986	303.367309897501	1285.21480873038	705.233270413025	2421.56550476061	648.962524343972	10996.4674980357	345.307463843582	179.429578593291	428.884244854213	2298.04038582832	104.661232295981	1008.47634965995	2842.11226557981	5373.69661737734	650.909828729579	2189.89459497804	2440.23178790094	1221.16875073196	4183.17784913451	4225.52871941382	2517.09628897062	1478.8544013788	534.000534455216	1599.1544941385	623.261968054349	3870.58476415093	273.654857039165	5291.50133170682	502.004965907442	1837.46099551068	2797.52731801159	3710.11302093484	1802.17363646797	1497.89485333161	474.423196123262	2250.58941382544	585.964589420026	4161.56167513172	1894.81533160006	2656.48494400084	552.351316686496	1283.50579540068	765.510904536922	550.687220049902	261.102757809753	4279.64816348468	175.046855097376	4391.79352660833	504.798084135784	2327.63771909375	715.946284263758	2096.52262014795	1846.29523982864	2055.01250148678	852.419349495996	1776.17682771674	1160.01724452078	2201.94874415077	943.604509669559	2035.62341433186	192.593845489684	3339.61195684722	178.739985003696	8904.99181924651	858.065025731766	3390.66877255954
