class	SRTP_A_F1_210317_ZHMW	SRTP_A_F1_210317_ZMB	SRTP_A_F1_210330_ZHMW	SRTP_A_F1_210330_ZMB	SRTP_A_F1_210415_ZHMW	SRTP_A_F1_210415_ZMB	SRTP_A_F1_210705_ZHMW	SRTP_A_F1_210705_ZMB	SRTP_A_F1_210903_ZHMW	SRTP_A_F1_210903_ZMB	SRTP_A_F1_211203_ZHMW	SRTP_A_F1_211203_ZMB	SRTP_A_F2_210316_ZHMW	SRTP_A_F2_210316_ZMB	SRTP_A_F2_210401_ZHMW	SRTP_A_F2_210401_ZMB	SRTP_A_F2_210413_ZHMW	SRTP_A_F2_210413_ZMB	SRTP_A_F2_210705_ZHMW	SRTP_A_F2_210705_ZMB	SRTP_A_F3_210317_ZHMW	SRTP_A_F3_210317_ZMB	SRTP_A_F3_210401_ZHMW	SRTP_A_F3_210401_ZMB	SRTP_A_F3_210413_ZHMW	SRTP_A_F3_210413_ZMB	SRTP_A_F3_210704_ZHMW	SRTP_A_F3_210704_ZMB	SRTP_A_F3_210803_ZHMW	SRTP_A_F3_210803_ZMB	SRTP_A_F3_211003_ZHMW	SRTP_A_F3_211003_ZMB	SRTP_A_F3_211203_ZHMW	SRTP_A_F3_211203_ZMB	SRTP_A_F4_210317_ZHMW	SRTP_A_F4_210317_ZMB	SRTP_A_F4_210330_ZHMW	SRTP_A_F4_210330_ZMB	SRTP_A_F4_210413_ZHMW	SRTP_A_F4_210413_ZMB	SRTP_A_F4_210704_ZHMW	SRTP_A_F4_210704_ZMB	SRTP_A_F4_211203_ZHMW	SRTP_A_F4_211203_ZMB	SRTP_A_M1_210317_ZHMW	SRTP_A_M1_210317_ZMB	SRTP_A_M1_210412_ZHMW	SRTP_A_M1_210412_ZMB	SRTP_A_M1_210415_ZHMW	SRTP_A_M1_210415_ZMB	SRTP_A_M1_210705_ZHMW	SRTP_A_M1_210705_ZMB	SRTP_A_M1_210903_ZHMW	SRTP_A_M1_210903_ZMB	SRTP_A_M2_210317_ZHMW	SRTP_A_M2_210317_ZMB	SRTP_A_M2_210330_ZHMW	SRTP_A_M2_210330_ZMB	SRTP_A_M2_210415_ZHMW	SRTP_A_M2_210415_ZMB	SRTP_A_M2_210704_ZHMW	SRTP_A_M2_210704_ZMB	SRTP_A_M2_210803_ZHMW	SRTP_A_M2_210803_ZMB	SRTP_A_M2_211203_ZHMW	SRTP_A_M2_211203_ZMB	SRTP_A_M3_210414_ZHMW	SRTP_A_M3_210414_ZMB	SRTP_A_M3_210903_ZHMW	SRTP_A_M3_210903_ZMB	SRTP_A_M3_211203_ZHMW	SRTP_A_M3_211203_ZMB	SRTP_A_M4_210317_ZHMW	SRTP_A_M4_210317_ZMB	SRTP_A_M4_210401_ZHMW	SRTP_A_M4_210401_ZMB	SRTP_A_M4_210704_ZHMW	SRTP_A_M4_210704_ZMB	SRTP_A_M4_210803_ZHMW	SRTP_A_M4_210803_ZMB
Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.9936379154208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.1966323196783	0	21.0061532902204	0	0	0	0	16.0331919944962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alphaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.0526309039845	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacilli	711.214296790329	8713.53665289781	2502.27363038709	896.881817992751	12371.566466387	16742.2646030401	156.97812607653	496.193502408334	130.975528967414	217.058880927581	3588.77926684973	5956.81688494448	35423.4915614442	44522.9544581317	1107.68716847036	12853.2020981375	1060.52701641355	3138.40716178609	150.643506736664	333.92685746752	48934.7747361927	88991.1374481879	728.69561953098	5146.43182703016	110.269755392474	26229.627318883	193.088928895942	384.04715418712	50473.2221931727	21351.8792302199	3342.04094506122	6611.02701914537	8377.75413473788	5340.65816297059	1376.14987748744	403.561871014297	794.259398180152	3144.68993656255	227.366148553544	437.6753047631	100.854607995247	454.507392042987	94.5917097640313	145.680747227031	1716.21990076502	3541.42726166771	9930.46761944192	13297.2970174145	833.578835439979	1786.40078005148	354.457606678731	588.781326667116	472.642364296622	269.170669064802	666.11613698155	1391.87020559479	301.755203200933	7282.76382916107	503.696040603167	1312.58149153365	142.874278003152	363.71230330033	84.4411184038279	111.718436484557	125.158209326231	167.518615165497	1762.53282261627	6065.07763710782	178.071047009349	599.9149817655	536.666431078767	1221.40570723122	194.363480916547	215.977698147834	74.5850346412246	175.578850973112	54.3572469429309	434.465601632273	174.574658340103	205.463558379574
Bacteroidia	5561.92010680604	457.519595027094	5224.01852750228	384.240500121132	7797.29050746377	1586.99081364964	3265.33556356155	3352.82259800996	1708.8750892851	295.965012618199	446.616651689115	103.531528081692	5534.53939024891	275.085228064889	2245.16197256155	1180.25984340078	3795.25037271954	615.063067786716	3037.09140219257	424.773333138896	15.0281845276662	0	3111.30466360194	387.549128606861	7614.2396058721	342.42099209717	7823.0869284521	1834.38131342305	30.0334153746521	0	1867.9297243089	0	3440.53546965344	172.254433389099	845.828009055411	146.781519495287	7464.31591811373	102.857737370849	20740.7401756441	2071.90012287272	460.069096993178	7587.50569234931	4133.44875393199	910.482981933332	2492.33189240209	3053.81563058254	6363.01683977096	136.414732404621	5268.43279481208	1489.02103083391	12489.1484267992	7021.66820209764	3704.54656778393	726.848643931047	1012.19598767081	101.299479664957	2666.62568067304	11.1351847197788	1774.43747624283	126.229466193127	2376.87560287365	1082.65690737718	803.735873361778	1027.55835097679	3835.11477412115	691.499628254159	10436.4406411611	1120.26506968494	244.250172014458	142.230952514723	6278.08070405711	631.957312343226	2478.66353687846	172.704315502948	3442.84132470869	1177.55232169468	6049.09469418937	2265.4446061372	6439.59129465577	4772.82405392549
Betaproteobacteria	275.54169937351	0	308.039897780132	12.0268972142171	769.082394774816	129.248065742224	206.461320261763	269.293843368498	29.0546857142857	0	48.3154986822468	15.0774070021882	177.486414609282	90.1804397694847	84.2000216473645	25.0905257936508	247.572311988829	28.0745959386656	208.580406134221	28.0347540707704	0	0	268.625390993496	15.0601992307876	491.859086917999	0	343.277306797232	68.0873901197759	0	0	269.290171314829	0	1174.54469093983	41.0606498194946	69.3688825074846	0	261.752652803749	0	1712.50780265107	189.307793255016	17.0730110775428	495.552222525225	54.1194206753007	42.0998506758881	19.0380459066311	203.525425707891	167.184228726895	0	341.024967148489	46.1148056007411	865.019827819585	381.405351862586	160.190884902583	27.0679414027439	65.199958588458	0	218.707745941824	0	0	0	285.830206378987	103.147420733526	14.0365255149514	113.216345816061	240.539598874347	44.1182084285657	221.726964361286	0	0	0	140.185876587213	0	0	0	266.197066332362	31.0938009627665	314.695459798199	110.158656522546	183.455961592999	404.727550010546
Clostridia	23482.1339378572	76233.8521622034	71640.1571504112	48041.5645165389	29117.4785010057	36958.0969283933	14126.5583870769	76747.4374137271	47227.8111233217	57138.7174003998	18788.455934805	43784.5772810296	18977.5027870147	57795.6042932267	12002.4636388621	20243.1957775731	22389.9613191137	38909.3179322565	7287.25027637761	87117.4148672164	11814.8023437708	5741.72722846048	17876.628255154	32095.5163541133	7258.43478389549	29248.5290442522	81202.1189468887	100183.736643452	58961.4573158661	41863.1648524274	88664.7257669219	53224.2081657353	73658.8923707253	47976.0815018488	25674.0293314967	39921.1624779464	21900.6155534672	39271.8749375524	28469.3181810528	44106.130494055	13375.9118963072	92940.3372149931	48692.5898694425	47179.1814284232	28417.0548260231	81177.0803343947	64968.8178227006	34090.6266628256	21814.6117733464	42194.9548256761	31966.6261987617	94698.2403316319	66937.8738511803	53169.022456054	19271.9738689468	43707.8027458097	22292.2978325753	29602.0325460036	17592.0677857221	87686.7505707304	12553.9792141666	79767.6200724152	29906.8591569969	43386.2338301631	23930.7337516072	41148.5842466607	60902.5830137661	43018.3305476033	18416.0971491519	46577.0604690958	54588.3303563187	41561.6121087022	25490.2616987114	39717.9580146224	7642.32993456605	43586.453297137	4687.23636963176	108437.411403163	16140.3740183421	36101.2081850001
Coriobacteriia	373.734741332069	731.294228601011	1352.10139235312	382.856895852251	80.1128218096229	34.0653816684945	153.342631068203	1766.92791426735	52.0980571428571	922.91948146341	46.3023529038199	24.873658355015	2170.949647622	741.48361588243	0	193.698859126984	39.0903650508677	303.807234621988	60.16742484641	911.938806064178	217.407736166904	15.0150359279542	33.0770070999454	54.2167172308354	23.0872632635144	223.09688702075	156.126122041924	1160.99397452746	33.0367569121319	46.0840209107514	87.0938469493278	19.0438302086223	27.0353498782174	12.0177511666813	354.887181523798	147.462619516648	46.1326514520017	232.902397280845	11.0096936465001	100.162853574083	23.0987796931461	111.123831717778	28.0619218316374	41.0974732788431	653.30557532229	14.0362362557166	201.221736371898	47.1431807530073	19.057277575945	83.2188892539789	0	579.668848764779	11.0131233370526	43.1082029747404	148.455290324489	438.295516738914	175.56814467807	274.330459914551	41.1280463390545	1715.62500669464	25.0728251209638	108.154577079813	34.0887048220248	179.342703388575	26.0584565447209	183.49163960029	24.0789463559768	94.249897407533	13.0708154506438	288.857448975059	10.0132768990867	265.743748936894	136.402757337457	504.055618502395	0	208.629374201788	16.0866688719815	127.183176166939	0	169.304346415303
Cytophagia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.0427626094874	0	0	0	0	0	0	0	0	0	0	0	0	0
Deferribacteres	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0284713437774	90.0992849426411	0	0	0	0	0	0	0	12.0369154317153	0	0	0	0	0	10.0291300483855	16.0229003081205	0	16.0306330359025	0	0	10.0328943149903	0	0	0	0	0	0	0	0	0	0	0	0	0
Epsilonproteobacteria	323.636250536886	0	373.580336690613	19.0425872558437	1793.51591152237	215.413149928004	44.0985344248426	49.0535253719568	0	0	257.68265963865	144.743107221007	97.2665661983068	141.282688972193	87.2071652776275	0	177.410118307784	52.1385353146646	186.519017023875	95.1179155972567	0	0	258.602055508664	35.1404648718378	63.2390254609306	581.714981340675	524.423640704808	86.1105227985401	0	0	124.133758870306	0	1932.52753122053	26.0384608611429	0	0	134.386419447135	17.0582057998989	691.608937248326	22.0358277862982	0	205.228698217517	0	24.0570575290789	45.0901087262316	152.393422204924	439.484289886883	0	271.816959109531	165.411882176735	981.156736143247	263.279203297954	236.281555226002	22.0553596554701	53.1630431567427	26.0770916091584	0	0	262.818247337373	0	61.1776932951516	62.0887386939668	0	54.1033864961709	29.0652015306502	36.0967159870083	66.2171024789361	0	118.642786398151	0	174.043610452935	0	0	35.1433200151072	140.632335158973	95.2874545633166	19.102919285478	14.020192648324	45.1071912816634	89.1602771062836
