genus	SRTP_A_F1_210317_ZHMW	SRTP_A_F1_210317_ZMB	SRTP_A_F1_210330_ZHMW	SRTP_A_F1_210330_ZMB	SRTP_A_F1_210415_ZHMW	SRTP_A_F1_210415_ZMB	SRTP_A_F1_210705_ZHMW	SRTP_A_F1_210705_ZMB	SRTP_A_F1_210903_ZHMW	SRTP_A_F1_210903_ZMB	SRTP_A_F1_211203_ZHMW	SRTP_A_F1_211203_ZMB	SRTP_A_F2_210316_ZHMW	SRTP_A_F2_210316_ZMB	SRTP_A_F2_210401_ZHMW	SRTP_A_F2_210401_ZMB	SRTP_A_F2_210413_ZHMW	SRTP_A_F2_210413_ZMB	SRTP_A_F2_210705_ZHMW	SRTP_A_F2_210705_ZMB	SRTP_A_F3_210317_ZHMW	SRTP_A_F3_210317_ZMB	SRTP_A_F3_210401_ZHMW	SRTP_A_F3_210401_ZMB	SRTP_A_F3_210413_ZHMW	SRTP_A_F3_210413_ZMB	SRTP_A_F3_210704_ZHMW	SRTP_A_F3_210704_ZMB	SRTP_A_F3_210803_ZHMW	SRTP_A_F3_210803_ZMB	SRTP_A_F3_211003_ZHMW	SRTP_A_F3_211003_ZMB	SRTP_A_F3_211203_ZHMW	SRTP_A_F3_211203_ZMB	SRTP_A_F4_210317_ZHMW	SRTP_A_F4_210317_ZMB	SRTP_A_F4_210330_ZHMW	SRTP_A_F4_210330_ZMB	SRTP_A_F4_210413_ZHMW	SRTP_A_F4_210413_ZMB	SRTP_A_F4_210704_ZHMW	SRTP_A_F4_210704_ZMB	SRTP_A_F4_211203_ZHMW	SRTP_A_F4_211203_ZMB	SRTP_A_M1_210317_ZHMW	SRTP_A_M1_210317_ZMB	SRTP_A_M1_210412_ZHMW	SRTP_A_M1_210412_ZMB	SRTP_A_M1_210415_ZHMW	SRTP_A_M1_210415_ZMB	SRTP_A_M1_210705_ZHMW	SRTP_A_M1_210705_ZMB	SRTP_A_M1_210903_ZHMW	SRTP_A_M1_210903_ZMB	SRTP_A_M2_210317_ZHMW	SRTP_A_M2_210317_ZMB	SRTP_A_M2_210330_ZHMW	SRTP_A_M2_210330_ZMB	SRTP_A_M2_210415_ZHMW	SRTP_A_M2_210415_ZMB	SRTP_A_M2_210704_ZHMW	SRTP_A_M2_210704_ZMB	SRTP_A_M2_210803_ZHMW	SRTP_A_M2_210803_ZMB	SRTP_A_M2_211203_ZHMW	SRTP_A_M2_211203_ZMB	SRTP_A_M3_210414_ZHMW	SRTP_A_M3_210414_ZMB	SRTP_A_M3_210903_ZHMW	SRTP_A_M3_210903_ZMB	SRTP_A_M3_211203_ZHMW	SRTP_A_M3_211203_ZMB	SRTP_A_M4_210317_ZHMW	SRTP_A_M4_210317_ZMB	SRTP_A_M4_210401_ZHMW	SRTP_A_M4_210401_ZMB	SRTP_A_M4_210704_ZHMW	SRTP_A_M4_210704_ZMB	SRTP_A_M4_210803_ZHMW	SRTP_A_M4_210803_ZMB
Abiotrophia	0	0	0	0	0	0	0	0	0	0	29.3871426720176	63.0595088976908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acaryochloris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.6500999768085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.0301128592222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agathobaculum	0	0	28.0060769448173	0	0	0	0	0	0	0	0	0	0	0	28.9233047257049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1922228727232	0	0	0	38.2552390118886	0	45.6291789518179	0	0	15.9620861103735	27.4814765942948	0	0	0	0	0	0	0	0	13.4296215914365	0	0	26.8513554182573	0	49.6673737178219	0	0	0	24.7630951248509	0	0	0	0	0	0	0	0	0
Aliterella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.6320583420219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Allobaculum	159.313200728684	221.39184796762	142.220932870896	98.219660582773	86.1212834643081	83.1596080345764	314.702714109348	245.267647677834	27.0509142857143	187.392774550712	91.5981329184263	114.576341481714	63.1731306236426	88.1764299968295	0	0	13.0301216836226	187.498194304659	11.0306945551752	405.5024104069	60.1127381106648	26.0260622751206	0	72.2889563077805	32.121409757933	137.16864322815	281.227146794889	422.542332802139	109.121409194618	114.20822573534	112.120814463502	115.260551035258	0	0	74.3903776260466	188.591649449863	44.1268839975669	119.407440599292	71.0625680819554	227.369677624691	0	210.234276222823	110.243923254112	208.49449858535	212.424512221358	94.2433005740975	438.483186720853	72.2193407280112	11.1401005965132	77.1922116824763	40.0121781253019	248.263851081158	36.0429491030813	122.306994486473	18.0553731475483	168.498144391638	57.821159300616	124.511610947223	21.0655847102474	601.901907875747	39.1136071887035	182.260490910022	111.289595154257	91.1742253916954	22.0494632301484	165.400104155469	59.1940764584429	81.8708411746404	86.4684714427204	164.483252149859	34.0451414568946	82.2301411804729	118.357376846529	359.465959011668	33.1490504303293	125.364586964653	18.0975024809792	268.386544982203	15.0373739010655	150.27012995441
Amedibacillus	0	0	0	0	33.7495897174419	0	22.0492672124213	16.0174776724757	0	0	0	0	0	0	0	0	0	0	0	20.0248243362649	10.0187905961169	0	0	0	0	0	26.0210549157526	0	0	0	0	0	0	0	0	0	0	0	31.0273184583185	64.1042262874128	0	11.0122738136873	24.9401543083274	0	0	0	0	0	0	0	0	0	0	0	0	0	28.0909031484911	85.4995005618077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminiphilus	0	0	19.0295614404719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerobacterium	25.5730762791665	0	464.394672348486	11.7153274757899	0	0	0	0	75.0436269697808	16.5742268745528	0	0	0	0	13.709272378435	0	0	0	0	0	49.5356140942537	0	0	0	0	0	272.735958873284	22.9981929565542	0	0	0	0	0	0	65.5079033402632	0	0	0	0	0	0	0	48.4230661445013	0	32.1578495940306	0	67.815406774095	0	10.9654789768246	0	0	0	0	0	19.5406638559367	0	0	0	0	0	0	0	0	0	14.7642318368502	0	17.2562397266877	0	0	0	26.7919388443454	0	65.5379800997695	0	0	0	0	0	0	0
Anaerobiospirillum	2858.28345323631	39.0691496489944	4111.65998919125	435.975024015319	0	0	0	0	265.499714285714	179.375968509817	5100.3048295722	3615.56006554652	0	39.0781905667767	231.550059489618	42.1520833333333	0	0	0	0	0	0	4116.58387049845	703.813312132245	124.47046281199	0	0	0	0	0	0	0	0	0	114.609458055844	36.1132945755057	608.750422411589	19.0650535410635	232.204447817094	24.0390848577798	951.067146496061	511.570046376415	0	0	0	0	10617.0903998064	216.656931157252	0	0	0	0	0	0	2419.96544195169	1364.97310405649	836.777370187212	0	0	501.727664212986	1511.22457819723	1205.72324818605	792.061082622873	3453.79360317072	929.084200652164	516.50616565884	5454.32253371173	570.512676731696	3633.68486631061	544.07791263992	12116.3583702792	110.308725973805	61.1847456565998	583.302481431915	70.3161675794865	30.0907751252579	40.2166721799537	13.0187503163009	0	0
