phylum	SRTP_A_F1_210317_ZHMW	SRTP_A_F1_210317_ZMB	SRTP_A_F1_210330_ZHMW	SRTP_A_F1_210330_ZMB	SRTP_A_F1_210415_ZHMW	SRTP_A_F1_210415_ZMB	SRTP_A_F1_210705_ZHMW	SRTP_A_F1_210705_ZMB	SRTP_A_F1_210903_ZHMW	SRTP_A_F1_210903_ZMB	SRTP_A_F1_211203_ZHMW	SRTP_A_F1_211203_ZMB	SRTP_A_F2_210316_ZHMW	SRTP_A_F2_210316_ZMB	SRTP_A_F2_210401_ZHMW	SRTP_A_F2_210401_ZMB	SRTP_A_F2_210413_ZHMW	SRTP_A_F2_210413_ZMB	SRTP_A_F2_210705_ZHMW	SRTP_A_F2_210705_ZMB	SRTP_A_F3_210317_ZHMW	SRTP_A_F3_210317_ZMB	SRTP_A_F3_210401_ZHMW	SRTP_A_F3_210401_ZMB	SRTP_A_F3_210413_ZHMW	SRTP_A_F3_210413_ZMB	SRTP_A_F3_210704_ZHMW	SRTP_A_F3_210704_ZMB	SRTP_A_F3_210803_ZHMW	SRTP_A_F3_210803_ZMB	SRTP_A_F3_211003_ZHMW	SRTP_A_F3_211003_ZMB	SRTP_A_F3_211203_ZHMW	SRTP_A_F3_211203_ZMB	SRTP_A_F4_210317_ZHMW	SRTP_A_F4_210317_ZMB	SRTP_A_F4_210330_ZHMW	SRTP_A_F4_210330_ZMB	SRTP_A_F4_210413_ZHMW	SRTP_A_F4_210413_ZMB	SRTP_A_F4_210704_ZHMW	SRTP_A_F4_210704_ZMB	SRTP_A_F4_211203_ZHMW	SRTP_A_F4_211203_ZMB	SRTP_A_M1_210317_ZHMW	SRTP_A_M1_210317_ZMB	SRTP_A_M1_210412_ZHMW	SRTP_A_M1_210412_ZMB	SRTP_A_M1_210415_ZHMW	SRTP_A_M1_210415_ZMB	SRTP_A_M1_210705_ZHMW	SRTP_A_M1_210705_ZMB	SRTP_A_M1_210903_ZHMW	SRTP_A_M1_210903_ZMB	SRTP_A_M2_210317_ZHMW	SRTP_A_M2_210317_ZMB	SRTP_A_M2_210330_ZHMW	SRTP_A_M2_210330_ZMB	SRTP_A_M2_210415_ZHMW	SRTP_A_M2_210415_ZMB	SRTP_A_M2_210704_ZHMW	SRTP_A_M2_210704_ZMB	SRTP_A_M2_210803_ZHMW	SRTP_A_M2_210803_ZMB	SRTP_A_M2_211203_ZHMW	SRTP_A_M2_211203_ZMB	SRTP_A_M3_210414_ZHMW	SRTP_A_M3_210414_ZMB	SRTP_A_M3_210903_ZHMW	SRTP_A_M3_210903_ZMB	SRTP_A_M3_211203_ZHMW	SRTP_A_M3_211203_ZMB	SRTP_A_M4_210317_ZHMW	SRTP_A_M4_210317_ZMB	SRTP_A_M4_210401_ZHMW	SRTP_A_M4_210401_ZMB	SRTP_A_M4_210704_ZHMW	SRTP_A_M4_210704_ZMB	SRTP_A_M4_210803_ZHMW	SRTP_A_M4_210803_ZMB
Actinobacteria	373.734741332069	731.294228601011	1352.10139235312	382.856895852251	80.1128218096229	34.0653816684945	153.342631068203	1766.92791426735	52.0980571428571	922.91948146341	46.3023529038199	24.873658355015	2170.949647622	741.48361588243	0	193.698859126984	39.0903650508677	303.807234621988	60.16742484641	911.938806064178	217.407736166904	15.0150359279542	33.0770070999454	54.2167172308354	23.0872632635144	223.09688702075	156.126122041924	1160.99397452746	33.0367569121319	46.0840209107514	87.0938469493278	19.0438302086223	27.0353498782174	12.0177511666813	354.887181523798	147.462619516648	46.1326514520017	232.902397280845	38.0033315619209	100.162853574083	23.0987796931461	111.123831717778	28.0619218316374	41.0974732788431	653.30557532229	14.0362362557166	201.221736371898	47.1431807530073	19.057277575945	83.2188892539789	0	579.668848764779	11.0131233370526	43.1082029747404	148.455290324489	438.295516738914	175.56814467807	290.52709223423	41.1280463390545	1736.63115998486	25.0728251209638	108.154577079813	34.0887048220248	179.342703388575	42.0916485392171	183.49163960029	24.0789463559768	94.249897407533	13.0708154506438	288.857448975059	10.0132768990867	265.743748936894	136.402757337457	504.055618502395	0	208.629374201788	16.0866688719815	127.183176166939	0	169.304346415303
Bacteroidetes	5561.92010680604	457.519595027094	5224.01852750228	384.240500121132	7797.29050746377	1586.99081364964	3265.33556356155	3352.82259800996	1708.8750892851	295.965012618199	446.616651689115	103.531528081692	5534.53939024891	275.085228064889	2245.16197256155	1180.25984340078	3795.25037271954	615.063067786716	3037.09140219257	424.773333138896	15.0281845276662	0	3111.30466360194	387.549128606861	7614.2396058721	342.42099209717	7823.0869284521	1834.38131342305	30.0334153746521	0	1867.9297243089	0	3440.53546965344	172.254433389099	845.828009055411	146.781519495287	7464.31591811373	102.857737370849	20740.7401756441	2071.90012287272	460.069096993178	7587.50569234931	4133.44875393199	910.482981933332	2492.33189240209	3053.81563058254	6363.01683977096	136.414732404621	5268.43279481208	1489.02103083391	12489.1484267992	7021.66820209764	3704.54656778393	726.848643931047	1012.19598767081	101.299479664957	2666.62568067304	11.1351847197788	1774.43747624283	126.229466193127	2376.87560287365	1082.65690737718	803.735873361778	1027.55835097679	3835.11477412115	691.499628254159	10449.4834037706	1120.26506968494	244.250172014458	142.230952514723	6278.08070405711	631.957312343226	2478.66353687846	172.704315502948	3442.84132470869	1177.55232169468	6049.09469418937	2265.4446061372	6439.59129465577	4772.82405392549
Cyanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260.158406635081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deferribacteres	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0284713437774	90.0992849426411	0	0	0	0	0	0	0	12.0369154317153	0	0	0	0	0	10.0291300483855	16.0229003081205	0	16.0306330359025	0	0	10.0328943149903	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	30024.0939884699	93311.4074834287	81576.1352868388	50421.3816306037	72403.3651511871	61822.7116880182	18571.2082889864	79375.8672525165	63714.9226128198	61519.1913470102	24803.840819091	50992.0479682939	59177.8097428296	105838.234632356	27994.4329032132	36566.8997725574	47524.5384716155	47723.3751537458	9473.55835665158	89131.4239791727	61561.4550991317	94852.984964072	21950.0524576427	39212.7427406365	13002.3722476243	63144.8057613378	103613.239163811	106635.384906039	109895.440682386	63554.8739686341	94623.6678893436	60281.2434041044	85731.477564156	54525.5251363348	29424.1742173016	41237.0477698911	24849.4873400531	43161.6612027639	107792.029937048	58455.4520789508	26254.4900150146	104560.857989886	54816.7450410177	48924.3380766003	33707.0588242982	91082.986767878	98830.544941261	49878.4879250016	46728.0770345391	54030.6077373258	49547.9810417427	107510.212640839	102781.931443229	59869.2496052248	22630.5991105712	49627.0867022223	24484.0954839294	39694.9089469714	26810.4097792941	116866.469704987	22889.2490934638	92416.9910085448	50038.5635396698	46878.8209436294	42478.3894060109	44726.9916355409	91048.4768429625	51572.355740058	19814.6958760039	48987.6244730493	78575.6914969376	44902.8374952961	27027.4576227943	49159.5567628083	18169.1545354695	47799.181065506	6196.940325154	111779.82972712	32405.9632134585	46872.0149832598
Fusobacteria	14724.9820560754	657.163132557445	6771.54492802432	593.32692923471	17746.3492050804	2432.66902032661	16279.5850666535	10532.4477562848	3781.4578185375	1371.29614447005	808.708058139896	214.099179431072	336.923363326094	295.591048004483	3123.4198282355	1309.75796376035	12997.9941486636	1988.28299094759	29786.0471177705	4583.69755857122	58.1089801736426	0	6173.24510988051	1001.00124220635	10089.4519621808	2307.84320484593	13456.7650771414	5325.56523202087	547.384643099629	23.0420104553757	10365.0966632927	84.1903155387974	35599.6245229437	1932.86836547029	1496.92448230045	130.409119300437	8219.74179835734	117.400592858128	31919.173340979	2433.95913012856	575.460883536392	7053.48043051396	10215.4187191469	1057.88414422882	23433.792383817	7921.67400236087	6395.97940034076	134.408217466021	5976.90806202197	1618.02727245959	8499.110764331	6909.32272206684	8418.44036960411	1696.25756725465	2291.27714443812	241.405994524941	17651.1897461539	12.1474742397587	8207.67269526681	231.335772546805	2909.31345493171	1282.83343389103	588.531462662605	2044.90762664231	18813.5691831894	3648.82953746859	48425.1302550308	2754.39330349355	497.426695443212	71.2092128209756	10135.2002602212	867.066810076015	2752.29133733317	58.2375017393206	5967.84049446486	1665.03812277082	11537.0994734113	4373.27854381599	10216.3888490439	9039.24846755671
Proteobacteria	3818.50754253284	67.1187955508365	5190.62239493646	467.04450848538	2562.59830629719	344.661215670228	966.196548302961	2606.49707761493	294.5544	179.375968509817	5406.30298789309	3775.38057976971	488.338327201808	302.605475670937	402.95724641461	67.2426091269841	440.919457445194	80.2131312533302	395.099423158096	123.152669668027	0	0	4643.81131700061	754.01397623487	679.56857519092	581.714981340675	1742.40792943545	402.516629825734	844.966814534934	0	4690.49128505886	208.495262214122	12099.3270933671	226.334313639165	250.331195905159	36.1132945755057	1004.88949466247	36.1232593409624	2636.32118771649	235.382705899094	968.140157573603	1212.35096711916	54.1194206753007	66.156908204967	205.399188857714	546.41062566897	12008.5181792153	268.816434932042	746.242869289634	246.614056724056	2137.52004763818	855.909041404401	753.901688313805	85.2138895952059	2538.3284436969	1391.05019566565	1055.48511612904	10.1228951997989	262.818247337373	501.727664212986	2097.65947711442	1657.37132072547	806.097608137825	3621.11333548295	1198.68900105716	596.721090074414	5758.31923145594	570.512676731696	3752.32765270876	544.07791263992	12452.305655428	110.308725973805	61.1847456565998	618.445801447022	477.145569070821	156.472030651341	374.015051263631	137.197599487171	228.563152874663	493.887827116829
Synergistetes	0	0	19.0295614404719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tenericutes	0	0	0	0	72.1015396254197	0	15.0335912811963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.0303361302815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132.116323758001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.0624616288071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.061229456333
