superkingdom	phylum	class	order	family	genus	PRMT_FM1_FR_MONT_20240807_bc25_D6323	PRMT_FM2_FR_MONT_20240807_bc26_D6323	PRMT_FM3_FR_MONT_20240807_bc27_D6323	PRMT_FO1_FR_ONT_20240807_bc10_D6323	PRMT_FO2_FR_ONT_20240807_bc11_D6323	PRMT_FO3_FR_ONT_20240807_bc12_D6323	PRMT_FP1_FR_PB_20240807_bc40_D6323	PRMT_FP2_FR_PB_20240807_bc41_D6323	PRMT_FP3_FR_PB_20240807_bc42_D6323	PRMT_CO1_canis_ONT_20240807_bc01	PRMT_CO2_canis_ONT_20240807_bc02	PRMT_CO3_canis_ONT_20240807_bc03	PRMT_CP1_canis_PB_20240807_bc31	PRMT_CP2_canis_PB_20240807_bc32	PRMT_CP3_canis_PB_20240807_bc33	PRMT_LM1_canis_MONT_20240807_bc16	PRMT_LM2_canis_MONT_20240807_bc17	PRMT_LM3_canis_MONT_20240807_bc18	PRMT_HM1_human_MONT_20240807_bc28	PRMT_HM2_human_MONT_20240807_bc29	PRMT_HM3_human_MONT_20240807_bc30	PRMT_HO1_human_ONT_20240807_bc13	PRMT_HO2_human_ONT_20240807_bc14	PRMT_HO3_human_ONT_20240807_bc15	PRMT_HP1_human_PB_20240807_bc43	PRMT_HP2_human_PB_20240807_bc44	PRMT_HP3_human_PB_20240807_bc45
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	6360.0572071895	7487.38127931786	4874.23637696345	161.306146683982	171.363546546415	193.514228699883	4755.28375528755	5009.63894427749	4090.01737124778	140.089265123865	78.5282541982728	48.2081361696012	2608.79210570379	5299.72276962083	2517.76167320484	2303.08527585741	6683.15003639692	4645.47949484791	22932.297258737	13719.8555306121	12542.556643024	252.080453803882	192.017932236821	175.638424005041	18516.1206655467	9603.58442324607	24855.0991644399
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Segniliparaceae	Segniliparus	52.2159451578428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.4477188765243	0	0
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Oerskovia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57.0559685671482	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Raineyella	0	0	0	0	0	0	0	0	0	33.0546800571068	0	0	0	42.0445394843734	33.0508957504657	48.1011284032422	105.103099992115	84.0941805497569	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	0	0	0	62.4152829406836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	0	0	0	0	0	0	0	0	0	0	0	0	0	54.0572650513372	0	0	36.0448975271722	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	54.0572650513372	0	0	36.0448975271722	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	3731.15685200602	4955.80583232486	2051.75473498536	438.330331632257	525.773042281931	463.444467980861	1526.78837441141	1623.13945026756	1404.05495245056	1256.07384181791	772.397604734755	772.549065313356	7291.29374982359	13224.2928700869	8232.6600552205	13206.6555502121	34747.2749442067	28736.2281828859	4490.52320810419	4137.57033123712	1957.64838236916	1065.29211136811	403.072305740818	510.262319024644	2709.23930208159	1724.16241947074	4214.08204536381
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Enorma	117.126919953625	150.142414759305	54.0726338700798	0	0	0	0	39.0755515362098	60.1310235184475	0	0	0	0	39.2683669816793	0	0	203.498043254536	108.058568710847	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Olegusella	33.8572101478558	42.5241531189302	0	37.1472049804462	58.9702974067408	74.8250720365695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
