superkingdom	phylum	class	PRMT_FM1_FR_MONT_20240807_bc25_D6323	PRMT_FM2_FR_MONT_20240807_bc26_D6323	PRMT_FM3_FR_MONT_20240807_bc27_D6323	PRMT_FO1_FR_ONT_20240807_bc10_D6323	PRMT_FO2_FR_ONT_20240807_bc11_D6323	PRMT_FO3_FR_ONT_20240807_bc12_D6323	PRMT_FP1_FR_PB_20240807_bc40_D6323	PRMT_FP2_FR_PB_20240807_bc41_D6323	PRMT_FP3_FR_PB_20240807_bc42_D6323	PRMT_CO1_canis_ONT_20240807_bc01	PRMT_CO2_canis_ONT_20240807_bc02	PRMT_CO3_canis_ONT_20240807_bc03	PRMT_CP1_canis_PB_20240807_bc31	PRMT_CP2_canis_PB_20240807_bc32	PRMT_CP3_canis_PB_20240807_bc33	PRMT_LM1_canis_MONT_20240807_bc16	PRMT_LM2_canis_MONT_20240807_bc17	PRMT_LM3_canis_MONT_20240807_bc18	PRMT_HM1_human_MONT_20240807_bc28	PRMT_HM2_human_MONT_20240807_bc29	PRMT_HM3_human_MONT_20240807_bc30	PRMT_HO1_human_ONT_20240807_bc13	PRMT_HO2_human_ONT_20240807_bc14	PRMT_HO3_human_ONT_20240807_bc15	PRMT_HP1_human_PB_20240807_bc43	PRMT_HP2_human_PB_20240807_bc44	PRMT_HP3_human_PB_20240807_bc45
Bacteria	Actinobacteria	Actinobacteria	6412.27315234734	7487.38127931786	4874.23637696345	223.721429624665	171.363546546415	193.514228699883	4755.28375528755	5009.63894427749	4090.01737124778	173.143945180972	78.5282541982728	48.2081361696012	2608.79210570379	5341.76730910521	2550.81256895531	2351.18640426065	6845.30910495618	4729.57367539767	22932.297258737	13719.8555306121	12542.556643024	252.080453803882	192.017932236821	175.638424005041	18549.5683844232	9603.58442324607	24855.0991644399
Bacteria	Actinobacteria	Coriobacteriia	5116.58422640804	6938.93471937764	3085.62306053288	1468.91441811894	1814.06462467578	1713.15117973937	2497.84974300215	2697.93031295862	2294.37154439468	1433.37112611272	943.787629545335	922.822386076397	7858.76719961754	14401.6591803152	8761.96767555105	14538.4732497631	38894.1701455136	31781.2732969857	5698.65370407461	5257.539792919	2790.14523203811	2283.65594531954	999.753109520468	1338.51789016805	3701.23534248685	2475.2117893318	6013.87622962969
Bacteria	Bacteroidetes	Bacteroidia	53177.8654661901	65745.2572145349	41789.1336467953	42949.1258134958	56692.6344654167	57405.6860295686	37500.3554421641	36388.0843868054	32392.6566949795	7655.06251983031	4957.66122541155	6040.43266221581	8998.64856013252	15455.8699700842	12464.7398463482	8753.80989580701	20883.37261142	23626.5310984289	155724.183669062	98219.8694374802	114771.076593827	195629.464299854	75044.8174739535	130930.369447398	121965.325690722	65666.2684601379	230084.355293952
Bacteria	Candidatus Melainabacteria	unassigned	2243.52022160485	3003.71252040692	1889.38057258812	3856.37640106258	5167.9017960865	5299.42004248807	1357.61086208902	1277.57191531607	1401.04936183605	120.198836571298	108.195773425002	138.251478091844	150.273985068371	202.471095136532	174.268359411546	135.284423634119	252.329202849884	294.276304408432	276.15824960256	230.724120303161	168.033974513202	651.092558297706	279.205261189833	441.682310459415	111.099358092458	102.128087564467	261.178520631176
Bacteria	Deferribacteres	Deferribacteres	0	0	0	0	0	0	0	0	0	81.1342146856258	72.1305156172534	45.0820037256014	57.1041142822796	153.162250978789	129.198956115457	63.1327310292554	126.123719990538	168.188361099514	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	Bacilli	7890.2221590675	8343.38359663931	6474.17774498159	8855.24764101332	11747.9565564415	13637.8288991204	5451.12868173541	3378.7152308054	5174.4249699722	306500.23777844	230115.117720575	203620.419033295	236203.083938332	481290.549626039	242900.701652603	191572.065896069	570199.339591015	419556.952175369	4606.52892726754	2623.15580755816	4401.87176709405	7842.92073626627	4584.90047437626	4629.85295622944	3730.57788042517	1957.64953672328	5147.67315234365
Bacteria	Firmicutes	Clostridia	952985.59994682	1225718.66817738	785616.78776922	1466379.42397171	1959679.89828757	2115265.30189911	580212.409693137	563145.238727728	591518.892192616	652268.085017144	453845.051854286	497602.756657756	544302.284342315	1026761.35768119	656443.096978361	440016.055521979	1184664.40296205	1083149.26238035	1019435.17445657	711335.45582845	632065.501328087	2313655.1522514	876806.088855702	1230304.78609026	688289.57599537	420255.90706622	1008083.90777754
Bacteria	Firmicutes	Erysipelotrichia	3038.79209822137	3697.43318302316	2175.73688398524	6469.46592322507	8419.5601976808	8501.95171158237	4295.3478168351	4558.14966291939	3325.47176299962	14649.3249430464	10809.8006277709	10403.5919128298	7391.89302685557	16330.4436538807	9235.95771718377	2788.53622073375	8458.20326420335	6773.29794787951	369.266613737975	258.030251159337	195.163757296059	1166.38196097759	522.452884172453	621.359444181542	510.425020706972	276.347790624018	816.622861005866
Bacteria	Firmicutes	Negativicutes	20299.585169193	25464.1849435699	17153.1254672423	35154.7796207506	47778.4427001946	55172.0731061163	13497.2811891973	11606.0040873092	14196.6385813025	72892.4191723319	46110.9338125939	61818.8962181745	55581.5695722035	92568.8059711637	74505.1962909925	45253.1145857976	110441.615178827	128559.200432681	31662.1652953506	20481.0967692532	22685.0855162978	74985.027224159	25784.1502952867	44531.1018218602	20922.3354922956	11387.70064783	34894.7756155809
Bacteria	Firmicutes	unassigned	75.0904627741625	65.7484024218996	71.5548339105972	102.07295041124	155.967898747732	143.964877221026	0	0	48.1048188158967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Fusobacteria	Fusobacteriia	162.195384414508	87.079750064211	78.1049155613339	63.0464325784502	96.0572326405618	129.068353333748	57.1102494245639	0	51.1113699906803	16828.6905318228	10850.6923657887	14350.067279019	5367.7946363724	10466.0899468845	8178.59014437627	3454.26413428499	8179.57954415955	8760.81159512254	171.098043372474	72.06213406955	126.105653592796	192.054408739813	111.081663054049	99.0509506898724	111.099358092458	39.0489746570022	141.068024021864
Bacteria	Lentisphaerae	Lentisphaeria	372.448658281874	378.346500278986	291.391415748053	354.252308268493	462.275432082704	546.289309459121	132.255314456885	171.331264427997	159.347212323886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	591.712787751363	696.637997192811	468.629493368003	585.416950104713	810.482899416523	861.456218762389	90.1740780387851	93.1801613555772	99.2161888054383	360.596451889511	153.277345686663	204.371750222726	144.263025555233	282.29905082365	261.402539147986	180.379231512158	657.640579465099	783.877892507683	1713.9821539948	1357.17019210074	1615.35337221249	2895.79389719678	1263.92919312817	2407.23752857506	510.456510154538	288.361659005555	1233.59484836141
Bacteria	Proteobacteria	Betaproteobacteria	1384.66799610367	2023.84768805344	1156.55355735052	904.723926540096	1221.72792751465	1408.05888016979	1496.88969544383	1124.17355958019	1085.36497450798	4107.93870513561	2605.71487667328	3389.14467402986	7838.17027707125	13399.8964870176	10835.8014159711	4596.66408280477	11456.3181337215	13191.2208891678	2002.14732825873	1411.21679219535	1657.38859007675	2496.68457119216	795.584884037691	1482.76227456351	2645.36579674237	1528.9175461857	5477.6413582958
Bacteria	Proteobacteria	Deltaproteobacteria	327.394385102615	586.987776745971	283.114465858738	350.347049895178	383.45448535871	429.184061440506	235.671755879664	222.430062590733	150.327558796119	0	0	0	0	69.0731720100421	0	0	57.0559685671482	78.0874533676314	426.244248401598	360.31067034775	549.460347797184	216.059848402317	57.0419350817938	153.078695707391	186.166491938714	195.244873285011	606.292358562056
Bacteria	Proteobacteria	Epsilonproteobacteria	0	0	0	0	0	0	0	0	0	201.50923928499	171.280042166249	141.367814939895	106.340608294415	261.644175906872	177.261866454719	147.444172516501	319.260681741387	243.046272865132	0	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	991.292770535753	2056.89473888354	826.117608118025	1219.1359082728	1831.09892503604	2086.07159734918	781.881785997414	243.48522177962	604.324990337895	4318.18487444606	2918.26927631325	2859.2857142867	1469.67983934921	2799.39903506662	1326.2820226602	538.125413853632	2150.01058878298	1852.71457431499	785.973750156019	480.414294618356	1002.95921226663	1212.20431254822	900.832336189696	702.430938252078	636.548501012449	441.553799566033	1006.93444840788
Bacteria	Synergistetes	Synergistia	248.697535568353	221.561665749258	169.005106770611	225.254045307102	367.46108817353	402.976457105124	63.1528249260889	111.210305878939	111.904286414089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Tenericutes	Mollicutes	251.823738963964	375.888125709325	162.217901550463	659.34963320431	936.504240332111	867.074888027679	274.429661172093	279.53730527159	177.096689692344	339.561692722011	193.348238573539	234.426419373127	123.225336238585	255.426395126915	156.240601334169	54.1136226508956	159.156122854089	177.211987429239	0	0	0	0	0	0	0	0	0
Bacteria	Verrucomicrobia	Verrucomicrobiae	2718.27448181529	3209.93975236695	2160.03358363429	1158.8249943431	1639.01639285318	1551.82182961823	1445.79105122185	1199.31885099598	1229.67943096636	0	0	0	33.0602766897408	0	0	0	45.0441857109064	0	0	0	30.0251556173325	30.0082284892425	0	36.0185166370333	36.0375734777106	0	30.0144731961414
