superkingdom	phylum	class	order	PRMT_FM1_FR_MONT_20240807_bc25_D6323	PRMT_FM2_FR_MONT_20240807_bc26_D6323	PRMT_FM3_FR_MONT_20240807_bc27_D6323	PRMT_FO1_FR_ONT_20240807_bc10_D6323	PRMT_FO2_FR_ONT_20240807_bc11_D6323	PRMT_FO3_FR_ONT_20240807_bc12_D6323	PRMT_FP1_FR_PB_20240807_bc40_D6323	PRMT_FP2_FR_PB_20240807_bc41_D6323	PRMT_FP3_FR_PB_20240807_bc42_D6323	PRMT_CO1_canis_ONT_20240807_bc01	PRMT_CO2_canis_ONT_20240807_bc02	PRMT_CO3_canis_ONT_20240807_bc03	PRMT_CP1_canis_PB_20240807_bc31	PRMT_CP2_canis_PB_20240807_bc32	PRMT_CP3_canis_PB_20240807_bc33	PRMT_LM1_canis_MONT_20240807_bc16	PRMT_LM2_canis_MONT_20240807_bc17	PRMT_LM3_canis_MONT_20240807_bc18	PRMT_HM1_human_MONT_20240807_bc28	PRMT_HM2_human_MONT_20240807_bc29	PRMT_HM3_human_MONT_20240807_bc30	PRMT_HO1_human_ONT_20240807_bc13	PRMT_HO2_human_ONT_20240807_bc14	PRMT_HO3_human_ONT_20240807_bc15	PRMT_HP1_human_PB_20240807_bc43	PRMT_HP2_human_PB_20240807_bc44	PRMT_HP3_human_PB_20240807_bc45
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	6360.0572071895	7487.38127931786	4874.23637696345	161.306146683982	171.363546546415	193.514228699883	4755.28375528755	5009.63894427749	4090.01737124778	140.089265123865	78.5282541982728	48.2081361696012	2608.79210570379	5299.72276962083	2517.76167320484	2303.08527585741	6683.15003639692	4645.47949484791	22932.297258737	13719.8555306121	12542.556643024	252.080453803882	192.017932236821	175.638424005041	18516.1206655467	9603.58442324607	24855.0991644399
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	3882.1409821075	5202.19667497569	2105.82736885544	475.477536612704	584.743339688672	538.269540017431	1526.78837441141	1662.21500180377	1464.18597596901	1256.07384181791	772.397604734755	772.549065313356	7291.29374982359	13371.6757671712	8232.6600552205	13206.6555502121	35079.5141442309	28906.846891298	4490.52320810419	4137.57033123712	1957.64838236916	1065.29211136811	403.072305740818	510.262319024644	2709.23930208159	1724.16241947074	4214.08204536381
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	1234.44324430055	1736.73804440195	979.795691677444	993.436881506234	1229.3212849871	1174.88163972194	971.061368590737	1035.71531115486	830.185568425673	177.297284294812	171.390024810581	150.273320763041	567.473449793957	1029.983413144	529.307620330547	1331.81769955096	3814.6560012827	2874.42640568768	1208.13049597042	1119.96946168188	832.496849668956	1218.36383395144	596.680803779649	828.255571143403	991.996040405254	751.049369861058	1799.79418426588
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	53177.8654661901	65745.2572145349	41789.1336467953	42949.1258134958	56692.6344654167	57405.6860295686	37500.3554421641	36388.0843868054	32392.6566949795	7655.06251983031	4957.66122541155	6040.43266221581	8998.64856013252	15455.8699700842	12464.7398463482	8753.80989580701	20883.37261142	23626.5310984289	155724.183669062	98219.8694374802	114771.076593827	195629.464299854	75044.8174739535	130930.369447398	121965.325690722	65666.2684601379	230084.355293952
Bacteria	Candidatus Melainabacteria	unassigned	Vampirovibrionales	2243.52022160485	3003.71252040692	1889.38057258812	3856.37640106258	5167.9017960865	5299.42004248807	1357.61086208902	1277.57191531607	1401.04936183605	120.198836571298	108.195773425002	138.251478091844	150.273985068371	202.471095136532	174.268359411546	135.284423634119	252.329202849884	294.276304408432	276.15824960256	230.724120303161	168.033974513202	651.092558297706	279.205261189833	441.682310459415	111.099358092458	102.128087564467	261.178520631176
Bacteria	Firmicutes	Bacilli	Bacillales	2673.17505088273	2608.58679430413	2113.45253069539	2711.40576455547	3449.45019542991	3979.6763052046	1822.43533861618	1033.67791273039	1712.5835242079	1957.06197687358	1423.07758087299	1383.00850588326	2070.92305688137	3938.43505144443	1427.63718064756	1173.76073611425	4263.29131050662	3095.4063009806	2429.96409084628	1555.58982728793	2320.56754741099	4427.88962462483	2687.41402903986	2732.78959975593	2082.96082916578	1176.2795776975	2909.72771006986
Bacteria	Firmicutes	Bacilli	Lactobacillales	5217.04710818476	5734.79680233518	4360.7252142862	6143.84187645785	8298.5063610116	9658.15259391577	3628.69334311924	2345.03731807501	3461.8414457643	304543.175801566	228692.040139702	202237.410527412	234132.160881451	477352.114574594	241473.064471956	190398.305159955	565936.048280508	416461.545874388	2176.56483642126	1067.56598027023	2081.30421968306	3415.03111164145	1897.4864453364	1897.06335647351	1647.61705125939	781.36995902578	2237.94544227379
Bacteria	Firmicutes	Clostridia	Clostridiales	952926.995977492	1225657.39701474	785567.137968078	1466236.99739183	1959537.23038141	2115116.31589983	580212.409693137	563145.238727728	591518.892192616	652268.085017144	453845.051854286	497602.756657756	544302.284342315	1026761.35768119	656443.096978361	440016.055521979	1184664.40296205	1083149.26238035	1019435.17445657	711335.45582845	632065.501328087	2313655.1522514	876806.088855702	1230304.78609026	688289.57599537	420255.90706622	1008083.90777754
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	3038.79209822137	3697.43318302316	2175.73688398524	6469.46592322507	8419.5601976808	8501.95171158237	4295.3478168351	4558.14966291939	3325.47176299962	14649.3249430464	10809.8006277709	10403.5919128298	7391.89302685557	16330.4436538807	9235.95771718377	2788.53622073375	8458.20326420335	6773.29794787951	369.266613737975	258.030251159337	195.163757296059	1166.38196097759	522.452884172453	621.359444181542	510.425020706972	276.347790624018	816.622861005866
Bacteria	Firmicutes	Negativicutes	Acidaminococcales	5353.0743221738	6630.00986833646	4800.94299544928	8921.57985461004	11683.7817189403	13593.4815642428	3382.55827413236	2881.98862113102	3383.61798696788	26193.7546331789	16123.7035517855	22988.1035032254	19227.6363415195	32056.629498269	26731.0128802851	16217.9507234238	39398.244366323	46871.0649099709	30035.9983402639	19565.2478237164	20958.5659601744	72670.1284892105	24230.5716428331	43142.7413659389	19622.1435035729	10687.8271624446	33034.2472829026
