feature	Bacteria.Actinobacteria.Actinobacteria	Bacteria.Actinobacteria.Coriobacteriia	Bacteria.Bacteroidetes.Bacteroidia	Bacteria.Candidatus.Melainabacteria.unassigned	Bacteria.Cyanobacteria.Gloeobacteria	Bacteria.Cyanobacteria.unassigned	Bacteria.Deferribacteres.Deferribacteres	Bacteria.Firmicutes.Bacilli	Bacteria.Firmicutes.Clostridia	Bacteria.Firmicutes.Erysipelotrichia	Bacteria.Firmicutes.Negativicutes	Bacteria.Firmicutes.Tissierellia	Bacteria.Firmicutes.unassigned	Bacteria.Fusobacteria.Fusobacteriia	Bacteria.Lentisphaerae.Lentisphaeria	Bacteria.Proteobacteria.Alphaproteobacteria	Bacteria.Proteobacteria.Betaproteobacteria	Bacteria.Proteobacteria.Deltaproteobacteria	Bacteria.Proteobacteria.Epsilonproteobacteria	Bacteria.Proteobacteria.Gammaproteobacteria	Bacteria.Synergistetes.Synergistia	Bacteria.Tenericutes.Mollicutes	Bacteria.Verrucomicrobia.Verrucomicrobiae
PRMT_CO3_canis_ONT_20240807_bc03	-14.0217125539679	-9.76300811046066	-7.05248112714809	-12.5017662073269	-16.6115659685739	-16.6085560007005	-14.1184375677754	-1.97739458556407	-0.688282349689765	-6.26812320750002	-3.69715702744061	-16.944725427895	-15.3322013945314	-5.80414742155526	-13.2722056062948	-11.9378653221336	-7.88621179416187	-16.0709025380029	-12.4696074115092	-8.13147822875161	-14.3386121274596	-11.7399259445217	-17.404762356635
PRMT_CP1_canis_PB_20240807_bc31	-8.39508115930902	-6.80416012439416	-6.60875478975933	-12.5127959584451	-16.6115659685739	-16.6085560007005	-13.9087246358803	-1.89457914897689	-0.690198859277577	-6.89251926119152	-3.98192846949204	-16.944725427895	-15.3322013945314	-7.3541336625847	-13.2722056062948	-12.5716896486027	-6.80794622535983	-16.0709025380029	-13.0116986106291	-9.22296123275965	-14.3386121274596	-12.7990923171347	-14.6972205306866
PRMT_CP2_canis_PB_20240807_bc32	-8.29696266155041	-6.86611666861237	-6.76419683728693	-13.0184919261228	-16.6115659685739	-16.6085560007005	-13.4211471207308	-1.80351550881099	-0.710394603484051	-6.68478771371564	-4.18182558625609	-16.944725427895	-15.3322013945314	-7.32662913644068	-13.2722056062948	-12.5389836110246	-6.97012984322259	-14.5700105066453	-12.6486017435312	-9.22916264632978	-14.3386121274596	-12.6833002717822	-17.404762356635
PRMT_CP3_canis_PB_20240807_bc33	-8.65481011828754	-6.87451212108344	-6.36598614609325	-12.5263844542754	-16.6115659685739	-16.6085560007005	-12.9581006947008	-2.08154416621622	-0.647240865459245	-6.79850544502163	-3.78649787009154	-16.944725427895	-15.3322013945314	-6.97391484590468	-13.2722056062948	-11.941421953385	-6.56803305939357	-16.0709025380029	-12.5018128991419	-9.59837942842057	-14.3386121274596	-12.6839257013345	-17.404762356635
PRMT_LM1_canis_MONT_20240807_bc16	-8.24728547462905	-5.61887052814154	-6.35076334268111	-12.3666067512722	-16.6115659685739	-16.6085560007005	-13.4661424248231	-1.89893099693556	-0.699262040118119	-8.00116638587643	-3.98072921110081	-16.944725427895	-15.3322013945314	-7.692295991946	-13.2722056062948	-11.9515692519934	-7.28008715631327	-16.0709025380029	-12.24243368783	-10.3746600492192	-14.3386121274596	-13.6885387599858	-17.404762356635
PRMT_LM2_canis_MONT_20240807_bc17	-8.16430847259768	-5.65794214103262	-6.55514134432418	-12.9260450727946	-16.6115659685739	-16.6085560007005	-13.9265126286677	-1.78410160339331	-0.729161452954912	-7.85907293044381	-4.15228407951168	-16.944725427895	-15.3322013945314	-7.90739747544636	-13.2722056062948	-11.5440529336703	-7.42135260574215	-15.0709025380029	-12.5866173663391	-9.83508039641263	-14.3386121274596	-13.5909095968027	-15.411939455838
PRMT_LM3_canis_MONT_20240807_bc18	-8.5096042083479	-5.76120933157588	-6.18897843304135	-12.5160710689983	-16.6115659685739	-16.6085560007005	-13.3231645756065	-2.03859150262274	-0.670298002427696	-7.99145589370348	-3.74502530182796	-16.944725427895	-15.3322013945314	-7.62024982676716	-13.2722056062948	-11.1026135098542	-7.0298081613486	-14.430079779523	-12.7920114374288	-9.8616737133602	-14.3386121274596	-13.2477662501922	-17.404762356635
PRMT_HM1_human_MONT_20240807_bc28	-5.76355226809855	-7.77224012250119	-3.00001204873537	-12.1392941177036	-16.6115659685739	-16.6085560007005	-15.1184375677754	-8.07918117547224	-0.289306925681494	-11.7201265120128	-5.29817323211862	-16.944725427895	-15.3322013945314	-12.8299660813245	-13.2722056062948	-9.50550915994891	-9.28131310914437	-11.5131089759846	-14.0116986106291	-10.6303082126483	-14.3386121274596	-14.6885387599858	-17.404762356635
PRMT_HM2_human_MONT_20240807_bc29	-5.96294811836847	-7.34675363896734	-3.12319850367613	-11.8569007644593	-16.6115659685739	-16.6085560007005	-15.1184375677754	-8.34983800145018	-0.266755238492132	-11.6955293828152	-5.38492043426769	-16.944725427895	-15.3322013945314	-13.5357563163162	-13.2722056062948	-9.30053985413576	-9.24420187047233	-11.2138282214288	-14.0116986106291	-10.7987905194819	-14.3386121274596	-14.6885387599858	-17.404762356635
PRMT_HM3_human_MONT_20240807_bc30	-5.98532675510845	-8.15374608455976	-2.79147099874046	-12.2072614396708	-16.6115659685739	-16.6085560007005	-15.1184375677754	-7.49596918537634	-0.330156040140683	-11.9913292348733	-5.13041411028514	-16.944725427895	-15.3322013945314	-12.6213814420111	-13.2722056062948	-8.94223650223324	-8.90517440801169	-10.4979990265058	-14.0116986106291	-9.62982336691868	-14.3386121274596	-14.6885387599858	-14.6917707699025
PRMT_HO1_human_ONT_20240807_bc13	-13.3343081582388	-10.1549190087895	-3.73428445525291	-11.9653297656623	-16.6115659685739	-16.6085560007005	-15.1184375677754	-8.3748732999787	-0.170306186984608	-11.1242240074844	-5.11773367359429	-15.944725427895	-15.3322013945314	-13.7266773326016	-13.2722056062948	-9.81230539510141	-10.0262507559824	-13.5567614217983	-14.0116986106291	-11.0686314397989	-14.3386121274596	-14.6885387599858	-16.404762356635
PRMT_HO2_human_ONT_20240807_bc14	-12.3280929250485	-9.94776210994804	-3.71772533931938	-11.7880078460353	-16.6115659685739	-16.6085560007005	-15.1184375677754	-7.75051546109587	-0.171291871601327	-10.8840330352015	-5.2589932804387	-16.944725427895	-15.3322013945314	-13.117713291514	-13.2722056062948	-9.60949023407691	-10.2773181076889	-14.0792391436997	-14.0116986106291	-10.0980753579999	-14.3386121274596	-14.6885387599858	-17.404762356635
PRMT_HO3_human_ONT_20240807_bc15	-12.9788127527413	-10.0488567305859	-3.43683719163626	-11.6484121940819	-16.6115659685739	-16.6085560007005	-15.1184375677754	-8.25852677792678	-0.204693105761754	-11.1559931665919	-4.99275174890676	-16.944725427895	-15.3322013945314	-13.8051785198807	-13.2722056062948	-9.20211464883709	-9.90120583753965	-13.1771477333205	-14.0116986106291	-10.9790648580233	-14.3386121274596	-14.6885387599858	-15.2646105745709
PRMT_HP1_human_PB_20240807_bc43	-5.53807270763921	-7.86337954870715	-2.82105917803288	-12.9214640345162	-16.6115659685739	-16.6085560007005	-15.1184375677754	-7.85198729417394	-0.324514570234862	-10.7216154648729	-5.36441442198811	-16.944725427895	-15.3322013945314	-12.9214640345162	-13.2722056062948	-10.7215264640075	-8.3479191912246	-12.1767210897583	-14.0116986106291	-10.4030440730454	-14.3386121274596	-14.6885387599858	-14.5457407373193
PRMT_HP2_human_PB_20240807_bc44	-5.74266311536591	-7.69868411700249	-2.96915552029438	-12.2977844903188	-16.6115659685739	-16.6085560007005	-15.1184375677754	-8.03711357720349	-0.291111802689738	-10.8616791069231	-5.496831521428	-16.944725427895	-15.3322013945314	-13.6848076134281	-13.2722056062948	-10.800284830848	-8.39372548549346	-11.3628795185407	-14.0116986106291	-10.1855749566285	-14.3386121274596	-14.6885387599858	-17.404762356635
PRMT_HP3_human_PB_20240807_bc45	-5.72937934109662	-7.77655411879673	-2.51883021533138	-12.3017411358252	-16.6115659685739	-16.6085560007005	-15.1184375677754	-8.00092884157521	-0.387449284103707	-10.657107434331	-5.23991014547283	-16.944725427895	-15.3322013945314	-13.1903863816911	-13.2722056062948	-10.061980649687	-7.91129448471394	-11.0867637506169	-14.0116986106291	-10.3548795284734	-14.3386121274596	-14.6885387599858	-15.4230471384813
