sample	time_bin	bases
TOTI_ZYMO_LSK114	0	46928
TOTI_ZYMO_LSK114	1	190275
TOTI_ZYMO_LSK114	2	373314
TOTI_ZYMO_LSK114	3	393617
TOTI_ZYMO_LSK114	4	411028
TOTI_ZYMO_LSK114	5	452282
TOTI_ZYMO_LSK114	6	407878
TOTI_ZYMO_LSK114	7	443157
TOTI_ZYMO_LSK114	8	395317
TOTI_ZYMO_LSK114	9	416514
TOTI_ZYMO_LSK114	10	492375
TOTI_ZYMO_LSK114	11	456530
TOTI_ZYMO_LSK114	12	436160
TOTI_ZYMO_LSK114	13	429424
TOTI_ZYMO_LSK114	14	505161
TOTI_ZYMO_LSK114	15	505766
TOTI_ZYMO_LSK114	16	511010
TOTI_ZYMO_LSK114	17	518214
TOTI_ZYMO_LSK114	18	496717
TOTI_ZYMO_LSK114	19	533045
TOTI_ZYMO_LSK114	20	510626
TOTI_ZYMO_LSK114	21	516353
TOTI_ZYMO_LSK114	22	569587
TOTI_ZYMO_LSK114	23	835396
TOTI_ZYMO_LSK114	24	604138
TOTI_ZYMO_LSK114	25	539521
TOTI_ZYMO_LSK114	26	520481
TOTI_ZYMO_LSK114	27	517530
TOTI_ZYMO_LSK114	28	508387
TOTI_ZYMO_LSK114	29	515098
TOTI_ZYMO_LSK114	30	545878
TOTI_ZYMO_LSK114	31	515801
TOTI_ZYMO_LSK114	32	524956
TOTI_ZYMO_LSK114	33	568160
TOTI_ZYMO_LSK114	34	554859
TOTI_ZYMO_LSK114	35	526437
TOTI_ZYMO_LSK114	36	569651
TOTI_ZYMO_LSK114	37	581372
TOTI_ZYMO_LSK114	38	568050
TOTI_ZYMO_LSK114	39	526285
TOTI_ZYMO_LSK114	40	523454
TOTI_ZYMO_LSK114	41	510744
TOTI_ZYMO_LSK114	42	510440
TOTI_ZYMO_LSK114	43	577879
TOTI_ZYMO_LSK114	44	546082
TOTI_ZYMO_LSK114	45	518358
TOTI_ZYMO_LSK114	46	527089
TOTI_ZYMO_LSK114	47	519474
TOTI_ZYMO_LSK114	48	544875
TOTI_ZYMO_LSK114	49	545124
TOTI_ZYMO_LSK114	50	532875
TOTI_ZYMO_LSK114	51	565612
TOTI_ZYMO_LSK114	52	521482
TOTI_ZYMO_LSK114	53	550939
TOTI_ZYMO_LSK114	54	530052
TOTI_ZYMO_LSK114	55	533273
TOTI_ZYMO_LSK114	56	577588
TOTI_ZYMO_LSK114	57	540967
TOTI_ZYMO_LSK114	58	509131
TOTI_ZYMO_LSK114	59	512003
TOTI_ZYMO_LSK114	60	551033
TOTI_ZYMO_LSK114	61	532150
TOTI_ZYMO_LSK114	62	560003
TOTI_ZYMO_LSK114	63	544641
TOTI_ZYMO_LSK114	64	540322
TOTI_ZYMO_LSK114	65	515364
TOTI_ZYMO_LSK114	66	526910
TOTI_ZYMO_LSK114	67	508045
TOTI_ZYMO_LSK114	68	526341
TOTI_ZYMO_LSK114	69	500379
TOTI_ZYMO_LSK114	70	539796
TOTI_ZYMO_LSK114	71	493412
TOTI_ZYMO_LSK114	72	509538
TOTI_ZYMO_LSK114	73	507034
TOTI_ZYMO_LSK114	74	543444
TOTI_ZYMO_LSK114	75	488525
TOTI_ZYMO_LSK114	76	513354
TOTI_ZYMO_LSK114	77	507686
TOTI_ZYMO_LSK114	78	503493
