run_accession	study_accession	sample_accession	secondary_sample_accession	experiment_accession	tax_id	scientific_name	instrument_platform	read_count	experiment_title	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title	bam_ftp
ERR13110292	PRJEB75753	SAMEA115615491	ERS19893071	ERX12481918	9615	Canis lupus familiaris	ILLUMINA	17955538	Illumina NovaSeq 6000 sequencing: Raw reads: toti_illumina_novaseq_WGS_20240129_zymo_magbead_R2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/092/ERR13110292/ERR13110292.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR131/ERR13110292/toti_illumina_novaseq_WGS_20240129_zymo_magbead_R2.fastq.gz		toti_illumina_novaseq_WGS_20240129_zymo_magbead_R2	toti_illumina_novaseq_WGS_20240129_zymo_magbead_R2	ftp.sra.ebi.ac.uk/vol1/err/ERR131/092/ERR13110292/ERR13110292.bam
ERR13110295	PRJEB75753	SAMEA115615483	ERS19893063	ERX12481921	9615	Canis lupus familiaris	OXFORD_NANOPORE	16536	MinION sequencing: Raw reads: toti_minion_WGS_20230802_invitrogen_I3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/095/ERR13110295/ERR13110295.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR131/ERR13110295/toti_minion_WGS_20230802_invitrogen_I3_bc03_pass.fastq.gz		toti_minion_WGS_20230802_invitrogen_I3	toti_minion_WGS_20230802_invitrogen_I3	ftp.sra.ebi.ac.uk/vol1/err/ERR131/095/ERR13110295/ERR13110295.bam
ERR13110296	PRJEB75753	SAMEA115615484	ERS19893064	ERX12481922	9615	Canis lupus familiaris	OXFORD_NANOPORE	34470	MinION sequencing: Raw reads: toti_minion_WGS_20230802_invitrogen_I4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/096/ERR13110296/ERR13110296.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR131/ERR13110296/toti_minion_WGS_20230802_invitrogen_I4_bc04_pass.fastq.gz		toti_minion_WGS_20230802_invitrogen_I4	toti_minion_WGS_20230802_invitrogen_I4	ftp.sra.ebi.ac.uk/vol1/err/ERR131/096/ERR13110296/ERR13110296.bam
ERR13110289	PRJEB75753	SAMEA115615488	ERS19893068	ERX12481915	749906	gut metagenome	OXFORD_NANOPORE	825323	MinION sequencing: Raw reads: BACMIX_minion_v1_9_20230623_zymo_magbead_NZ2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/089/ERR13110289/ERR13110289.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR131/ERR13110289/BACMIX_minion_v1_9_20230623_zymo_magbead_NZ2_bc10_pass.fastq.gz		BACMIX_minion_v1_9_20230623_zymo_magbead_NZ2	BACMIX_minion_v1_9_20230623_zymo_magbead_NZ2	ftp.sra.ebi.ac.uk/vol1/err/ERR131/089/ERR13110289/ERR13110289.bam
ERR13110290	PRJEB75753	SAMEA115615489	ERS19893069	ERX12481916	749906	gut metagenome	OXFORD_NANOPORE	736770	MinION sequencing: Raw reads: BACMIX_minion_v1_9_20230623_zymo_magbead_NZ3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/090/ERR13110290/ERR13110290.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR131/ERR13110290/BACMIX_minion_v1_9_20230623_zymo_magbead_NZ3_bc11_pass.fastq.gz		BACMIX_minion_v1_9_20230623_zymo_magbead_NZ3	BACMIX_minion_v1_9_20230623_zymo_magbead_NZ3	ftp.sra.ebi.ac.uk/vol1/err/ERR131/090/ERR13110290/ERR13110290.bam
ERR13110294	PRJEB75753	SAMEA115615482	ERS19893062	ERX12481920	9615	Canis lupus familiaris	OXFORD_NANOPORE	24499	MinION sequencing: Raw reads: toti_minion_WGS_20230802_invitrogen_I2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/094/ERR13110294/ERR13110294.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR131/ERR13110294/toti_minion_WGS_20230802_invitrogen_I2_bc02_pass.fastq.gz		toti_minion_WGS_20230802_invitrogen_I2	toti_minion_WGS_20230802_invitrogen_I2	ftp.sra.ebi.ac.uk/vol1/err/ERR131/094/ERR13110294/ERR13110294.bam
ERR13110297	PRJEB75753	SAMEA115615485	ERS19893065	ERX12481923	9615	Canis lupus familiaris	OXFORD_NANOPORE	70791	MinION sequencing: Raw reads: toti_minion_WGS_20230802_zymo_Z3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/097/ERR13110297/ERR13110297.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR131/ERR13110297/toti_minion_WGS_20230802_zymo_Z3_bc05_pass.fastq.gz		toti_minion_WGS_20230802_zymo_Z3	toti_minion_WGS_20230802_zymo_Z3	ftp.sra.ebi.ac.uk/vol1/err/ERR131/097/ERR13110297/ERR13110297.bam
ERR13110298	PRJEB75753	SAMEA115615486	ERS19893066	ERX12481924	9615	Canis lupus familiaris	OXFORD_NANOPORE	118640	MinION sequencing: Raw reads: toti_minion_WGS_20230802_zymo_Z4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/098/ERR13110298/ERR13110298.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR131/ERR13110298/toti_minion_WGS_20230802_zymo_Z4_bc06_pass.fastq.gz		toti_minion_WGS_20230802_zymo_Z4	toti_minion_WGS_20230802_zymo_Z4	ftp.sra.ebi.ac.uk/vol1/err/ERR131/098/ERR13110298/ERR13110298.bam
ERR14242610	PRJEB75753	SAMEA117651688	ERS23021569	ERX13643694	9615	Canis lupus familiaris	OXFORD_NANOPORE	2956194	MinION sequencing: Raw reads: toti_ont_minion_WGS_20240129_zymo_magbead	ftp.sra.ebi.ac.uk/vol1/fastq/ERR142/010/ERR14242610/ERR14242610.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR142/ERR14242610/Toti_ONT_WGS.fastq.gz		toti_ont_minion_WGS_20240129_zymo_magbead	toti_ont_minion_WGS_20240129_zymo_magbead	ftp.sra.ebi.ac.uk/vol1/err/ERR142/010/ERR14242610/ERR14242610.bam
ERR13109766	PRJEB75753	SAMEA115615487	ERS19893067	ERX12481392	749906	gut metagenome	OXFORD_NANOPORE	777355	MinION sequencing: Raw reads: BACMIX_minion_v1_9_20230623_zymo_magbead_NZ1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/066/ERR13109766/ERR13109766.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR131/ERR13109766/BACMIX_minion_v1_9_20230623_zymo_magbead_NZ1_bc09_pass.fastq.gz		BACMIX_minion_v1_9_20230623_zymo_magbead_NZ1	BACMIX_minion_v1_9_20230623_zymo_magbead_NZ1	ftp.sra.ebi.ac.uk/vol1/err/ERR131/066/ERR13109766/ERR13109766.bam
