sample	alias	n_reads	pass_rate	total_bases	mean_len	median_len	n50_len	mean_q
TOTI_INVITRO_LSK114	barcode61	14	0.0714285714285714	27081	1934.35714285714	462.5	6310	5.90478357142857
TOTI_ZYMO_LSK114	barcode55	14	0.214285714285714	6754	482.428571428572	303	578	5.94637721428572
TOTI_INVITRO_LSK114	barcode37	13	0.0769230769230769	13578	1044.46153846154	660	2269	4.98061015384615
TOTI_INVITRO_LSK114	barcode84	13	0.0769230769230769	8000	615.384615384615	495	900	5.53298284615385
TOTI_INVITRO_LSK114	barcode91	13	0	7554	581.076923076923	593	624	5.40903469230769
TOTI_INVITRO_LSK114	barcode59	13	0.153846153846154	24160	1858.46153846154	506	3764	5.54455453846154
TOTI_INVITRO_LSK114	barcode52	12	0.0833333333333333	23527	1960.58333333333	537	12251	5.77568408333333
TOTI_INVITRO_LSK114	barcode78	11	0.0909090909090909	6177	561.545454545455	612	638	6.07924372727273
TOTI_INVITRO_LSK114	barcode49	11	0.181818181818182	5956	541.454545454546	372	831	5.86856772727273
TOTI_INVITRO_LSK114	barcode30	11	0.0909090909090909	7542	685.636363636364	512	690	6.20739436363636
TOTI_INVITRO_LSK114	barcode72	11	0.272727272727273	8785	798.636363636364	628	780	6.06914536363636
TOTI_ZYMO_LSK114	barcode18	11	0	9017	819.727272727273	494	1268	6.21735018181818
TOTI_INVITRO_LSK114	barcode20	10	0.1	6143	614.3	315	1504	5.49605
TOTI_INVITRO_LSK114	barcode81	10	0.1	7246	724.6	517	920	5.6008996
TOTI_INVITRO_LSK114	barcode64	10	0.1	4331	433.1	359.5	372	6.2519921
TOTI_INVITRO_LSK114	barcode60	10	0	6010	601	452	907	4.2151793
TOTI_INVITRO_LSK114	barcode66	10	0	4488	448.8	428.5	569	4.3389749
TOTI_INVITRO_LSK114	barcode29	10	0	6647	664.7	482	688	4.789921
TOTI_INVITRO_LSK114	barcode53	10	0.1	16067	1606.7	1167	3836	5.8903878
TOTI_ZYMO_LSK114	barcode72	10	0.5	6030	603	450	744	8.0623727
