Taxon	DNA.profile
p__Euryarchaeota	0.002779
p__Actinobacteria	0.018510
p__Bacteroidetes	0.235838
p__Candidatus Melainabacteria	0.003698
p__Firmicutes	0.710821
p__Lentisphaerae	0.000570
p__Proteobacteria	0.009383
p__Tenericutes	0.001614
p__Verrucomicrobia	0.011171
k__Bacteria	0.004137
k__Eukaryota	0.001268
k__Viruses	0.000210
