instrument_platform	n_reads	total_bases	mean_len	median_len	n50_len	mean_Q	median_Q	max_Q	min_Q
ILLUMINA	35911076	5408512532	150.608478899379	151	151	35.8781473932499	36.5867	37	7.7748
OXFORD_NANOPORE	3145625	3948109978	1255.11145734154	590	2514	30.4719281016968	31.809	44.6255	4.7742
