sample_1	sample_2	distance	host	platform	Vregion	workflow	method	db	DNA_isolation_method	sample_nr	sample_name	library
12	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V1_V2_EMU_EMUdb_Z_2	0.429029157321371	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
13	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_PacBio_V1_V9_EMU_EMUdb_MN_4	0.416644245296686	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
14	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V3_V4_EMU_EMUdb_I_1	0.352673793958402	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
15	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V1_V2_EMU_EMUdb_MN_1	0.0978144775073789	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
16	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V1_V3_EMU_EMUdb_Q_4	0.997047363198528	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
17	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_PacBio_V1_V9_EMU_EMUdb_I_3	0.459495632572556	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
18	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_ONT_V1_V9_EMU_EMUdb_I_3	0.912505920004593	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
19	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V1_V2_EMU_EMUdb_Z_4	0.402823334025327	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
20	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_PacBio_V1_V9_EMU_EMUdb_Z_2	0.510586094275547	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
21	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V1_V2_EMU_EMUdb_MN_3	0.16288742504856	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
22	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V3_V4_EMU_EMUdb_Z_2	0.62055354377467	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
23	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V1_V3_EMU_EMUdb_Z_2	0.487299695404582	Toti	Illumina	V1_V2	EMU	NA	EMUdb	I	1	I1	V1_V2_Illumina
