order	Toti_ONT_Z1	Toti_NovaSeq_Z1	Toti_MySeq_Z4	Toti_MySeq_Z3	Toti_MySeq_Z2	Toti_MySeq_Z1	Toti_MySeq_Q4	Toti_MySeq_Q3	Toti_MySeq_Q2	Toti_MySeq_Q1	Toti_MySeq_MN4	Toti_MySeq_MN3	Toti_MySeq_MN2	Toti_MySeq_MN1	Toti_MySeq_I4	Toti_MySeq_I3	Toti_MySeq_I2	Toti_MySeq_I1
Algavirales	163	94	5	4	7	5	5	2	2	5	2	4	5	5	2	4	7	3
Amarillovirales	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bunyavirales	4	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Chitovirales	13	0	1	6	1	2	0	0	0	0	2	2	1	14	0	0	7	1
Crassvirales	3429	2317	13	47	23	43	32	62	36	48	107	106	161	237	97	111	254	109
Herpesvirales	35	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Imitervirales	521	47	2	3	4	4	6	16	6	13	1	3	5	3	1	3	8	5
Lefavirales	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanobavirales	3	0	1	0	0	0	0	0	0	0	1	2	0	1	0	0	3	2
missing	4768	3388	271	353	387	352	160	146	100	157	294	278	476	720	280	282	735	347
Mononegavirales	20	8	3	1	2	1	0	0	0	0	0	1	2	2	0	0	2	0
Pimascovirales	25	4	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Timlovirales	29	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
