sample	time_bin	bases
TOTI_INVITRO_LSK114	0	53722
TOTI_ZYMO_LSK114	0	46928
TOTI_INVITRO_LSK114	1	333959
TOTI_ZYMO_LSK114	1	190275
TOTI_INVITRO_LSK114	2	516871
TOTI_ZYMO_LSK114	2	373314
TOTI_INVITRO_LSK114	3	554176
TOTI_ZYMO_LSK114	3	393617
TOTI_INVITRO_LSK114	4	536628
TOTI_ZYMO_LSK114	4	411028
TOTI_INVITRO_LSK114	5	554685
TOTI_ZYMO_LSK114	5	452282
TOTI_INVITRO_LSK114	6	563505
TOTI_ZYMO_LSK114	6	407878
TOTI_INVITRO_LSK114	7	611836
TOTI_ZYMO_LSK114	7	443157
TOTI_INVITRO_LSK114	8	592237
TOTI_ZYMO_LSK114	8	395317
TOTI_INVITRO_LSK114	9	618402
TOTI_ZYMO_LSK114	9	416514
TOTI_INVITRO_LSK114	10	578836
TOTI_ZYMO_LSK114	10	492375
TOTI_INVITRO_LSK114	11	615138
TOTI_ZYMO_LSK114	11	456530
TOTI_INVITRO_LSK114	12	626698
TOTI_ZYMO_LSK114	12	436160
TOTI_INVITRO_LSK114	13	600048
TOTI_ZYMO_LSK114	13	429424
TOTI_INVITRO_LSK114	14	583869
TOTI_ZYMO_LSK114	14	505161
TOTI_INVITRO_LSK114	15	560260
TOTI_ZYMO_LSK114	15	505766
TOTI_INVITRO_LSK114	16	599096
TOTI_ZYMO_LSK114	16	511010
TOTI_INVITRO_LSK114	17	596205
TOTI_ZYMO_LSK114	17	518214
TOTI_INVITRO_LSK114	18	580109
TOTI_ZYMO_LSK114	18	496717
TOTI_INVITRO_LSK114	19	597230
TOTI_ZYMO_LSK114	19	533045
TOTI_INVITRO_LSK114	20	562327
TOTI_ZYMO_LSK114	20	510626
TOTI_INVITRO_LSK114	21	618036
TOTI_ZYMO_LSK114	21	516353
TOTI_INVITRO_LSK114	22	553527
TOTI_ZYMO_LSK114	22	569587
TOTI_INVITRO_LSK114	23	585358
TOTI_ZYMO_LSK114	23	835396
TOTI_INVITRO_LSK114	24	580241
TOTI_ZYMO_LSK114	24	604138
TOTI_INVITRO_LSK114	25	640042
TOTI_ZYMO_LSK114	25	539521
TOTI_INVITRO_LSK114	26	555698
TOTI_ZYMO_LSK114	26	520481
TOTI_INVITRO_LSK114	27	609224
TOTI_ZYMO_LSK114	27	517530
TOTI_INVITRO_LSK114	28	617112
TOTI_ZYMO_LSK114	28	508387
TOTI_INVITRO_LSK114	29	560257
TOTI_ZYMO_LSK114	29	515098
TOTI_INVITRO_LSK114	30	586509
TOTI_ZYMO_LSK114	30	545878
TOTI_INVITRO_LSK114	31	618679
TOTI_ZYMO_LSK114	31	515801
TOTI_INVITRO_LSK114	32	601055
TOTI_ZYMO_LSK114	32	524956
TOTI_INVITRO_LSK114	33	623330
TOTI_ZYMO_LSK114	33	568160
TOTI_INVITRO_LSK114	34	624032
TOTI_ZYMO_LSK114	34	554859
TOTI_INVITRO_LSK114	35	602606
TOTI_ZYMO_LSK114	35	526437
TOTI_INVITRO_LSK114	36	565801
TOTI_ZYMO_LSK114	36	569651
TOTI_INVITRO_LSK114	37	559417
TOTI_ZYMO_LSK114	37	581372
TOTI_INVITRO_LSK114	38	615415
TOTI_ZYMO_LSK114	38	568050
TOTI_INVITRO_LSK114	39	661853
