sample	time_bin	bases
TOTI_INVITRO_LSK114	0	53722
TOTI_INVITRO_LSK114	1	333959
TOTI_INVITRO_LSK114	2	516871
TOTI_INVITRO_LSK114	3	554891
TOTI_INVITRO_LSK114	4	536250
TOTI_INVITRO_LSK114	5	554732
TOTI_INVITRO_LSK114	6	563711
TOTI_INVITRO_LSK114	7	611886
TOTI_INVITRO_LSK114	8	592191
TOTI_INVITRO_LSK114	9	618111
TOTI_INVITRO_LSK114	10	579202
TOTI_INVITRO_LSK114	11	614469
TOTI_INVITRO_LSK114	12	627105
TOTI_INVITRO_LSK114	13	599641
TOTI_INVITRO_LSK114	14	583869
TOTI_INVITRO_LSK114	15	560260
TOTI_INVITRO_LSK114	16	599096
TOTI_INVITRO_LSK114	17	596205
TOTI_INVITRO_LSK114	18	580514
TOTI_INVITRO_LSK114	19	596825
TOTI_INVITRO_LSK114	20	562327
TOTI_INVITRO_LSK114	21	618036
TOTI_INVITRO_LSK114	22	554098
TOTI_INVITRO_LSK114	23	585690
TOTI_INVITRO_LSK114	24	583067
TOTI_INVITRO_LSK114	25	636773
TOTI_INVITRO_LSK114	26	555238
TOTI_INVITRO_LSK114	27	609931
TOTI_INVITRO_LSK114	28	616405
TOTI_INVITRO_LSK114	29	570694
TOTI_INVITRO_LSK114	30	576695
TOTI_INVITRO_LSK114	31	619780
TOTI_INVITRO_LSK114	32	600153
TOTI_INVITRO_LSK114	33	622963
TOTI_INVITRO_LSK114	34	623577
TOTI_INVITRO_LSK114	35	611835
TOTI_INVITRO_LSK114	36	556572
TOTI_INVITRO_LSK114	37	559417
TOTI_INVITRO_LSK114	38	616211
TOTI_INVITRO_LSK114	39	661415
TOTI_INVITRO_LSK114	40	616377
TOTI_INVITRO_LSK114	41	611530
TOTI_INVITRO_LSK114	42	690773
TOTI_INVITRO_LSK114	43	590293
TOTI_INVITRO_LSK114	44	623363
TOTI_INVITRO_LSK114	45	615069
TOTI_INVITRO_LSK114	46	629651
TOTI_INVITRO_LSK114	47	620553
TOTI_INVITRO_LSK114	48	623236
TOTI_INVITRO_LSK114	49	621388
TOTI_INVITRO_LSK114	50	625546
TOTI_INVITRO_LSK114	51	605922
TOTI_INVITRO_LSK114	52	589272
TOTI_INVITRO_LSK114	53	591761
TOTI_INVITRO_LSK114	54	600114
TOTI_INVITRO_LSK114	55	607192
TOTI_INVITRO_LSK114	56	561849
TOTI_INVITRO_LSK114	57	543068
TOTI_INVITRO_LSK114	58	526483
TOTI_INVITRO_LSK114	59	547329
TOTI_INVITRO_LSK114	60	560952
TOTI_INVITRO_LSK114	61	634990
TOTI_INVITRO_LSK114	62	555825
TOTI_INVITRO_LSK114	63	546295
TOTI_INVITRO_LSK114	64	597188
TOTI_INVITRO_LSK114	65	539392
TOTI_INVITRO_LSK114	66	521164
TOTI_INVITRO_LSK114	67	519871
TOTI_INVITRO_LSK114	68	562309
TOTI_INVITRO_LSK114	69	556734
TOTI_INVITRO_LSK114	70	582061
TOTI_INVITRO_LSK114	71	564399
TOTI_INVITRO_LSK114	72	593804
TOTI_INVITRO_LSK114	73	564912
TOTI_INVITRO_LSK114	74	537650
TOTI_INVITRO_LSK114	75	536860
TOTI_INVITRO_LSK114	76	516631
TOTI_INVITRO_LSK114	77	526700
TOTI_INVITRO_LSK114	78	565281
TOTI_INVITRO_LSK114	79	519382
TOTI_INVITRO_LSK114	80	572650
TOTI_INVITRO_LSK114	81	565677
TOTI_INVITRO_LSK114	82	579387
TOTI_INVITRO_LSK114	83	567912
TOTI_INVITRO_LSK114	84	551319
TOTI_INVITRO_LSK114	85	573350
TOTI_INVITRO_LSK114	86	596628
TOTI_INVITRO_LSK114	87	539377
TOTI_INVITRO_LSK114	88	502492
TOTI_INVITRO_LSK114	89	593640
TOTI_INVITRO_LSK114	90	552426
TOTI_INVITRO_LSK114	91	217041
TOTI_INVITRO_LSK114	93	46619
TOTI_INVITRO_LSK114	94	34837
TOTI_INVITRO_LSK114	95	404614
TOTI_INVITRO_LSK114	96	651382
TOTI_INVITRO_LSK114	97	629245
TOTI_INVITRO_LSK114	98	606719
TOTI_INVITRO_LSK114	99	630317
TOTI_INVITRO_LSK114	100	535258
TOTI_INVITRO_LSK114	101	633668
TOTI_INVITRO_LSK114	102	633335
TOTI_INVITRO_LSK114	103	615595
TOTI_INVITRO_LSK114	104	643130
TOTI_INVITRO_LSK114	105	543362
TOTI_INVITRO_LSK114	106	549759
TOTI_INVITRO_LSK114	107	617178
TOTI_INVITRO_LSK114	108	497762
TOTI_INVITRO_LSK114	109	550153
TOTI_INVITRO_LSK114	110	534735
TOTI_INVITRO_LSK114	111	533840
TOTI_INVITRO_LSK114	112	621474
TOTI_INVITRO_LSK114	113	558940
TOTI_INVITRO_LSK114	114	493826
TOTI_INVITRO_LSK114	115	496926
TOTI_INVITRO_LSK114	116	533571
TOTI_INVITRO_LSK114	117	577266
TOTI_INVITRO_LSK114	118	539632
TOTI_INVITRO_LSK114	119	617474
TOTI_INVITRO_LSK114	120	541434
TOTI_INVITRO_LSK114	121	535558
TOTI_INVITRO_LSK114	122	533857
TOTI_INVITRO_LSK114	123	536368
TOTI_INVITRO_LSK114	124	590129
TOTI_INVITRO_LSK114	125	561487
TOTI_INVITRO_LSK114	126	558595
TOTI_INVITRO_LSK114	127	561608
TOTI_INVITRO_LSK114	128	570647
TOTI_INVITRO_LSK114	129	528043
