phylum	Gram
Acidobacteria	negative
Actinobacteria	positive
Ascomycota	
Bacteroidetes	negative
Campylobacterota	negative
Candidatus Melainabacteria	negative
Candidatus Saccharibacteria	positive
Chloroflexi	negative
Cyanobacteria	negative
Euryarchaeota	
Evosea	
Firmicutes	positive
Fusobacteria	negative
Proteobacteria	negative
Spirochaetes	negative
Tenericutes	negative
Thermodesulfobacteria	negative
Thermotogae	negative
unknown_ phylum	
Verrucomicrobia	negative
