superkingdom,phylum,genus,species,count,lineage
Archaea,Euryarchaeota,Methanobrevibacter,Methanobrevibacter smithii,9367,k__Archaea;p__Euryarchaeota;g__Methanobrevibacter;s__Methanobrevibacter smithii;x__unknown;y__unknown;z__unknown
Bacteria,Actinobacteria,Actinomyces,unknown_Actinomyces,475,k__Bacteria;p__Actinobacteria;g__Actinomyces;s__unknown;x__unknown;y__unknown;z__HMSC035G02
Bacteria,Actinobacteria,Adlercreutzia,Adlercreutzia equolifaciens,2997,k__Bacteria;p__Actinobacteria;g__Adlercreutzia;s__Adlercreutzia equolifaciens;x__unknown;y__unknown;z__Adlercreutzia equolifaciens DSM 19450
Bacteria,Actinobacteria,Asaccharobacter,Asaccharobacter celatus,5414,k__Bacteria;p__Actinobacteria;g__Asaccharobacter;s__Asaccharobacter celatus;x__unknown;y__unknown;z__unknown
Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium bifidum,4895,k__Bacteria;p__Actinobacteria;g__Bifidobacterium;s__Bifidobacterium bifidum;x__unknown;y__unknown;z__Bifidobacterium bifidum ATCC 29521 = JCM 1255 = DSM 20456
Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium bifidum,1577,k__Bacteria;p__Actinobacteria;g__Bifidobacterium;s__Bifidobacterium bifidum;x__unknown;y__unknown;z__Bifidobacterium bifidum PRL2010
Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium longum,5090,k__Bacteria;p__Actinobacteria;g__Bifidobacterium;s__Bifidobacterium longum;x__unknown;y__unknown;z__unknown
Bacteria,Actinobacteria,Bifidobacterium,Bifidobacterium pseudocatenulatum,7709,k__Bacteria;p__Actinobacteria;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum;x__unknown;y__unknown;z__Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505
Bacteria,Actinobacteria,Collinsella,Collinsella intestinalis,1248,k__Bacteria;p__Actinobacteria;g__Collinsella;s__Collinsella intestinalis;x__unknown;y__unknown;z__Collinsella intestinalis DSM 13280
Bacteria,Actinobacteria,Collinsella,uncultured Collinsella sp.,11350,k__Bacteria;p__Actinobacteria;g__Collinsella;s__uncultured Collinsella sp.;x__unknown;y__unknown;z__unknown
Bacteria,Actinobacteria,Collinsella,unknown_Collinsella,5848,k__Bacteria;p__Actinobacteria;g__Collinsella;s__unknown;x__unknown;y__unknown;z__AM34-10
Bacteria,Actinobacteria,Collinsella,unknown_Collinsella,5929,k__Bacteria;p__Actinobacteria;g__Collinsella;s__unknown;x__unknown;y__unknown;z__TF05-9AC
Bacteria,Actinobacteria,Cryptobacterium,unknown_Cryptobacterium,380,k__Bacteria;p__Actinobacteria;g__Cryptobacterium;s__unknown;x__unknown;y__unknown;z__CAG:338
Bacteria,Actinobacteria,Eggerthella,Eggerthella lenta,1807,k__Bacteria;p__Actinobacteria;g__Eggerthella;s__Eggerthella lenta;x__unknown;y__unknown;z__Eggerthella lenta DSM 2243
Bacteria,Actinobacteria,Eggerthella,uncultured Eggerthella sp.,896,k__Bacteria;p__Actinobacteria;g__Eggerthella;s__uncultured Eggerthella sp.;x__unknown;y__unknown;z__unknown
Bacteria,Actinobacteria,Eggerthella,unknown_Eggerthella,2086,k__Bacteria;p__Actinobacteria;g__Eggerthella;s__unknown;x__unknown;y__unknown;z__CAG:298
Bacteria,Actinobacteria,Enorma,Enorma massiliensis,1303,k__Bacteria;p__Actinobacteria;g__Enorma;s__Enorma massiliensis;x__unknown;y__unknown;z__Enorma massiliensis phI
Bacteria,Actinobacteria,Gordonibacter,Gordonibacter pamelaeae,922,k__Bacteria;p__Actinobacteria;g__Gordonibacter;s__Gordonibacter pamelaeae;x__unknown;y__unknown;z__Gordonibacter pamelaeae 7-10-1-b
Bacteria,Actinobacteria,unknown_Actinobacteria,Coriobacteriia bacterium,811,k__Bacteria;p__Actinobacteria;g__unknown;s__Coriobacteriia bacterium;x__unknown;y__unknown;z__unknown
Bacteria,Actinobacteria,unknown_Actinobacteria,uncultured Coriobacteriaceae bacterium,1648,k__Bacteria;p__Actinobacteria;g__unknown;s__uncultured Coriobacteriaceae bacterium;x__unknown;y__unknown;z__unknown
Bacteria,Bacteroidetes,Alistipes,Alistipes communis,5276,k__Bacteria;p__Bacteroidetes;g__Alistipes;s__Alistipes communis;x__unknown;y__unknown;z__unknown
Bacteria,Bacteroidetes,Alistipes,Alistipes finegoldii,4311,k__Bacteria;p__Bacteroidetes;g__Alistipes;s__Alistipes finegoldii;x__unknown;y__unknown;z__Alistipes finegoldii DSM 17242
Bacteria,Bacteroidetes,Alistipes,Alistipes ihumii,3618,k__Bacteria;p__Bacteroidetes;g__Alistipes;s__Alistipes ihumii;x__unknown;y__unknown;z__Alistipes ihumii AP11
Bacteria,Bacteroidetes,Alistipes,Alistipes indistinctus,410,k__Bacteria;p__Bacteroidetes;g__Alistipes;s__Alistipes indistinctus;x__unknown;y__unknown;z__Alistipes indistinctus YIT 12060
Bacteria,Bacteroidetes,Alistipes,Alistipes onderdonkii,8727,k__Bacteria;p__Bacteroidetes;g__Alistipes;s__Alistipes onderdonkii;x__Alistipes onderdonkii subsp. vulgaris;y__unknown;z__unknown
Bacteria,Bacteroidetes,Alistipes,Alistipes onderdonkii,4194,k__Bacteria;p__Bacteroidetes;g__Alistipes;s__Alistipes onderdonkii;x__unknown;y__unknown;z__Alistipes onderdonkii WAL 8169 = DSM 19147
Bacteria,Bacteroidetes,Alistipes,Alistipes putredinis,24238,k__Bacteria;p__Bacteroidetes;g__Alistipes;s__Alistipes putredinis;x__unknown;y__unknown;z__Alistipes putredinis DSM 17216
Bacteria,Bacteroidetes,Alistipes,Alistipes shahii,28165,k__Bacteria;p__Bacteroidetes;g__Alistipes;s__Alistipes shahii;x__unknown;y__unknown;z__Alistipes shahii WAL 8301
Bacteria,Bacteroidetes,Alistipes,Alistipes timonensis,1093,k__Bacteria;p__Bacteroidetes;g__Alistipes;s__Alistipes timonensis;x__unknown;y__unknown;z__Alistipes timonensis JC136
Bacteria,Bacteroidetes,Alistipes,uncultured Alistipes sp.,2808,k__Bacteria;p__Bacteroidetes;g__Alistipes;s__uncultured Alistipes sp.;x__unknown;y__unknown;z__unknown
Bacteria,Bacteroidetes,Bacteroides,Bacteroides caccae CAG:21,5755,k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides caccae CAG:21;x__unknown;y__unknown;z__unknown
Bacteria,Bacteroidetes,Bacteroides,Bacteroides cellulosilyticus CAG:158,13073,k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides cellulosilyticus CAG:158;x__unknown;y__unknown;z__unknown
Bacteria,Bacteroidetes,Bacteroides,Bacteroides cellulosilyticus,12889,k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides cellulosilyticus;x__unknown;y__unknown;z__Bacteroides cellulosilyticus DSM 14838
Bacteria,Bacteroidetes,Bacteroides,Bacteroides cellulosilyticus,9647,k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides cellulosilyticus;x__unknown;y__unknown;z__unknown
Bacteria,Bacteroidetes,Bacteroides,Bacteroides dorei CAG:222,7721,k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides dorei CAG:222;x__unknown;y__unknown;z__unknown
Bacteria,Bacteroidetes,Bacteroides,Bacteroides dorei,23337,k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides dorei;x__unknown;y__unknown;z__Bacteroides dorei DSM 17855
