superkingdom,phylum,genus,species,count,lineage
Archaea,Euryarchaeota,Methanobrevibacter,Methanobrevibacter smithii,9367,k__Archaea;p__Euryarchaeota;g__Methanobrevibacter;s__Methanobrevibacter smithii;x__unknown;y__unknown;z__unknown
Bacteria,Bacteroidetes,Bacteroides,Bacteroides dorei,10685,k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides dorei;x__unknown;y__unknown;z__unknown
Bacteria,Bacteroidetes,Bacteroides,Bacteroides eggerthii,690,k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides eggerthii;x__unknown;y__unknown;z__Bacteroides eggerthii DSM 20697
Bacteria,Bacteroidetes,Bacteroides,Bacteroides faecis,20184,k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides faecis;x__unknown;y__unknown;z__Bacteroides faecis MAJ27
Bacteria,Bacteroidetes,Bacteroides,Bacteroides finegoldii CAG:203,4136,k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides finegoldii CAG:203;x__unknown;y__unknown;z__unknown
Bacteria,Bacteroidetes,Bacteroides,Bacteroides finegoldii,5304,k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides finegoldii;x__unknown;y__unknown;z__Bacteroides finegoldii DSM 17565
Bacteria,Bacteroidetes,Bacteroides,Bacteroides fragilis,3482,k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides fragilis;x__unknown;y__unknown;z__unknown
Bacteria,Bacteroidetes,Bacteroides,Bacteroides massiliensis,23620,k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides massiliensis;x__unknown;y__unknown;z__Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223
Bacteria,Bacteroidetes,Bacteroides,Bacteroides ovatus,46373,k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides ovatus;x__unknown;y__unknown;z__unknown
Bacteria,Bacteroidetes,Bacteroides,Bacteroides salyersiae,15236,k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides salyersiae;x__unknown;y__unknown;z__Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988
Bacteria,Bacteroidetes,Bacteroides,Bacteroides stercoris,21817,k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides stercoris;x__unknown;y__unknown;z__Bacteroides stercoris ATCC 43183
Bacteria,Bacteroidetes,Bacteroides,Bacteroides thetaiotaomicron,28007,k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides thetaiotaomicron;x__unknown;y__unknown;z__unknown
Bacteria,Bacteroidetes,Bacteroides,Bacteroides timonensis,4212,k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides timonensis;x__unknown;y__unknown;z__unknown
Bacteria,Bacteroidetes,Bacteroides,Bacteroides uniformis,80352,k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides uniformis;x__unknown;y__unknown;z__unknown
Bacteria,Bacteroidetes,Bacteroides,Bacteroides vulgatus,25276,k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides vulgatus;x__unknown;y__unknown;z__Bacteroides vulgatus ATCC 8482
Bacteria,Bacteroidetes,Bacteroides,Bacteroides vulgatus,216794,k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides vulgatus;x__unknown;y__unknown;z__unknown
Bacteria,Bacteroidetes,Bacteroides,Bacteroides xylanisolvens,7281,k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides xylanisolvens;x__unknown;y__unknown;z__Bacteroides xylanisolvens XB1A
Bacteria,Bacteroidetes,Bacteroides,Bacteroides xylanisolvens,4951,k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__Bacteroides xylanisolvens;x__unknown;y__unknown;z__unknown
Bacteria,Bacteroidetes,Bacteroides,uncultured Bacteroides sp.,18776,k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__uncultured Bacteroides sp.;x__unknown;y__unknown;z__unknown
Bacteria,Bacteroidetes,Bacteroides,unknown_Bacteroides,3372,k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__unknown;x__unknown;y__unknown;z__43_108
Bacteria,Bacteroidetes,Bacteroides,unknown_Bacteroides,656,k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__unknown;x__unknown;y__unknown;z__CAG:144
Bacteria,Bacteroidetes,Bacteroides,unknown_Bacteroides,2951,k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__unknown;x__unknown;y__unknown;z__HF-5092
Bacteria,Bacteroidetes,Bacteroides,unknown_Bacteroides,5083,k__Bacteria;p__Bacteroidetes;g__Bacteroides;s__unknown;x__unknown;y__unknown;z__OF02-3LB
Bacteria,Bacteroidetes,Barnesiella,Barnesiella intestinihominis,8802,k__Bacteria;p__Bacteroidetes;g__Barnesiella;s__Barnesiella intestinihominis;x__unknown;y__unknown;z__Barnesiella intestinihominis YIT 11860
Bacteria,Bacteroidetes,Butyricimonas,Butyricimonas faecalis,4450,k__Bacteria;p__Bacteroidetes;g__Butyricimonas;s__Butyricimonas faecalis;x__unknown;y__unknown;z__unknown
Bacteria,Bacteroidetes,Butyricimonas,Butyricimonas virosa,1924,k__Bacteria;p__Bacteroidetes;g__Butyricimonas;s__Butyricimonas virosa;x__unknown;y__unknown;z__Butyricimonas virosa DSM 23226
Bacteria,Bacteroidetes,Gabonia,Gabonia massiliensis,378,k__Bacteria;p__Bacteroidetes;g__Gabonia;s__Gabonia massiliensis;x__unknown;y__unknown;z__unknown
Bacteria,Bacteroidetes,Odoribacter,Odoribacter laneus,3236,k__Bacteria;p__Bacteroidetes;g__Odoribacter;s__Odoribacter laneus;x__unknown;y__unknown;z__Odoribacter laneus YIT 12061
Bacteria,Bacteroidetes,Odoribacter,Odoribacter splanchnicus,11540,k__Bacteria;p__Bacteroidetes;g__Odoribacter;s__Odoribacter splanchnicus;x__unknown;y__unknown;z__unknown
Bacteria,Bacteroidetes,Odoribacter,uncultured Odoribacter sp.,298,k__Bacteria;p__Bacteroidetes;g__Odoribacter;s__uncultured Odoribacter sp.;x__unknown;y__unknown;z__unknown
Bacteria,Bacteroidetes,Parabacteroides,Parabacteroides distasonis,36416,k__Bacteria;p__Bacteroidetes;g__Parabacteroides;s__Parabacteroides distasonis;x__unknown;y__unknown;z__Parabacteroides distasonis ATCC 8503
Bacteria,Bacteroidetes,Parabacteroides,Parabacteroides distasonis,4108,k__Bacteria;p__Bacteroidetes;g__Parabacteroides;s__Parabacteroides distasonis;x__unknown;y__unknown;z__unknown
Bacteria,Bacteroidetes,Parabacteroides,Parabacteroides goldsteinii,2924,k__Bacteria;p__Bacteroidetes;g__Parabacteroides;s__Parabacteroides goldsteinii;x__unknown;y__unknown;z__Parabacteroides goldsteinii CL02T12C30
Bacteria,Bacteroidetes,Parabacteroides,Parabacteroides johnsonii,2614,k__Bacteria;p__Bacteroidetes;g__Parabacteroides;s__Parabacteroides johnsonii;x__unknown;y__unknown;z__Parabacteroides johnsonii CL02T12C29
Bacteria,Bacteroidetes,Parabacteroides,Parabacteroides johnsonii,5266,k__Bacteria;p__Bacteroidetes;g__Parabacteroides;s__Parabacteroides johnsonii;x__unknown;y__unknown;z__Parabacteroides johnsonii DSM 18315
Bacteria,Bacteroidetes,Parabacteroides,Parabacteroides merdae,7561,k__Bacteria;p__Bacteroidetes;g__Parabacteroides;s__Parabacteroides merdae;x__unknown;y__unknown;z__Parabacteroides merdae ATCC 43184
Bacteria,Bacteroidetes,Tidjanibacter,Tidjanibacter massiliensis,840,k__Bacteria;p__Bacteroidetes;g__Tidjanibacter;s__Tidjanibacter massiliensis;x__unknown;y__unknown;z__unknown
Bacteria,Candidatus Melainabacteria,unknown_Candidatus Melainabacteria,Candidatus Gastranaerophilales bacterium,12465,k__Bacteria;p__Candidatus Melainabacteria;g__unknown;s__Candidatus Gastranaerophilales bacterium;x__unknown;y__unknown;z__unknown
Bacteria,Firmicutes,Agathobaculum,Agathobaculum butyriciproducens,14447,k__Bacteria;p__Firmicutes;g__Agathobaculum;s__Agathobaculum butyriciproducens;x__unknown;y__unknown;z__unknown
Bacteria,Firmicutes,Anaerobutyricum,Anaerobutyricum hallii,9173,k__Bacteria;p__Firmicutes;g__Anaerobutyricum;s__Anaerobutyricum hallii;x__unknown;y__unknown;z__Anaerobutyricum hallii DSM 3353
Bacteria,Firmicutes,Anaerobutyricum,Anaerobutyricum hallii,8001,k__Bacteria;p__Firmicutes;g__Anaerobutyricum;s__Anaerobutyricum hallii;x__unknown;y__unknown;z__unknown
Bacteria,Firmicutes,Anaerobutyricum,Anaerobutyricum soehngenii,3472,k__Bacteria;p__Firmicutes;g__Anaerobutyricum;s__Anaerobutyricum soehngenii;x__unknown;y__unknown;z__unknown
Bacteria,Firmicutes,Anaeromassilibacillus,unknown_Anaeromassilibacillus,813,k__Bacteria;p__Firmicutes;g__Anaeromassilibacillus;s__unknown;x__unknown;y__unknown;z__An172
Bacteria,Firmicutes,Anaeromassilibacillus,unknown_Anaeromassilibacillus,1055,k__Bacteria;p__Firmicutes;g__Anaeromassilibacillus;s__unknown;x__unknown;y__unknown;z__An200
Bacteria,Firmicutes,Anaeromassilibacillus,unknown_Anaeromassilibacillus,2817,k__Bacteria;p__Firmicutes;g__Anaeromassilibacillus;s__unknown;x__unknown;y__unknown;z__An250
Bacteria,Firmicutes,Anaeromassilibacillus,unknown_Anaeromassilibacillus,1128,k__Bacteria;p__Firmicutes;g__Anaeromassilibacillus;s__unknown;x__unknown;y__unknown;z__Marseille-P4683
Bacteria,Firmicutes,Anaerostipes,Anaerostipes hadrus,8671,k__Bacteria;p__Firmicutes;g__Anaerostipes;s__Anaerostipes hadrus;x__unknown;y__unknown;z__Anaerostipes hadrus DSM 3319
Bacteria,Firmicutes,Anaerostipes,Anaerostipes hadrus,26052,k__Bacteria;p__Firmicutes;g__Anaerostipes;s__Anaerostipes hadrus;x__unknown;y__unknown;z__unknown
Bacteria,Firmicutes,Anaerotignum,Anaerotignum faecicola,2452,k__Bacteria;p__Firmicutes;g__Anaerotignum;s__Anaerotignum faecicola;x__unknown;y__unknown;z__unknown
Bacteria,Firmicutes,Anaerotruncus,Anaerotruncus colihominis,886,k__Bacteria;p__Firmicutes;g__Anaerotruncus;s__Anaerotruncus colihominis;x__unknown;y__unknown;z__Anaerotruncus colihominis DSM 17241
Bacteria,Firmicutes,Anaerotruncus,Anaerotruncus massiliensis,1879,k__Bacteria;p__Firmicutes;g__Anaerotruncus;s__Anaerotruncus massiliensis;x__unknown;y__unknown;z__unknown
Bacteria,Firmicutes,Bittarella,Bittarella massiliensis,725,k__Bacteria;p__Firmicutes;g__Bittarella;s__Bittarella massiliensis;x__unknown;y__unknown;z__unknown
Bacteria,Firmicutes,Blautia,[Ruminococcus] gnavus,1945,k__Bacteria;p__Firmicutes;g__Blautia;s__[Ruminococcus] gnavus;x__unknown;y__unknown;z__[Ruminococcus] gnavus AGR2154
Bacteria,Firmicutes,Blautia,[Ruminococcus] gnavus,6566,k__Bacteria;p__Firmicutes;g__Blautia;s__[Ruminococcus] gnavus;x__unknown;y__unknown;z__[Ruminococcus] gnavus ATCC 29149
Bacteria,Firmicutes,Blautia,[Ruminococcus] torques,1599,k__Bacteria;p__Firmicutes;g__Blautia;s__[Ruminococcus] torques;x__unknown;y__unknown;z__[Ruminococcus] torques ATCC 27756
Bacteria,Firmicutes,Blautia,[Ruminococcus] torques,8211,k__Bacteria;p__Firmicutes;g__Blautia;s__[Ruminococcus] torques;x__unknown;y__unknown;z__[Ruminococcus] torques L2-14
Bacteria,Firmicutes,Blautia,Blautia hansenii,858,k__Bacteria;p__Firmicutes;g__Blautia;s__Blautia hansenii;x__unknown;y__unknown;z__unknown
Bacteria,Firmicutes,Blautia,Blautia massiliensis,16463,k__Bacteria;p__Firmicutes;g__Blautia;s__Blautia massiliensis;x__unknown;y__unknown;z__unknown
Bacteria,Firmicutes,Blautia,Blautia obeum,2093,k__Bacteria;p__Firmicutes;g__Blautia;s__Blautia obeum;x__unknown;y__unknown;z__Blautia obeum A2-162
Bacteria,Firmicutes,Blautia,Blautia obeum,33883,k__Bacteria;p__Firmicutes;g__Blautia;s__Blautia obeum;x__unknown;y__unknown;z__Blautia obeum ATCC 29174
Bacteria,Firmicutes,Blautia,Blautia obeum,27595,k__Bacteria;p__Firmicutes;g__Blautia;s__Blautia obeum;x__unknown;y__unknown;z__unknown
Bacteria,Firmicutes,Blautia,Blautia wexlerae,8285,k__Bacteria;p__Firmicutes;g__Blautia;s__Blautia wexlerae;x__unknown;y__unknown;z__Blautia wexlerae AGR2146
Bacteria,Firmicutes,Blautia,Blautia wexlerae,45251,k__Bacteria;p__Firmicutes;g__Blautia;s__Blautia wexlerae;x__unknown;y__unknown;z__Blautia wexlerae DSM 19850
Bacteria,Firmicutes,Blautia,uncultured Blautia sp.,22148,k__Bacteria;p__Firmicutes;g__Blautia;s__uncultured Blautia sp.;x__unknown;y__unknown;z__unknown
Bacteria,Firmicutes,Blautia,unknown_Blautia,2969,k__Bacteria;p__Firmicutes;g__Blautia;s__unknown;x__unknown;y__unknown;z__AF19-10LB
Bacteria,Firmicutes,Blautia,unknown_Blautia,3074,k__Bacteria;p__Firmicutes;g__Blautia;s__unknown;x__unknown;y__unknown;z__KGMB01111
Bacteria,Firmicutes,Blautia,unknown_Blautia,2722,k__Bacteria;p__Firmicutes;g__Blautia;s__unknown;x__unknown;y__unknown;z__Marseille-P3087
Bacteria,Firmicutes,Blautia,unknown_Blautia,24311,k__Bacteria;p__Firmicutes;g__Blautia;s__unknown;x__unknown;y__unknown;z__SG-772
Bacteria,Firmicutes,Butyricicoccus,unknown_Butyricicoccus,686,k__Bacteria;p__Firmicutes;g__Butyricicoccus;s__unknown;x__unknown;y__unknown;z__OM04-18BH
Bacteria,Firmicutes,Candidatus Cibiobacter,Candidatus Cibiobacter qucibialis,12766,k__Bacteria;p__Firmicutes;g__Candidatus Cibiobacter;s__Candidatus Cibiobacter qucibialis;x__unknown;y__unknown;z__unknown
Bacteria,Firmicutes,Candidatus Stoquefichus,unknown_Candidatus Stoquefichus,357,k__Bacteria;p__Firmicutes;g__Candidatus Stoquefichus;s__unknown;x__unknown;y__unknown;z__SB1
Bacteria,Firmicutes,Catabacter,unknown_Catabacter,765,k__Bacteria;p__Firmicutes;g__Catabacter;s__unknown;x__unknown;y__unknown;z__UBA1685
Bacteria,Firmicutes,Clostridium,Clostridium disporicum,795,k__Bacteria;p__Firmicutes;g__Clostridium;s__Clostridium disporicum;x__unknown;y__unknown;z__unknown
Bacteria,Firmicutes,Clostridium,Clostridium phoceensis,3232,k__Bacteria;p__Firmicutes;g__Clostridium;s__Clostridium phoceensis;x__unknown;y__unknown;z__unknown
Bacteria,Firmicutes,Clostridium,Clostridium sporogenes,6636,k__Bacteria;p__Firmicutes;g__Clostridium;s__Clostridium sporogenes;x__unknown;y__unknown;z__unknown
Bacteria,Firmicutes,Clostridium,uncultured Clostridium sp.,32203,k__Bacteria;p__Firmicutes;g__Clostridium;s__uncultured Clostridium sp.;x__unknown;y__unknown;z__unknown
Bacteria,Firmicutes,Clostridium,unknown_Clostridium,4907,k__Bacteria;p__Firmicutes;g__Clostridium;s__unknown;x__unknown;y__unknown;z__26_22
Bacteria,Firmicutes,Clostridium,unknown_Clostridium,529,k__Bacteria;p__Firmicutes;g__Clostridium;s__unknown;x__unknown;y__unknown;z__29_15
Bacteria,Firmicutes,Clostridium,unknown_Clostridium,4683,k__Bacteria;p__Firmicutes;g__Clostridium;s__unknown;x__unknown;y__unknown;z__AF27-2AA
Bacteria,Firmicutes,Clostridium,unknown_Clostridium,13260,k__Bacteria;p__Firmicutes;g__Clostridium;s__unknown;x__unknown;y__unknown;z__AF37-5
Bacteria,Firmicutes,Clostridium,unknown_Clostridium,6497,k__Bacteria;p__Firmicutes;g__Clostridium;s__unknown;x__unknown;y__unknown;z__AM22-11AC
Bacteria,Firmicutes,Clostridium,unknown_Clostridium,2086,k__Bacteria;p__Firmicutes;g__Clostridium;s__unknown;x__unknown;y__unknown;z__AM33-3
Bacteria,Firmicutes,Clostridium,unknown_Clostridium,5741,k__Bacteria;p__Firmicutes;g__Clostridium;s__unknown;x__unknown;y__unknown;z__AM34-11AC
Bacteria,Firmicutes,Clostridium,unknown_Clostridium,26821,k__Bacteria;p__Firmicutes;g__Clostridium;s__unknown;x__unknown;y__unknown;z__AM49-4BH
Bacteria,Firmicutes,Clostridium,unknown_Clostridium,517,k__Bacteria;p__Firmicutes;g__Clostridium;s__unknown;x__unknown;y__unknown;z__AT4
Bacteria,Firmicutes,Clostridium,unknown_Clostridium,14841,k__Bacteria;p__Firmicutes;g__Clostridium;s__unknown;x__unknown;y__unknown;z__CAG:138
Bacteria,Firmicutes,Clostridium,unknown_Clostridium,11674,k__Bacteria;p__Firmicutes;g__Clostridium;s__unknown;x__unknown;y__unknown;z__CAG:167
Bacteria,Firmicutes,Clostridium,unknown_Clostridium,1332,k__Bacteria;p__Firmicutes;g__Clostridium;s__unknown;x__unknown;y__unknown;z__CAG:169
Bacteria,Firmicutes,Clostridium,unknown_Clostridium,16790,k__Bacteria;p__Firmicutes;g__Clostridium;s__unknown;x__unknown;y__unknown;z__CAG:217
Bacteria,Firmicutes,Clostridium,unknown_Clostridium,434,k__Bacteria;p__Firmicutes;g__Clostridium;s__unknown;x__unknown;y__unknown;z__CAG:245
Bacteria,Firmicutes,Clostridium,unknown_Clostridium,1196,k__Bacteria;p__Firmicutes;g__Clostridium;s__unknown;x__unknown;y__unknown;z__CAG:253
Bacteria,Firmicutes,Clostridium,unknown_Clostridium,1074,k__Bacteria;p__Firmicutes;g__Clostridium;s__unknown;x__unknown;y__unknown;z__CAG:273
Bacteria,Firmicutes,Clostridium,unknown_Clostridium,2335,k__Bacteria;p__Firmicutes;g__Clostridium;s__unknown;x__unknown;y__unknown;z__CAG:354_28_25
Bacteria,Firmicutes,Clostridium,unknown_Clostridium,666,k__Bacteria;p__Firmicutes;g__Clostridium;s__unknown;x__unknown;y__unknown;z__CAG:433
Bacteria,Firmicutes,Clostridium,unknown_Clostridium,3247,k__Bacteria;p__Firmicutes;g__Clostridium;s__unknown;x__unknown;y__unknown;z__CAG:58
Bacteria,Firmicutes,Clostridium,unknown_Clostridium,312,k__Bacteria;p__Firmicutes;g__Clostridium;s__unknown;x__unknown;y__unknown;z__Marseille-P3244
Bacteria,Firmicutes,Clostridium,unknown_Clostridium,4855,k__Bacteria;p__Firmicutes;g__Clostridium;s__unknown;x__unknown;y__unknown;z__OF03-18AA
Bacteria,Firmicutes,Clostridium,unknown_Clostridium,1103,k__Bacteria;p__Firmicutes;g__Clostridium;s__unknown;x__unknown;y__unknown;z__SN20
Bacteria,Firmicutes,Coprococcus,Coprococcus catus,4305,k__Bacteria;p__Firmicutes;g__Coprococcus;s__Coprococcus catus;x__unknown;y__unknown;z__Coprococcus catus GD/7
Bacteria,Firmicutes,Coprococcus,Coprococcus comes,13133,k__Bacteria;p__Firmicutes;g__Coprococcus;s__Coprococcus comes;x__unknown;y__unknown;z__Coprococcus comes ATCC 27758
Bacteria,Firmicutes,Coprococcus,Coprococcus eutactus,3657,k__Bacteria;p__Firmicutes;g__Coprococcus;s__Coprococcus eutactus;x__unknown;y__unknown;z__Coprococcus eutactus ATCC 27759
Bacteria,Firmicutes,Coprococcus,Coprococcus phoceensis,6515,k__Bacteria;p__Firmicutes;g__Coprococcus;s__Coprococcus phoceensis;x__unknown;y__unknown;z__unknown
Bacteria,Firmicutes,Dialister,Dialister invisus,1268,k__Bacteria;p__Firmicutes;g__Dialister;s__Dialister invisus;x__unknown;y__unknown;z__Dialister invisus DSM 15470
Bacteria,Firmicutes,Dialister,uncultured Dialister sp.,3547,k__Bacteria;p__Firmicutes;g__Dialister;s__uncultured Dialister sp.;x__unknown;y__unknown;z__unknown
Bacteria,Firmicutes,Dorea,Dorea formicigenerans,11039,k__Bacteria;p__Firmicutes;g__Dorea;s__Dorea formicigenerans;x__unknown;y__unknown;z__Dorea formicigenerans ATCC 27755
