Species	Zymo_D6323
[Eubacterium] rectale	39636
[Eubacterium] siraeum	122963
[Eubacterium] siraeum	22207
Clostridia bacterium UC5.1-1D4	1049
Clostridia bacterium UC5.1-1E11	429
Clostridiaceae bacterium AM27-36LB	3445
Clostridiaceae bacterium OM08-6BH	3168
Clostridiales bacterium CCNA10	3628
Clostridiales bacterium UBA1390	671
Clostridiales bacterium UBA4696	4039
Clostridiales bacterium VE202-03	4937
Clostridiales bacterium	26871
Firmicutes bacterium AF25-13AC	44890
Firmicutes bacterium AM31-12AC	1034
Firmicutes bacterium AM55-24TS	31791
Firmicutes bacterium CAG:103	2650
Firmicutes bacterium CAG:124	23326
Firmicutes bacterium CAG:170	996
Firmicutes bacterium CAG:176	2128
Firmicutes bacterium CAG:194	24994
Firmicutes bacterium CAG:24053_14	946
Firmicutes bacterium CAG:424	654
Firmicutes bacterium CAG:83	6676
Firmicutes bacterium CAG:94	855
Firmicutes bacterium CAG:95	539
Firmicutes bacterium OM08-11AC	4585
Firmicutes bacterium TM09-10	13231
Lachnospiraceae bacterium AM48-27BH	6352
Lachnospiraceae bacterium GAM79	15775
Lachnospiraceae bacterium OF09-33XD	673
Lachnospiraceae bacterium OM04-12BH	2999
Lachnospiraceae bacterium UBA7598	1234
Lachnospiraceae bacterium	10585
Ruminococcaceae bacterium AM07-15	1428
Ruminococcaceae bacterium D16	1238
Ruminococcaceae bacterium D5	358
Ruminococcaceae bacterium	14641
uncultured Clostridiales bacterium	110496
uncultured Erysipelotrichaceae bacterium	5906
uncultured Lachnospiraceae bacterium	21183
uncultured Ruminococcaceae bacterium	28098
Lentisphaeria bacterium	925
Victivallales bacterium CCUG 44730	996
unknown	5111
unknown	1982
Bilophila wadsworthia	4423
Desulfovibrio desulfuricans	706
Desulfovibrio fairfieldensis	424
uncultured Desulfovibrio sp.	923
Escherichia coli	1872
Klebsiella oxytoca	717
Oxalobacter formigenes	448
Parasutterella excrementihominis	4215
Sutterella wadsworthensis	4285
uncultured Sutterella sp.	4557
Proteobacteria bacterium CAG:495	755
uncultured Rhodospirillaceae bacterium	1206
unknown	580
Acholeplasmatales bacterium	3913
uncultured Mollicutes bacterium	506
uncultured Tenericutes bacterium	441
bacterium LF-3	6966
bacterium	2974
uncultured bacterium	4004
Akkermansia muciniphila	37651
Blastocystis hominis	549
unknown	3726
Faecalibacterium phage FP_Taranis	296
Faecalibacterium phage FP_Toutatis	412
unassigned	617629
