feature	Bacteria.Actinobacteria	Bacteria.Bacteroidetes	Bacteria.Candidatus.Melainabacteria	Bacteria.Cyanobacteria	Bacteria.Deferribacteres	Bacteria.Firmicutes	Bacteria.Fusobacteria	Bacteria.Lentisphaerae	Bacteria.Proteobacteria	Bacteria.Synergistetes	Bacteria.Tenericutes	Bacteria.Verrucomicrobia
PRMT_CO2_canis_ONT_20240807_bc02	-9.54546275332459	-7.2676441041887	-12.7855877467736	-16.1716831852788	-13.3705502474831	-0.044205955584374	-6.13758859788963	-13.2722056062948	-7.02922689188591	-14.3386121274596	-11.9480302680463	-17.404762356635
PRMT_CO3_canis_ONT_20240807_bc03	-9.68954446783665	-7.05248112714809	-12.5017662073269	-16.1716831852788	-14.1184375677754	-0.0519768846468361	-5.80414742155526	-13.2722056062948	-6.92594194681678	-14.3386121274596	-11.7399259445217	-17.404762356635
PRMT_CP1_canis_PB_20240807_bc31	-6.39060995310347	-6.60875478975933	-12.5127959584451	-16.1716831852788	-13.9087246358803	-0.0582550890124686	-7.3541336625847	-13.2722056062948	-6.52168588434501	-14.3386121274596	-12.7990923171347	-14.6972205306866
PRMT_CP2_canis_PB_20240807_bc32	-6.41097930671527	-6.76419683728693	-13.0184919261228	-16.1716831852788	-13.4211471207308	-0.0552194093483273	-7.32662913644068	-13.2722056062948	-6.64283357091693	-14.3386121274596	-12.6833002717822	-17.404762356635
PRMT_CP3_canis_PB_20240807_bc33	-6.50588538687926	-6.36598614609325	-12.5263844542754	-16.1716831852788	-12.9581006947008	-0.0645947321269509	-6.97391484590468	-13.2722056062948	-6.35032955945488	-14.3386121274596	-12.6839257013345	-17.404762356635
PRMT_LM1_canis_MONT_20240807_bc16	-5.40260604500556	-6.35076334268111	-12.3666067512722	-16.1716831852788	-13.4661424248231	-0.0720691532183198	-7.692295991946	-13.2722056062948	-7.03108320398357	-14.3386121274596	-13.6885387599858	-17.404762356635
PRMT_LM2_canis_MONT_20240807_bc17	-5.42405612603301	-6.55514134432418	-12.9260450727946	-16.1716831852788	-13.9265126286677	-0.0677009574098066	-7.90739747544636	-13.2722056062948	-7.06755233417713	-14.3386121274596	-13.5909095968027	-15.411939455838
PRMT_LM3_canis_MONT_20240807_bc18	-5.56106112154765	-6.18897843304135	-12.5160710689983	-16.1716831852788	-13.3231645756065	-0.073560614704821	-7.62024982676716	-13.2722056062948	-6.7379461544067	-14.3386121274596	-13.2477662501922	-17.404762356635
PRMT_HM1_human_MONT_20240807_bc28	-5.44335756369793	-3.00001204873537	-12.1392941177036	-16.1716831852788	-15.1184375677754	-0.238367215623635	-12.8299660813245	-13.2722056062948	-7.98175726903874	-14.3386121274596	-14.6885387599858	-17.404762356635
PRMT_HM2_human_MONT_20240807_bc29	-5.49493141460254	-3.12319850367613	-11.8569007644593	-16.1716831852788	-15.1184375677754	-0.220134479441048	-13.5357563163162	-13.2722056062948	-7.8894976091658	-14.3386121274596	-14.6885387599858	-17.404762356635
PRMT_HM3_human_MONT_20240807_bc30	-5.69554626246292	-2.79147099874046	-12.2072614396708	-16.1716831852788	-15.1184375677754	-0.269190827713857	-12.6213814420111	-13.2722056062948	-7.36350906599314	-14.3386121274596	-14.6885387599858	-14.6917707699025
PRMT_HO1_human_ONT_20240807_bc13	-10.0038595411912	-3.73428445525292	-11.9653297656623	-16.1716831852788	-15.1184375677754	-0.118834434405552	-13.7266773326016	-13.2722056062948	-8.57633549434841	-14.3386121274596	-14.6885387599858	-16.404762356635
PRMT_HO2_human_ONT_20240807_bc14	-9.69429878062884	-3.71772533931938	-11.7880078460353	-16.1716831852788	-15.1184375677754	-0.121337957589392	-13.117713291514	-13.2722056062948	-8.35410548996689	-14.3386121274596	-14.6885387599858	-17.404762356635
PRMT_HO3_human_ONT_20240807_bc15	-9.87097900238849	-3.43683719163626	-11.6484121940819	-16.1716831852788	-15.1184375677754	-0.147466889468614	-13.8051785198807	-13.2722056062948	-8.22293018135998	-14.3386121274596	-14.6885387599858	-15.2646105745709
PRMT_HP1_human_PB_20240807_bc43	-5.27560087694668	-2.82105917803288	-12.9214640345162	-16.1716831852788	-15.1184375677754	-0.27271201144921	-12.9214640345162	-13.2722056062948	-7.75914829609783	-14.3386121274596	-14.6885387599858	-14.5457407373193
PRMT_HP2_human_PB_20240807_bc44	-5.41183131443153	-2.96915552029438	-12.2977844903188	-16.1716831852788	-15.1184375677754	-0.245091778485959	-13.6848076134281	-13.2722056062948	-7.71105505800691	-14.3386121274596	-14.6885387599858	-17.404762356635
PRMT_HP3_human_PB_20240807_bc45	-5.41676360263353	-2.51883021533138	-12.3017411358252	-16.1716831852788	-15.1184375677754	-0.330128755466103	-13.1903863816911	-13.2722056062948	-7.30749208398405	-14.3386121274596	-14.6885387599858	-15.4230471384813
