feature	Bacteria.Actinobacteria	Bacteria.Bacteroidetes	Bacteria.Candidatus.Melainabacteria	Bacteria.Cyanobacteria	Bacteria.Deferribacteres	Bacteria.Firmicutes	Bacteria.Fusobacteria	Bacteria.Lentisphaerae	Bacteria.Proteobacteria	Bacteria.Synergistetes	Bacteria.Tenericutes	Bacteria.Verrucomicrobia
PRMT_FM1_FR_MONT_20240807_bc25_D6323	-6.52043022342324	-4.31485388919302	-8.8818436657866	-16.1716831852788	-15.1184375677754	-0.104571188531897	-12.6718031828014	-11.4724943831986	-8.32729964154987	-12.0551437367927	-12.0371216585498	-8.60491671161489
PRMT_FM2_FR_MONT_20240807_bc26_D6323	-6.55467001905156	-4.36648612574549	-8.8185543025993	-16.1716831852788	-15.1184375677754	-0.102276619342045	-13.926819967527	-11.8075210391547	-7.98189277975755	-12.5795208492041	-11.816925797934	-8.7227548249341
PRMT_FM3_FR_MONT_20240807_bc27_D6323	-6.77001266539383	-4.37769967539052	-8.84484229097305	-16.1716831852788	-15.1184375677754	-0.0983236554348184	-13.4411984619664	-11.5417253379204	-8.31152333791907	-12.3276168742438	-12.386750677944	-8.6517018767482
PRMT_FO1_FR_ONT_20240807_bc10_D6323	-9.85831246196268	-5.19302722644288	-8.67033821589621	-15.1716831852788	-15.1184375677754	-0.0505160064349136	-14.6050255387965	-12.1147349296517	-9.00422979657429	-12.7679591678277	-11.2184684975032	-10.4049213812719
PRMT_FO2_FR_ONT_20240807_bc11_D6323	-10.0464719814877	-5.21083274291413	-8.66634349426412	-14.6100601996562	-15.1184375677754	-0.0501115167514526	-14.4158840934063	-12.1490975527114	-8.94955813101923	-12.480258758718	-11.1305647176301	-10.3230918656769
PRMT_FO3_FR_ONT_20240807_bc12_D6323	-10.2147900263804	-5.30271998289605	-8.74000723784578	-14.3773974865021	-15.1184375677754	-0.0472452155912027	-14.0996345103279	-12.0181046248313	-8.88739191494604	-12.4570742601476	-11.35161321315	-10.5118787947143
PRMT_FP1_FR_PB_20240807_bc40_D6323	-6.49499880435725	-4.124770842225	-8.91253319430282	-16.1716831852788	-15.1184375677754	-0.116349111256252	-13.4837097114885	-12.2722056062948	-7.97253178776236	-13.3386121274596	-11.2190948813684	-8.82174414116209
PRMT_FP2_FR_PB_20240807_bc41_D6323	-6.35637668314843	-4.11725843216607	-8.94924812739077	-16.1716831852788	-15.1184375677754	-0.116072574760474	-15.6050255387965	-11.8477922883419	-8.55138687706328	-12.471290236862	-11.1415398971012	-9.04043736628425
PRMT_FP3_FR_PB_20240807_bc42_D6323	-6.68763639520109	-4.3445900425928	-8.87567714783739	-16.1716831852788	-15.1184375677754	-0.0994710080810086	-13.6523968614777	-12.0119392481648	-8.40669824904646	-12.5218477297075	-11.8595757831343	-9.06390266976971
PRMT_CO1_canis_ONT_20240807_bc01	-9.39545620899693	-7.14297656386928	-13.135895887215	-16.1716831852788	-13.7029364799389	-0.0482959917845057	-6.00653970686805	-13.2722056062948	-6.91135379921661	-14.3386121274596	-11.637645107176	-17.404762356635
