run_accession	study_accession	sample_accession	secondary_sample_accession	experiment_accession	tax_id	scientific_name	instrument_platform	read_count	experiment_title	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title	bam_ftp
ERR13926664	PRJEB82097	SAMEA116348885	ERS21409562	ERX13328539	9615	Canis lupus familiaris	OXFORD_NANOPORE	370709	MinION sequencing: Raw reads: Canfam_SRTP_A_F1_210201_ZMB	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/064/ERR13926664/ERR13926664.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR139/ERR13926664/SRTP_A_F1_210201_ZMB.fastq.gz		Canfam_SRTP_A_F1_210201_ZMB	SRTP_A_F1_210201_ZMB	ftp.sra.ebi.ac.uk/vol1/err/ERR139/064/ERR13926664/ERR13926664.bam
ERR13926665	PRJEB82097	SAMEA116348886	ERS21409563	ERX13328540	9615	Canis lupus familiaris	OXFORD_NANOPORE	354775	MinION sequencing: Raw reads: Canfam_SRTP_A_F1_210214_ZMB	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/065/ERR13926665/ERR13926665.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR139/ERR13926665/SRTP_A_F1_210214_ZMB.fastq.gz		Canfam_SRTP_A_F1_210214_ZMB	SRTP_A_F1_210214_ZMB	ftp.sra.ebi.ac.uk/vol1/err/ERR139/065/ERR13926665/ERR13926665.bam
ERR13926667	PRJEB82097	SAMEA116348887	ERS21409564	ERX13328542	9615	Canis lupus familiaris	OXFORD_NANOPORE	407029	MinION sequencing: Raw reads: Canfam_SRTP_A_F1_210221_ZMB	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/067/ERR13926667/ERR13926667.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR139/ERR13926667/SRTP_A_F1_210221_ZMB.fastq.gz		Canfam_SRTP_A_F1_210221_ZMB	SRTP_A_F1_210221_ZMB	ftp.sra.ebi.ac.uk/vol1/err/ERR139/067/ERR13926667/ERR13926667.bam
ERR13926669	PRJEB82097	SAMEA116348888	ERS21409565	ERX13328544	9615	Canis lupus familiaris	OXFORD_NANOPORE	67692	MinION sequencing: Raw reads: Canfam_SRTP_A_F1_210317_ZHMW	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/069/ERR13926669/ERR13926669.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR139/ERR13926669/SRTP_A_F1_210317_ZHMW.fastq.gz		Canfam_SRTP_A_F1_210317_ZHMW	SRTP_A_F1_210317_ZHMW	ftp.sra.ebi.ac.uk/vol1/err/ERR139/069/ERR13926669/ERR13926669.bam
ERR13926672	PRJEB82097	SAMEA116348889	ERS21409566	ERX13328547	9615	Canis lupus familiaris	OXFORD_NANOPORE	97297	MinION sequencing: Raw reads: Canfam_SRTP_A_F1_210317_ZMB	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/072/ERR13926672/ERR13926672.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR139/ERR13926672/SRTP_A_F1_210317_ZMB.fastq.gz		Canfam_SRTP_A_F1_210317_ZMB	SRTP_A_F1_210317_ZMB	ftp.sra.ebi.ac.uk/vol1/err/ERR139/072/ERR13926672/ERR13926672.bam
ERR13926674	PRJEB82097	SAMEA116348891	ERS21409568	ERX13328549	9615	Canis lupus familiaris	OXFORD_NANOPORE	53261	MinION sequencing: Raw reads: Canfam_SRTP_A_F1_210330_ZMB	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/074/ERR13926674/ERR13926674.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR139/ERR13926674/SRTP_A_F1_210330_ZMB.fastq.gz		Canfam_SRTP_A_F1_210330_ZMB	SRTP_A_F1_210330_ZMB	ftp.sra.ebi.ac.uk/vol1/err/ERR139/074/ERR13926674/ERR13926674.bam
ERR13926687	PRJEB82097	SAMEA116348898	ERS21409575	ERX13328562	9615	Canis lupus familiaris	OXFORD_NANOPORE	303672	MinION sequencing: Raw reads: Canfam_SRTP_A_F1_210830_ZMB	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/087/ERR13926687/ERR13926687.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR139/ERR13926687/SRTP_A_F1_210830_ZMB.fastq.gz		Canfam_SRTP_A_F1_210830_ZMB	SRTP_A_F1_210830_ZMB	ftp.sra.ebi.ac.uk/vol1/err/ERR139/087/ERR13926687/ERR13926687.bam
ERR13926705	PRJEB82097	SAMEA116348904	ERS21409581	ERX13328580	9615	Canis lupus familiaris	OXFORD_NANOPORE	31756	MinION sequencing: Raw reads: Canfam_SRTP_A_F1_211203_ZHMW	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/005/ERR13926705/ERR13926705.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR139/ERR13926705/SRTP_A_F1_211203_ZHMW.fastq.gz		Canfam_SRTP_A_F1_211203_ZHMW	SRTP_A_F1_211203_ZHMW	ftp.sra.ebi.ac.uk/vol1/err/ERR139/005/ERR13926705/ERR13926705.bam
ERR13926678	PRJEB82097	SAMEA116348893	ERS21409570	ERX13328553	9615	Canis lupus familiaris	OXFORD_NANOPORE	66759	MinION sequencing: Raw reads: Canfam_SRTP_A_F1_210415_ZMB	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/078/ERR13926678/ERR13926678.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR139/ERR13926678/SRTP_A_F1_210415_ZMB.fastq.gz		Canfam_SRTP_A_F1_210415_ZMB	SRTP_A_F1_210415_ZMB	ftp.sra.ebi.ac.uk/vol1/err/ERR139/078/ERR13926678/ERR13926678.bam
ERR13927195	PRJEB82097	SAMEA116348909	ERS21409586	ERX13329070	9615	Canis lupus familiaris	OXFORD_NANOPORE	37067	MinION sequencing: Raw reads: Canfam_SRTP_A_F2_210401_ZHMW	ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/095/ERR13927195/ERR13927195.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR139/ERR13927195/SRTP_A_F2_210401_ZHMW.fastq.gz		Canfam_SRTP_A_F2_210401_ZHMW	SRTP_A_F2_210401_ZHMW	ftp.sra.ebi.ac.uk/vol1/err/ERR139/095/ERR13927195/ERR13927195.bam
