genus	WGS_kraken2_kraken2_standard_ONT_ZMB1	WGS_kraken2_kraken2_standard_NovaSeq_ZMB1	WGS_kraken2_kraken2_standard_MySeq_ZHMW4	WGS_kraken2_kraken2_standard_MySeq_ZHMW3	WGS_kraken2_kraken2_standard_MySeq_ZHMW2	WGS_kraken2_kraken2_standard_MySeq_ZHMW1	WGS_kraken2_kraken2_standard_MySeq_Q4	WGS_kraken2_kraken2_standard_MySeq_Q3	WGS_kraken2_kraken2_standard_MySeq_Q2	WGS_kraken2_kraken2_standard_MySeq_Q1	WGS_kraken2_kraken2_standard_MySeq_MN4	WGS_kraken2_kraken2_standard_MySeq_MN3	WGS_kraken2_kraken2_standard_MySeq_MN2	WGS_kraken2_kraken2_standard_MySeq_MN1	WGS_kraken2_kraken2_standard_MySeq_I4	WGS_kraken2_kraken2_standard_MySeq_I3	WGS_kraken2_kraken2_standard_MySeq_I2	WGS_kraken2_kraken2_standard_MySeq_I1
Desulfosporosinus	326	464	46	45	46	47	13	16	27	23	66	53	87	132	78	74	153	79
Desulfosudis	2	1	3	1	6	0	1	0	0	0	4	2	5	11	16	8	19	4
Desulfotalea	3	48	1	3	3	1	0	1	0	0	3	1	6	7	2	4	6	1
Desulfotomaculum	7	30	4	9	4	4	3	10	6	8	2	4	7	13	4	7	12	4
Desulfovibrio	165	565	31	57	61	43	6	6	6	10	35	44	45	115	21	34	97	39
Desulfurispirillum	41	12	0	1	2	2	0	0	0	0	1	1	3	3	0	2	7	3
Desulfurivibrio	17	7	0	1	5	0	0	1	0	0	0	1	1	0	0	0	2	0
Desulfurobacterium	5	8	1	1	2	0	1	0	2	2	1	3	2	1	1	1	0	1
Desulfuromonas	81	395	20	34	30	41	4	2	3	9	28	36	54	94	32	30	75	36
Dethiosulfovibrio	1	1	0	2	1	0	1	1	0	1	1	0	2	2	2	0	2	0
Devosia	91	393	23	19	32	31	8	5	3	2	20	28	24	86	18	26	46	19
Devriesea	6	18	0	2	0	0	0	0	0	0	3	0	1	3	0	2	2	3
Dialister	73	174	4	6	11	12	2	0	0	1	16	10	16	43	9	6	29	7
Diaminobutyricimonas	2	12	1	0	1	0	0	0	0	0	0	2	1	1	0	1	0	0
Diaphorobacter	21	30	7	0	3	2	2	2	6	0	3	3	3	4	1	2	6	2
Dichelobacter	26	0	0	1	0	2	1	1	0	0	0	0	0	2	0	0	2	0
Dickeya	43	78	12	11	13	15	0	2	2	2	14	17	16	34	9	10	48	9
Dictyoglomus	48	79	12	10	12	19	8	10	12	10	14	15	25	29	19	21	56	27
Dietzia	15	52	2	1	0	1	0	0	0	0	2	3	2	9	1	2	2	2
Dinoroseobacter	5	2	2	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0
Dissulfurimicrobium	1	9	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	0
Dissulfurispira	17	19	3	3	6	3	0	0	1	0	5	6	7	15	5	5	11	8
Dokdonella	10	13	3	0	0	0	1	1	2	0	0	1	1	0	0	0	0	0
Dokdonia	53	83	9	13	4	9	4	10	6	7	10	8	15	23	14	14	42	12
Dolichospermum	4	6	0	2	3	0	4	3	6	5	0	3	3	5	1	2	1	2
Dolosigranulum	33	37	6	4	7	6	0	2	1	2	4	6	12	19	5	13	32	6
Domibacillus	160	162	9	14	18	23	2	2	0	0	19	18	34	52	29	29	58	24
Dongshaea	7	7	2	2	2	1	0	0	0	0	0	2	0	2	1	1	4	0
Dorea	24544	29703	2071	2405	2623	2560	68	114	39	64	3170	2730	4645	7985	3218	3401	8188	3976
Draconibacterium	222	347	29	35	32	39	42	72	45	37	33	49	61	76	65	47	150	59
Duffyella	18	7	0	0	1	1	2	1	1	0	1	1	1	0	0	0	1	0
Duganella	24	133	1	0	1	2	1	1	0	1	1	1	1	12	2	2	2	1
Duncaniella	29	21	1	3	1	2	17	20	23	15	2	1	4	3	2	2	3	3
Duodenibacillus	17	12	8	16	22	43	112	148	95	110	4	13	16	6	11	8	53	7
Dyadobacter	121	113	17	14	13	26	11	18	8	17	23	22	31	45	11	26	59	24
Dyella	19	78	4	4	7	7	10	5	4	6	7	10	9	21	5	5	21	7
Dysgonomonas	19	7	0	1	2	1	5	7	5	12	1	2	2	0	1	2	4	0
Dysosmobacter	304	644	59	113	96	71	83	47	14	39	50	50	119	143	36	37	106	66
Echinicola	58	147	9	8	6	18	12	15	9	11	11	3	14	11	17	14	22	8
Ectobacillus	8	42	9	8	9	5	0	1	0	2	13	10	17	30	4	15	20	10
Ectothiorhodosinus	2	7	0	2	0	0	0	1	0	0	1	0	1	0	1	0	0	0
Ectothiorhodospira	5	49	10	3	5	6	0	0	0	0	3	2	8	6	3	5	14	6
Edaphobacter	38	85	8	6	7	7	0	2	1	2	1	6	6	13	7	1	11	6
Edwardsiella	33	73	2	2	3	2	1	3	1	1	1	0	4	7	3	0	9	2
Effusibacillus	51	40	1	2	2	1	1	1	0	0	5	8	7	15	5	4	11	4
Eggerthella	2106	7880	88	109	141	157	11	8	1	5	136	125	186	485	115	169	351	139
Egibacter	5	102	5	8	4	2	0	1	0	0	3	7	6	23	7	2	13	5
Egicoccus	6	55	3	3	2	2	1	0	0	0	2	2	4	6	0	3	6	9
Ehrlichia	27	18	2	2	1	2	1	3	2	3	2	1	4	5	4	9	14	7
Eikenella	5	4	2	4	3	5	0	0	0	0	1	1	5	4	2	2	8	2
Eleftheria	13	69	4	2	5	3	0	1	1	2	2	2	1	13	0	2	8	2
Elioraea	5	6	1	0	1	1	0	0	0	0	2	2	4	3	2	1	1	0
Elizabethkingia	120	185	6	7	6	8	6	16	9	12	12	12	12	18	10	13	21	11
Elusimicrobium	4	9	1	1	0	0	2	1	0	1	0	0	1	1	0	0	1	0
Emcibacter	3	1	4	6	7	3	1	0	0	0	2	2	3	6	0	3	4	2
Emergencia	178	310	28	36	26	41	8	12	9	14	33	35	61	120	41	40	74	49
Empedobacter	17	29	1	3	4	5	1	1	1	2	5	4	15	20	8	8	21	9
Emticicia	15	37	4	8	4	3	5	7	10	9	7	4	11	17	7	7	13	9
Endlipuvirus	3	0	0	1	0	0	0	0	0	0	1	0	0	4	1	0	0	0
Endolissoclinum	0	4	0	1	0	1	0	0	0	0	1	0	0	1	0	1	2	0
Endomicrobium	22	50	1	5	7	5	1	1	4	2	7	3	10	21	4	9	17	6
Endozoicomonas	28	64	7	20	29	20	8	7	1	8	8	9	26	28	7	10	33	11
Enhydrobacter	2	2	1	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0
Ensifer	26	58	5	10	8	9	4	3	1	0	3	3	5	15	4	5	3	3
Enterobacter	91	82	12	11	13	13	10	4	4	6	7	13	26	15	11	8	23	12
