family	PRMT_CO1_canis_ONT_20240807_bc01	PRMT_CO2_canis_ONT_20240807_bc02	PRMT_CO3_canis_ONT_20240807_bc03	PRMT_CP1_canis_PB_20240807_bc31	PRMT_CP2_canis_PB_20240807_bc32	PRMT_CP3_canis_PB_20240807_bc33	PRMT_LM1_canis_MONT_20240807_bc16	PRMT_LM2_canis_MONT_20240807_bc17	PRMT_LM3_canis_MONT_20240807_bc18
Acidaminococcaceae	3857.65983574898	2387.10950923249	3334.00002547491	2930	4862.99999735816	3963.00000000023	2398	6035.99999999967	7074.03995908871
Bacteroidaceae	359.726110440798	250.660302013028	280.913112638898	492.410217895082	862.496981306059	651.833829753873	438.866114930318	995.306892572484	1261.59409693021
Bifidobacteriaceae	0	0	0	366	737	402	327	956	676
Campylobacteraceae	23	20	18	21	49	31	22	64	53
Christensenellaceae	69	38	38	42	82	47.9999999862986	31	71	83.1262117147004
Clostridiaceae	1625.36789953971	1112.2694840628	1168.04712515374	1356.19149346039	2841.38868408997	1651.79308512176	1160.20444353522	3226.40287141313	2784.02319063477
Clostridiales Family XIII. Incertae Sedis	4710.13280301451	3445.23253037517	3632.22775084556	4274	8198.80007275526	5108.00000001725	3136.07282552541	9326.9958623502	8363.00000000003
Coriobacteriaceae	194.999999999999	121	101	1089	1933.00003305123	1252	1988	5292.00000000755	4326.00000060653
Eggerthellaceae	32	19	18	68	147	76	195	592.000008241991	418
Enterobacteriaceae	324	198	248	54	111	76	36	98	121
Enterococcaceae	2329.98738926948	1698.99999999947	1466.86174110606	1795	3593	1790.29089141673	1287	4132.84503202119	2915.99999543552
Erysipelotrichaceae	2200.13361191976	1595.78491422061	1528.77831504733	1191	2421.83071411657	1442.34023717616	406.898258865101	1229.99999999822	992
Fusobacteriaceae	2516.00000000001	1599.00161521013	2122.00000000001	832.229303087462	1511.99999999999	1227.99999999992	489	1160	1308.99999999999
Hungateiclostridiaceae	274.367507953933	180.011445360458	229.638973119003	291.947708284193	528.500418927011	380.037030838829	253.242019640731	610.061113704725	585.426468067649
Lachnospiraceae	45013.0951916109	32307.4378481041	32228.3572227676	39023.5163135871	76563.0600119633	44601.4254715362	31190.6142708588	89049.134850145	74524.7223661452
Lactobacillaceae	9502.42117483281	6869.9972691124	6457.58303318985	7685.37298686354	15627.9167134398	8274.4440696268	6203.52132411063	18686.8256486356	14137.8047860029
Oscillospiraceae	241.88354104468	128.337899209659	202.134078409585	172.799069317769	292.777988759185	237.068557500909	150.741241881654	384.157094651779	412.827114157572
Peptococcaceae	585	409	490	1047	1853	1232	826.861755283883	2183.9999999992	2059.00000000912
Peptostreptococcaceae	34625.933712418	23020.1948346882	27334.3345453376	29493.7714611811	53359.2038631492	36638.9473991308	22828.1643851058	60105.8240833714	59587.5063654321
Prevotellaceae	66.8358676211059	46.948329374574	47.483300622086	119.97536113734	170.508173945935	168.018206050821	89.9234511947777	257.277414122733	276.741392535785
Rhodospirillaceae	54	32	35	28	50	42	34	79.0000049474968	111.000000011443
Ruminococcaceae	8839.0350173199	5304.7185604426	6866.8427527137	6414.0747090827	11339.1204684644	8731.36151499447	5197.67970750889	13746.3582743084	15032.3705457283
Selenomonadaceae	6647.11588703234	4082.81685323585	5504.1338038271	5221.99923573145	8728.9578855639	6964.05259759767	4153.99999999998	10228.9999996412	11943.7515949882
Streptococcaceae	32618.1343001303	24018.8321403754	21015.589422224	25363.0000001362	51588.9938330983	25500.7156695024	19950.00277262	61461.2786519764	44664.7513470228
Succinivibrionaceae	238	179	137	73	157	85	17	52	50
Sutterellaceae	616.000040419212	383	483	1196	2021.00398068131	1620	664	1705.99997446152	1942
Tannerellaceae	62.9999999943513	59	64	87	160	135	85	228	244
Thermoactinomycetaceae	288.910829974412	204.890490767513	226.999999900402	202.999999863816	491.99999915537	239.999999893851	221.999999855506	474.154917947477	449.698148177073
unassigned	677.438777044643	453.698243230307	574.138473992964	721.712140371868	1265.44018017483	1032.6714398549	728.207429104339	1719.67538419327	1999.61639722436
Veillonellaceae	162	101	118	153	242	126	113	283.000000000001	279.999999999418
