genus	PRMT_CO1_canis_ONT_20240807_bc01	PRMT_CO2_canis_ONT_20240807_bc02	PRMT_CO3_canis_ONT_20240807_bc03	PRMT_CP1_canis_PB_20240807_bc31	PRMT_CP2_canis_PB_20240807_bc32	PRMT_CP3_canis_PB_20240807_bc33	PRMT_LM1_canis_MONT_20240807_bc16	PRMT_LM2_canis_MONT_20240807_bc17	PRMT_LM3_canis_MONT_20240807_bc18
Harryflintia	17.9593672284439	11.5145997306673	13.6289262935932	29.3128431574292	39.0347415434669	33.1799876964565	12.3817593406038	55.6842203004084	45.3769628180136
Holdemanella	169.025987879207	145	87	84	173	72	32	100	48
Hungateiclostridium	52.6963964664905	50.5900704227911	45.4429180763644	70.5006814054237	107.852749100385	83.5318554832944	48.7730137511853	127.189666895247	148.342246689134
Hungatella	537.641250934405	350.89628494108	396.280405937304	433.100531280088	919.900961561043	585.11076235261	389.864411138615	1022.30722509287	911.118206749312
Hydrogenoanaerobacterium	96.0895103537859	54.9943211816736	78.4190026988235	74.1655519958033	128.895492216957	85.7237656215538	50.9254435516208	148.384334340415	189.851221579353
Ihubacter	259.379820303007	166.235852666367	178.398248059838	195.692363141627	453.580698224671	272.803559127232	169.484254395725	524.963013604159	474.302054672665
Intestinimonas	0	0	0	0	0	0	0	0	14.9023622686428
Laceyella	288.910829974412	204.890490767513	226.999999900402	202.999999863816	491.99999915537	239.999999893851	221.999999855506	474.154917947477	449.698148177073
Lachnoclostridium	231.167970774788	109.096015657477	159.141900396363	175.070966198505	284.567707114802	225.021685955355	139.224495416915	335.817219686511	354.174247744708
Lachnospira	1805.04317321981	1210.9332135733	1407.59593813065	1540.78159229332	2652.36938276644	1854.35159212655	1176.3512286591	2953.52370845067	2850.71647268067
Lacrimispora	525.877506515211	342.85646374836	422.695998445803	467.545940151296	807.646570632274	598.425570198909	368.949238923245	934.798597291491	1010.72366870448
Lactobacillus	9488.42117483281	6869.9972691124	6457.58303318985	7685.37298686354	15612.9167134398	8274.4440696268	6203.52132411063	18667.8256486356	14127.8047860029
Limosilactobacillus	14	0	0	0	15	0	0	19	10
Listeria	0	0	0	0	0	0	0	12	0
Longibaculum	24	11	17.0000000000014	13	29.0000000127028	18.0000017242326	0	14	16
Mageeibacillus	16.9956467747235	0	19.000304631805	16.0059591807999	21.8469947842033	16.831663894421	0	32.0271499451819	18.4090829286591
Mediterraneibacter	4018.48780440639	2941.49657618204	2998.62545153051	3196.68481319416	6599.57701295241	3879.05545299703	2575.82061974021	7736.05513757052	6513.81544113143
Megamonas	6637.11588703234	4082.81685323585	5504.1338038271	5221.99923573145	8728.9578855639	6964.05259759767	4153.99999999998	10214.9999996412	11943.7515949882
Megasphaera	140	78	105	106	166	116	100	224.000000000001	226.999999999418
Merdimonas	17.1564095158394	0	0	0	12.4766565912474	0	0	13.4045808733198	13.4815745213563
Monoglobus	41.0000018060801	24.9999999994813	35.9458427689266	20.0203132593563	47.9999841696769	30.9999240208773	17.9999999855886	54.8677578881649	48.8559613608446
Mucispirillum	14	0	0	10	24	12	0	19	24
Negativibacillus	470.846802510321	293.477576962148	367.149082984717	336.736570367522	604.014917902394	409.395781535569	267.885324151394	762.277946201509	802.651759397439
Neglecta	0	0	0	0	13.0066434133494	0	0	0	0
Odoribacter	0	0	0	11	0	0	0	13	13
Oscillibacter	115.057842454091	56.0271988328336	100.827605522945	79.840563459535	138.596064435698	112.16881758807	62.5317347016633	174.822094219549	212.595834578648
Paludicola	17.2671678367955	14.014175781367	13.0027984886912	12.0000000038923	17.0000025658001	14.0015489709231	0	27.3023197766335	30.0347277372394
Papillibacter	224.030257171939	115.539000628428	161.503183896869	170.38557948783	262.013278918981	187.890133272701	119.868584862143	315.026729068127	346.058632535761
Parabacteroides	62.9999999943513	59	64	87	160	135	85	228	244
Paraprevotella	66.8358676211059	46.948329374574	47.483300622086	119.97536113734	170.508173945935	168.018206050821	89.9234511947777	257.277414122733	276.741392535785
Parasutterella	146	81	117	413	678.999999998258	529.000000000242	116	319	350
Peptacetobacter	33266.896920018	22142.1775369065	26422.3345452234	28327.7714611811	51207.2039907303	35479.9473991257	21901.164385104	57648.4795787211	57499.2543318617
Peptococcus	585	409	490	1047	1853	1232	826.861755283883	2183.9999999992	2059.00000000912
Phascolarctobacterium	3857.65983574898	2387.10950923249	3334.00002547491	2930	4862.99999735816	3963.00000000023	2398	6035.99999999967	7074.03995908871
Phocaeicola	500.3135249894	340.594744819315	419.534650862078	598.614420967577	1048.16480633792	841.632414065693	613.210433874904	1422.7137626088	1669.80918655238
Phocea	85.2842876362919	55.9391120233762	72.7242509185749	37.8518608382513	90.0188520728936	54.2813801119367	38.0613227067231	114.84261756085	115.150047117308
Pseudoclostridium	168.124316240065	112.743259536859	126.624292269159	178.986950419499	310.967540803193	225.589726604245	158.322183954288	332.771447808999	323.848193604308
Pseudomonas	0	0	0	0	0	0	0	11	0
Raineyella	0	0	0	0	0	0	0	20	18
Raoultibacter	0	0	0	0	0	0	0	14	0
Robinsoniella	371.847275122716	258.721571913505	234.466040822503	308.259605733062	582.191848114977	321.43153755958	260.78225204689	678.502889502802	574.758492483938
Romboutsia	1359.03679239997	878.017297781758	912.000000114256	1156	2140.99987241887	1159.00000000512	927.00000000179	2447.34450464771	2071.07949568483
Roseburia	554.257781469859	359.264854104731	416.059682972983	462.01546701187	869.90671248525	540.03705511201	379.812309060979	1021.04600237709	882.262848609892
Ruminiclostridium	36.5511484726535	16.6781154008083	38.5714581416747	26.4541172784701	58.3801506535585	54.083784856869	46.146821935258	90.0308644401378	77.1520394753121
Ruthenibacterium	502.748048795635	290.506400643411	341.699167163897	337.109017687287	640.752290640786	459.807526375146	247.807800741831	738.77603171957	803.175413213241
Sellimonas	0	0	0	0	11.5177130831981	0	0	20.2630398735146	0
Slackia	32	19	18	68	129	61.0000000000783	162.000000000005	467.999915066213	344.000153589256
Solobacterium	56.1275507580619	36.7849216659322	36.0689358769367	32	37.8300384100951	22.5155501296124	20	29	35
Sporobacter	109.997993096905	63.0003951353686	78.5809496147722	68.9629054106108	133.76537678733	88.8300535184648	46.010255322362	137.485918817918	155.550211187967
Sporosarcina	0	0	0	0	19	0	0	14	0
Staphylococcus	0	0	0	0	13	0	0	0	0
Streptococcus	32618.1343001303	24018.8321403754	21015.589422224	25363.0000001362	51588.9938330983	25500.7156695024	19950.00277262	61461.2786519764	44664.7513470228
Succinivibrio	220	164	121	73	157	85	17	52	50
Sutterella	470.000040419212	302	366	783	1342.00398068306	1090.99999999976	548	1386.99997446152	1592
Terrisporobacter	0	0	0	0	0	0	0	0	17.1725378856193
Turicibacter	133	90	70	85	149	97	15	69	59
Tyzzerella	898.38052178538	606.242843008289	629.481797388861	875.799315968327	1588.53429779017	969.964431287453	620.77147470479	1840.81365936028	1658.72968911307
unassigned	5522.54922509652	3968.73038146884	4399.57692580048	4882.63215139334	9154.67430790109	5894.49949705961	3286.94714348158	9621.11513895004	8925.24344156007
Vampirovibrio	21	19	18	27	36	33	19	44	52
Veillonella	22	23	13	47	64	10	13	59	39
