species	PRMT_CO1_canis_ONT_20240807_bc01	PRMT_CO2_canis_ONT_20240807_bc02	PRMT_CO3_canis_ONT_20240807_bc03	PRMT_CP1_canis_PB_20240807_bc31	PRMT_CP2_canis_PB_20240807_bc32	PRMT_CP3_canis_PB_20240807_bc33	PRMT_LM1_canis_MONT_20240807_bc16	PRMT_LM2_canis_MONT_20240807_bc17	PRMT_LM3_canis_MONT_20240807_bc18
[Bacteroides] pectinophilus	0	0	0	0	10.7032272689203	14.0954757812873	0	0	0
[Clostridium] colinum	623.0777009947	446.820135880235	486.411791184888	563.026533117872	998.48832826163	699.239002688208	424.603372687133	1157.29805304291	1101.84968579147
[Clostridium] dakarense	48.1304126058564	24.0168043305674	24.5407300292767	40.8510382741494	56.8601696053881	24.5778437688615	27.0637014246593	84.0575205277763	64.1671023144349
[Clostridium] fimetarium	22.991146874777	14.9606100684869	16.4204483684236	16.9245243358069	54.8084722520111	26.9719476855805	18.9411273115421	38.4694096025813	38.4944795208027
[Clostridium] hylemonae	0	0	0	0	13.6871053949388	0	0	13.9930597705198	14.3501839925463
[Clostridium] leptum	86.2940557170197	62.8116296204129	61.0976530642395	64.2728485403347	123.803190942775	68.7402553639095	62.5973793418883	150.246617759415	145.701637609643
[Clostridium] methylpentosum	17.0236612322969	0	13.2823837992732	18.6354975339289	34.1402052078664	30.8489219281947	17.9370721212256	40.7910276968246	38.3966334372899
[Clostridium] polysaccharolyticum	0	0	0	0	0	0	0	12.4378651960633	0
[Clostridium] populeti	0	0	0	0	23.3588652931171	0	0	15.1498613300861	18.5156004457902
[Clostridium] saccharogumia	63.4423074967928	38.2342749172879	41.470428390949	33.8044811584894	62.393118880546	40.8106241707682	12.0078557392507	29.7572989765283	30.445611841133
[Clostridium] spiroforme	557.333272818971	392.621366056245	343.994522576401	316.620973491479	663.589669552377	344.867066184689	103.324167756246	312.255216070398	236.502827131977
[Clostridium] symbiosum	16.9464978093422	15.1366754930347	18.5087058637161	17.3464027076254	29.1817487455474	22.2484171733168	10.5108540076365	33.3541446053058	37.1820157522326
[Clostridium] viride	10.2114303145734	0	13.9537529890927	0	0	0	0	16.6634361871915	13.4075986801782
[Collinsella] massiliensis	0	0	0	0	0	0	0	14.1861063529779	0
[Eubacterium] brachy	6521.22536350479	4748.64372511246	5232.89362946354	5781.39497594275	11058.05372618	6776.57594019404	4428.00397400686	12283.5682251837	11257.8117737562
[Eubacterium] rectale	45.853461475411	43.5390506866	28.3455355186813	54.314814000853	61.5527113240757	28.6008041033442	21.4363521207742	96.1551824465927	68.7181387367102
[Eubacterium] siraeum	20.3084457495272	29.0733532786786	16.9998016543882	33.1086495499716	88.701829494171	0	11.0315414644315	54.9140747130115	40.051561237036
[Eubacterium] tenue	35.2429911382813	19.1891119693397	12.8155443850906	18.8152627950105	46.9850318632981	27.0347670863732	20.5324160695847	64.5571150539587	45.2343841703321
[Ruminococcus] faecis	826.723815484775	608.568949903936	606.753547729696	592.147637117142	1166.86689637417	660.72386838194	450.700181013263	1338.24192152308	1149.94413500548
[Ruminococcus] gnavus	3770.6405976091	2688.80466867948	2715.07124384438	3319.87152744238	6460.52425240401	3839.65111861899	2665.04727822296	7385.0875094669	6224.44652425004
[Ruminococcus] lactaris	147.618304998281	105.102315157931	97.5824496840341	100.72176289188	243.033665636545	109.627278910471	85.1120278878499	250.893821220469	146.457681284597
[Ruminococcus] torques	4041.16381634324	3043.11117185858	3085.67256877026	3282.32918195431	6609.20915586722	3850.85068428132	2577.62441903326	7966.29863049643	6549.64606413447
Abyssivirga alkaniphila	0	0	0	0	0	0	0	20.2951269683543	0
Acetivibrio ethanolgignens	30.0592999639794	18.1889852379904	22.6685929545647	24.7175347493845	37.7222121563282	25.940759246946	15.0585168058619	44.3129346334002	45.9186068230098
Adlercreutzia equolifaciens	0	0	0	0	0	0	0	29.317909594892	30.7998574232884
Adlercreutzia muris	0	0	0	0	0	0	0	30.7902311091524	20.8350520913242
Agathobacter ruminis	0	0	0	0	11.8661556183612	0	0	0	0
Agathobaculum butyriciproducens	188.377617789954	127.838857607988	146.413590774834	176.951971021086	268.751665239865	185.696137590767	132.574183919758	271.961102588654	315.756727902355
Agathobaculum desmolans	34.0835038928666	14.950219272095	23.8200712706462	16.8944100902654	43.9894161321629	37.16466101506	14.2161454999898	53.1190306535457	48.9975935075329
Akkermansia muciniphila	0	0	0	11.0200922299136	0	0	0	15.0147285703021	0
Alistipes indistinctus	0	0	0	0	0	0	0	12.0117828562417	0
Alistipes putredinis	0	0	0	0	10.0106046391365	0	0	0	0
Alkaliphilus crotonatoxidans	25.759846258228	0	22.0454151257763	16.8931519739917	41.1512265474796	27.87469799136	0	42.048974240799	35.5165368519011
Allisonella histaminiformans	16.0265115428397	16.0290034705007	13.0236906397867	15.0273984953367	21.0222697421867	17.0262190229672	0	25.0245476171702	25.0280299704197
Allobaculum stercoricanis	1258.30786900186	919.649683372596	888.651175689765	501.915109744247	1137.20472107857	668.030087755615	243.596584844141	714.706261806859	544.608779954882
Amedibacillus dolichus	197.583965076686	179.64315520404	152.194151384157	113.206401998203	238.249536350593	117.193487522948	54.1137694536541	139.136490978148	112.126741889308
Aminipila butyrica	606.131046773104	458.394459266575	447.291129072457	531.90146850472	1125.23803980125	626.526203442191	439.242696632054	1223.39266041295	1065.40801252587
Aminipila sp. JN-18	57.7377955402443	50.1102989168847	61.4560893209338	48.9813892660052	100.511976850065	62.1149126986985	28.0143578152223	97.8930239000978	103.837559182172
Anaerobacterium chartisolvens	15.4960244731924	12.9206403480855	0	13.4084012192363	22.6202790596971	12.0028010941906	0	25.4775223456573	23.1745307057658
Anaerobiospirillum succiniciproducens	43.0712497714061	35.0634450917204	36.0656029804811	0	14.0148713600219	10.0154229546866	0	10.0098190468681	0
