phylum	PRMT_CO1_canis_ONT_20240807_bc01	PRMT_CO2_canis_ONT_20240807_bc02	PRMT_CO3_canis_ONT_20240807_bc03	PRMT_CP1_canis_PB_20240807_bc31	PRMT_CP2_canis_PB_20240807_bc32	PRMT_CP3_canis_PB_20240807_bc33	PRMT_LM1_canis_MONT_20240807_bc16	PRMT_LM2_canis_MONT_20240807_bc17	PRMT_LM3_canis_MONT_20240807_bc18
Actinobacteria	226.999999999999	140	119	1523	2817.00003305123	1730	2510	6860.00000824954	5438.00000060653
Bacteroidetes	999.875503045655	697.203376206917	811.931064123062	1309	2262.16996158991	1811.48444987039	1227	2950.29806930402	3507.14467601838
Candidatus Melainabacteria	21	19	18	27	36	33	19	44	52
Deferribacteres	14	0	0	10	24	12	0	19	24
Firmicutes	153736.303953865	106998.737277598	111978.132612247	126769.770696913	242864.826024677	147072.51555013	99605.000000021	281567.000021748	246172.855303276
Fusobacteria	2516.00000000001	1599.00161521013	2122.00000000001	832.229303087462	1511.99999999999	1227.99999999992	489	1160	1308.99999999999
Proteobacteria	1255.00004041921	812	921	1372	2388.00398068131	1854	773	2022.99997446152	2289
Tenericutes	41	23	33	22	42	32	0	26	26
