Gram.Stain	PRMT_CO1_canis_ONT_20240807_bc01	PRMT_CO2_canis_ONT_20240807_bc02	PRMT_CO3_canis_ONT_20240807_bc03	PRMT_CP1_canis_PB_20240807_bc31	PRMT_CP2_canis_PB_20240807_bc32	PRMT_CP3_canis_PB_20240807_bc33	PRMT_LM1_canis_MONT_20240807_bc16	PRMT_LM2_canis_MONT_20240807_bc17	PRMT_LM3_canis_MONT_20240807_bc18
NA	27.0447382285419	24.0435052057511	15.0273345752005	19.0347047607599	51.0540836595963	43.0663187051522	21.0442436764184	42.041239996846	56.0627870331713
negative	11310.5809505675	7319.47971467942	9119.11593072633	8077.15218159058	14397.389776019	11191.5289319014	5953.36165902136	14719.9225397575	16335.9260225374
positive	349305.527327419	247301.073299657	258138.898114767	284648.796728342	545564.861140566	331465.910961215	232173.143959534	639834.346748854	558183.18663622
