Gram.Stain	PRMT_CO1_canis_ONT_20240807_bc01	PRMT_CO2_canis_ONT_20240807_bc02	PRMT_CO3_canis_ONT_20240807_bc03	PRMT_CP1_canis_PB_20240807_bc31	PRMT_CP2_canis_PB_20240807_bc32	PRMT_CP3_canis_PB_20240807_bc33	PRMT_LM1_canis_MONT_20240807_bc16	PRMT_LM2_canis_MONT_20240807_bc17	PRMT_LM3_canis_MONT_20240807_bc18
NA	14	0	0	10	24	12	0	19	24
negative	4832.87554346488	3150.20499141704	3905.93106412308	3562.22930308746	6240.17394227122	4958.48444987031	2508	6203.29804376554	7183.14467601837
positive	153963.303953865	107138.737277598	112097.132612247	128292.770696913	245681.826057729	148802.51555013	102115.000000021	288427.000029998	251610.855303883
