order	PRMT_HM1_human_MONT_20240807_bc28	PRMT_HM2_human_MONT_20240807_bc29	PRMT_HM3_human_MONT_20240807_bc30	PRMT_HO1_human_ONT_20240807_bc13	PRMT_HO2_human_ONT_20240807_bc14	PRMT_HO3_human_ONT_20240807_bc15	PRMT_HP1_human_PB_20240807_bc43	PRMT_HP2_human_PB_20240807_bc44	PRMT_HP3_human_PB_20240807_bc45
Acidaminococcales	10011.9994467546	6521.74927457214	6986.18865339145	24223.3761630702	8076.85721427771	14380.9137886463	6540.71450119097	3562.60905414822	11011.4157609675
Bacillales	809.988030282093	518.529942429311	773.522515803664	1475.96320820828	895.804676346619	910.92986658531	694.320276388593	392.093192565833	969.909236689954
Bacteroidales	51908.0612230206	32739.9564791601	38257.0255312756	65209.8214332848	25014.9391579845	43643.4564824659	40655.1085635742	21888.7561533793	76694.785097984
Bifidobacteriales	7644.09908624568	4573.28517687069	4180.85221434133	84.0268179346275	64.0059774122738	58.5461413350138	6172.0402218489	3201.19480774869	8285.03305481332
Burkholderiales	667.382442752911	470.405597398452	552.462863358917	832.228190397386	265.194961345897	494.254091521171	881.788598914122	509.6391820619	1825.88045276527
Clostridiales	339811.724818858	237111.818609483	210688.500442696	771218.384083799	292268.696285234	410101.59536342	229429.858665123	140085.302355407	336027.969259182
Coriobacteriales	1496.84106936806	1379.19011041237	652.549460789719	355.097370456036	134.357435246939	170.087439674881	903.079767360531	574.720806490247	1404.69401512127
Desulfovibrionales	142.081416133866	120.103556782583	183.153449265728	72.0199494674391	19.0139783605979	51.0262319024638	62.0554973129047	65.081624428337	202.097452854019
Eggerthellales	402.710165323472	373.323153893959	277.498949889652	406.121277983812	198.893601259883	276.085190381134	330.665346801751	250.349789953686	599.931394755293
Enterobacterales	261.991250052006	160.138098206119	316.304644051811	382.062069957295	280.197515407706	216.134387765509	212.182833670816	136.170786490549	315.635167338532
Erysipelotrichales	123.088871245991	86.0100837197789	65.0545857653529	388.793986992529	174.150961390818	207.119814727181	170.141673568991	92.1159302080059	272.207620335289
Fusobacteriales	57.032681124158	24.0207113565167	42.0352178642654	64.0181362466043	37.0272210180165	33.0169835632908	37.0331193641528	13.0163248856674	47.0226746739548
Lactobacillales	725.521612140419	355.855326756744	693.768073227685	1138.34370388048	632.4954817788	632.354452157836	549.20568375313	260.456653008593	745.981814091263
Pseudomonadales	0	0	18.0150933703995	22.0060342254445	20.0799299888594	18.0092583185166	0	11.0138133647955	20.0096487974276
Rhizobiales	309.861120693648	269.497969386391	314.398126723188	535.750455932744	247.581777438403	438.04605430622	101.013776318186	31.6681465599899	248.552229122376
Rhodospirillales	240.288497587857	164.170407215577	208.663687118722	383.053009333991	155.094408845464	315.272710553797	69.1383937333273	64.4524064418617	143.513345642029
Selenomonadales	98.0261613876216	35.0302040615868	75.0628890433311	125.114142960351	77.0566491455811	83.5809583882013	62.055502658566	23.0288824900269	94.0453493479097
Sneathiellales	21.1777663834275	18.7216874316126	15.3893102289183	30.1718912315732	18.6335447588558	32.0850149966084	0	0	19.1327080227317
Vampirovibrionales	92.0527498675199	76.9080401010537	56.0113248377341	217.030852765902	93.0684203966109	147.227436819805	37.0331193641528	34.0426958548224	87.0595068770587
Veillonellales	444.029490307944	270.252777784016	500.443629664488	646.518768689137	440.802901672272	379.205860252232	371.341826915671	210.262279305088	526.13076154487
