phylum	PRMT_HM1_human_MONT_20240807_bc28	PRMT_HM2_human_MONT_20240807_bc29	PRMT_HM3_human_MONT_20240807_bc30	PRMT_HO1_human_ONT_20240807_bc13	PRMT_HO2_human_ONT_20240807_bc14	PRMT_HO3_human_ONT_20240807_bc15	PRMT_HP1_human_PB_20240807_bc43	PRMT_HP2_human_PB_20240807_bc44	PRMT_HP3_human_PB_20240807_bc45
Actinobacteria	4315.00000014402	2877	2260	327	145	202.00000052806	3298	1789	4703
Bacteroidetes	23600.0013766688	14816.0000076764	17266.9969966715	29710.9171673568	10967.9999999999	19530.0135705012	18496.0000016233	9793.00358959552	34838.0215260888
Candidatus Melainabacteria	37	34	25	105	42	62	14	13	29
Firmicutes	158610.998623189	110675.999992323	98281.0030033285	363544.082832641	131231.000000001	190868.986428973	106778.999998377	64763.9964104047	157597.978473911
Proteobacteria	642	511	600	885	326	620	522	280	1151
