family	PRMT_HM1_human_MONT_20240807_bc28	PRMT_HM2_human_MONT_20240807_bc29	PRMT_HM3_human_MONT_20240807_bc30	PRMT_HO1_human_ONT_20240807_bc13	PRMT_HO2_human_ONT_20240807_bc14	PRMT_HO3_human_ONT_20240807_bc15	PRMT_HP1_human_PB_20240807_bc43	PRMT_HP2_human_PB_20240807_bc44	PRMT_HP3_human_PB_20240807_bc45
Acidaminococcaceae	4688.00000000042	3024.99999999986	3198.00000000011	11212.0222400559	3519.99999999993	6565.99999999983	3031	1608.00000000001	4892.00000000004
Bacteroidaceae	7731.00086672039	4813.00000000088	5580.00952979387	11110.327743295	4059.87941405986	7184.01444349634	6677.43060844493	3446	12072.792904607
Barnesiellaceae	1361	843	938	1611	561	1001	1046	558	1977.99981935162
Bifidobacteriaceae	3443.00000014402	2073	1871	0	0	0	2770	1412	3769
Catabacteriaceae	24.8382070491625	16.6149863861893	30.6256718621126	44.1002409812803	22.6089607754987	12.5021217668057	19.0719700084748	0	30.0446108334558
Christensenellaceae	109.161792950842	74.3850136138107	68.3743131998465	176.899759018719	57.4930812838579	109.497877029903	62.9280299915247	57.9999999999783	90.9553891665441
Clostridiaceae	2231.05875018552	1490.26838963646	1404.01636406159	5345.79971671527	1933.04322616859	3006.10235395423	1675.81461803385	975.153356861466	2485.44537141274
Clostridiales Family XIII. Incertae Sedis	228	216	184.00000005449	457	240	294.999999994969	158	109	245
Cohaesibacteraceae	101.020663407843	93.0353967925192	103.373073512719	170.029479206839	66.4376586662464	156.648961911097	40.7844246489345	27	97.7571247584994
Coriobacteriaceae	686	628	263	155	61	84	386	255	652
Desulfovibrionaceae	67	60	79	18	0	12	21	18	92
Eggerthellaceae	186	176	126	172	84	118.00000052806	142	122	282
Enterobacteriaceae	18	11	23	32	23	16	15	0	20
Erysipelotrichaceae	56	28	0	137	58	89	66	43	99
Eubacteriaceae	1227.82094566159	945.000049266744	763	3216.40514831063	1150.99985628536	1632.14063041749	807.00000000003	529	1190.00000025017
Hungateiclostridiaceae	96.0869982908451	59.1762369703649	71.0892596695463	268.848086301915	79.0960510625622	143.928694502362	79.7628460315941	37.3904877422655	127.541278031475
Lachnospiraceae	114298.655466183	80644.4639925622	69429.7248405714	251684.545118746	92890.1403008384	129114.588136125	77548.6817839022	47826.0674061662	111110.14908688
Methylocystaceae	29.3465686711439	32.8429416754202	34.0593351230901	82.7158517290597	30.1721024472901	51.5635122803221	20.0000000027367	0	31.2520634908922
Odoribacteraceae	194	127	152	211	100	167	156	88	281
Oscillospiraceae	749.620010005826	433.594957054346	482.355143039894	1854.15562830054	595.675035566829	1067.18322517711	441.002010491913	255	753.389506374292
Peptostreptococcaceae	31	17	39	46	32	16.0000000050311	28	17	42
Rhizobiaceae	53.5051835023678	37.6641607082509	45.9148693042212	89.4466495591487	60.976427971731	88.8457953814844	0	0	35.4967107156175
Rhodospirillaceae	39.7297625603637	43.4575008238096	45.258483988228	86.4309904588121	32.4138109147325	44.8184676648752	13.2155753483288	0	28.4941010349908
Rikenellaceae	1866	1181	1288	2180.91716735684	793	1480.00000000047	1362	715	2684
Ruminococcaceae	32340.0670365996	22031.5298853123	20909.8849614238	82639.4622551129	28345.8508603424	45386.4119462537	21137.9026832058	12392.2004184958	33955.119080463
Streptococcaceae	75	39	43	140	60	64	36	0	51
Sutterellaceae	312	233	253	389	113	235	412	235	846
Thermoactinomycetaceae	260.000000000065	209.000065829155	185.003003328497	616.285751459258	384.000086561549	358.005795620276	199.999999997805	137.993185039464	332.976884599305
unassigned	14590.6899262103	9304.96642336711	10707.9169129948	20235.2311443429	7284.21312705638	12690.6247751305	10657.4054498924	5755.19514569502	19914.5860680309
Veillonellaceae	43	28	45	71	39	40	46	20	66
