species	PRMT_HM1_human_MONT_20240807_bc28	PRMT_HM2_human_MONT_20240807_bc29	PRMT_HM3_human_MONT_20240807_bc30	PRMT_HO1_human_ONT_20240807_bc13	PRMT_HO2_human_ONT_20240807_bc14	PRMT_HO3_human_ONT_20240807_bc15	PRMT_HP1_human_PB_20240807_bc43	PRMT_HP2_human_PB_20240807_bc44	PRMT_HP3_human_PB_20240807_bc45
[Ruminococcus] gnavus	3876.38553408873	2874.57714522185	2320.52945922371	9055.96913820446	3587.3515247804	4636.19979451466	2567.73498104333	1779.4937440611	3636.84369394425
[Ruminococcus] torques	706.854325457554	668.594940416752	462.815541951993	1583.45469215591	751.286041662962	907.772169181044	482.196108371396	365.803918095868	751.283908874087
Agathobaculum butyriciproducens	1260.48944360936	876.1242088401	785.053313402594	2968.09450852624	1074.83586417205	1659.88090709108	776.407887554859	550	1164.23869356462
Alistipes putredinis	941	630	639	1163.91625317989	418	749.000000000467	676	349	1260.99999953252
Anaerobutyricum hallii	5942.99999991056	4549.94574012145	3581.00255846702	11437.6590233792	4376.814168516	5952.11372080135	4874.87173061523	3166.0000000023	7094.96430731512
Anaerostipes hadrus	2947.99989358323	2446.03665723844	1761.48041360959	6501.39403581644	2931.136399198	3428.06517333587	1908.00004618817	1543.00000000013	2873.06423642782
Anaerotignum lactatifermentans	826.580343005801	566.805438883399	534.415657139257	1991.1696961601	673.244077014522	1185.02259846103	606.714682085406	363.999499152671	1018.24450483669
Bacteroides ovatus	1307.16047591615	929.997537490634	983.537271110578	3044.8615035702	1103.27293422957	1997.77783576655	1671.84234127757	897.297793732778	2910.89251351851
Bacteroides uniformis	4973.00085019634	2985.00000000068	3571.00952984413	6216.31850460875	2263.87941405986	4010.00032896006	3911.43060843549	1951	7271.79297013749
Barnesiella intestinihominis	1208	748	855	1453	503	888	941	511	1811
Bifidobacterium adolescentis	3386.31762685764	2027.21678716468	1830.89998514356	0	0	0	2719.0251548377	1386.92168427414	3708.14305865307
Blautia faecis	11092.8963241555	7443.84032574596	6538.24133311165	24465.9312368996	8716.60256808949	12197.8423735227	7432.87135496879	4350.79247835449	10557.5138479946
Blautia luti	3109.60355911758	2180.20023231735	1967.61907369936	7233.72905647981	2583.94561644259	3857.76258645583	2090.44432766849	1271.72532087978	2955.73474383123
Blautia sp. SC05B48	36642.5098052164	25838.4354780462	21795.4335140503	79286.9308313888	29042.1780443617	39276.2500456132	24195.4703798491	15017.6289208335	33720.8864123349
Blautia stercoris	1291.82076615824	898.553949041564	722.178751862015	3123.24665256729	1088.78600499646	1541.90990465289	962.424803221601	573.068778588744	1378.78947396954
Blautia wexlerae	26678.6438265369	17999.1767372173	16589.4865089776	58055.4756015758	20799.2623309994	30254.1065174696	17992.0572732668	10574.7599023253	25810.1079005275
Dorea longicatena	5586.32350807851	4793.05186985552	3420.99945118035	12684.6482277948	5745.90632811385	6739.99914054437	3676.81054997553	2776.93548206393	5488.41251864537
Enterocloster bolteae	1647.8791870257	904.435048084472	973.819604970595	3823.83815865448	1190.53189180634	2072.61141086738	1156.96960756465	558.772370748873	1718.09788539795
Eubacterium coprostanoligenes	755	604	419	2107.99999999941	698.999856334109	976.000034723385	479.00000000003	345	685
Faecalibacterium prausnitzii	21814.0068992844	14464.9999264945	14908.0013094807	54434.8416088399	17914.0577671161	30960.8456982117	13962.0803176774	7895.99612941233	23549.9937577556
Fusicatenibacter saccharivorans	2653.15057419691	1791.63951424424	1607.99248984353	6110.9692825295	2060.40660832113	3096.07856391545	1743.62701305606	1028.88911870951	2476.40230175331
Hungatella hathewayi	1754.3104631967	1108.61818276464	1112.4803237848	4117.58285242627	1383.89481155978	2299.88185644783	1190.13687856612	672.568981317897	1733.05545668114
Lachnoclostridium pacaense	1268.16577409443	893.602971544666	839.771660788044	2948.56945683246	998.209926416992	1579.69416117786	905.077674866459	450.117329831644	1366.71852837348
Lachnospiraceae bacterium GAM79	1626.62393194397	945.000000002463	945.000000142285	3838.88219974809	1212.00175094157	2315.46592651535	1251.00002337603	624.999808093126	2131.99998760101
Monoglobus pectinilyticus	1536.91300170916	950.823763029637	954.910740330454	4309.44776323105	1346.21724451394	2149.603635902	1004.23715396841	558.609512257734	1448.48329915279
Phascolarctobacterium succinatutens	4651.992348488	3004.00653910134	3164.52691404904	11112.0856543243	3487.06002753887	6515.11740726048	3031	1596.46557100392	4859.40457545483
Phocaeicola dorei	7629.00050994793	4874.99999999999	5767.98746654678	8923.67225670329	3323.1205862912	5916.99895291004	5623.56939155507	3074.00358959552	10650.9999999996
Phocaeicola massiliensis	4819.00000000044	2977.00000767549	3541.00000033086	5674.00000000168	2130.99999964881	3781.00017409439	3631.00000162325	1912	7171.22880213069
Roseburia hominis	1663.87031547336	1210.79062079648	1046.3291734556	3776.47490118022	1404.72935690897	1896.23097629856	981.932706805834	660.794266149682	1517.23932421315
Ruminococcus bromii	6823.00002037515	4878.0078256056	3613	19205.409112928	7023.90795747319	9301.18225709529	4815.0000000001	2869	6727.88188794221
