order	PRMT_HM1_human_MONT_20240807_bc28	PRMT_HM2_human_MONT_20240807_bc29	PRMT_HM3_human_MONT_20240807_bc30	PRMT_HO1_human_ONT_20240807_bc13	PRMT_HO2_human_ONT_20240807_bc14	PRMT_HO3_human_ONT_20240807_bc15	PRMT_HP1_human_PB_20240807_bc43	PRMT_HP2_human_PB_20240807_bc44	PRMT_HP3_human_PB_20240807_bc45
Acidaminococcales	4688.00000000042	3024.99999999986	3198.00000000011	11212.0222400559	3519.99999999993	6565.99999999983	3031	1608.00000000001	4892.00000000004
Bacillales	295.000000000065	209.000065829155	215.003003328497	674.285751459258	403.000086561549	382.005795620276	229.999999997805	137.993185039464	373.976884599305
Bacteroidales	23600.0013766688	14816.0000076764	17266.9969966715	29710.9171673568	10967.9999999999	19530.0135705012	18496.0000016233	9793.00358959552	34838.0215260888
Bifidobacteriales	3443.00000014402	2073	1871	0	0	0	2770	1412	3769
Burkholderiales	312	233	253	389	113	235	412	235	846
Clostridiales	153441.998623188	107346.999926494	94755.9999999999	351265.774841126	127134.99991344	183713.980633353	103346.999998379	62955.0032253652	152093.001589312
Coriobacteriales	686	628	263	155	61	84	386	255	652
Desulfovibrionales	67	60	79	18	0	12	21	18	92
Eggerthellales	186	176	126	172	84	118.00000052806	142	122	282
Enterobacterales	18	11	23	32	23	16	15	0	20
Erysipelotrichales	56	28	0	137	58	89	66	43	99
Lactobacillales	87	39	67	171	76	78	59	0	74
Rhizobiales	205.270237439636	163.54249917619	199.741516011772	359.569009541188	157.586189085268	312.181532335125	60.7844246516712	27	164.505898965009
Rhodospirillales	39.7297625603637	43.4575008238096	45.258483988228	86.4309904588121	32.4138109147325	44.8184676648752	13.2155753483288	0	28.4941010349908
Selenomonadales	0	0	0	13	0	0	0	0	0
Vampirovibrionales	37	34	25	105	42	62	14	13	29
Veillonellales	43	28	45	71	39	40	46	20	66
