genus	PRMT_HM1_human_MONT_20240807_bc28	PRMT_HM2_human_MONT_20240807_bc29	PRMT_HM3_human_MONT_20240807_bc30	PRMT_HO1_human_ONT_20240807_bc13	PRMT_HO2_human_ONT_20240807_bc14	PRMT_HO3_human_ONT_20240807_bc15	PRMT_HP1_human_PB_20240807_bc43	PRMT_HP2_human_PB_20240807_bc44	PRMT_HP3_human_PB_20240807_bc45
Acutalibacter	0	0	0	33.9509812026304	17.350549393353	0	0	0	0
Adlercreutzia	29	30	16	48	11	17	20	16	34
Aestuariispira	39.7297625603637	43.4575008238096	45.258483988228	64.4209230887793	32.4138109147325	44.8184676648752	13.2155753483288	0	28.4941010349908
Agathobaculum	1273.5430120639	876.1242088401	785.053313402594	2992.63180283273	1085.34526217463	1672.85291323147	788.407887497482	550	1178.23869227008
Alistipes	1866	1181	1288	2180.91716735684	793	1480.00000000047	1362	715	2684
Aminipila	0	0	0	17.7600485703494	0	10.8577440630965	0	0	0
Anaerobutyricum	5942.99999991056	4549.94574012145	3581.00255846702	11437.6590233792	4376.814168516	5952.11372080135	4874.87173061523	3166.0000000023	7094.96430731512
Anaerofustis	11	0	0	0	0	0	0	0	0
Anaeromassilibacillus	233.473678840093	140.562751091351	143.36214662568	597.934071369635	243.602504982723	298.897524195957	151.603496829628	103.807667269985	232.019067152227
Anaerostipes	2975.99989358299	2473.03665723844	1779.48041360959	6560.39403581644	2960.136399198	3470.06517333118	1924.00004618817	1543.00000000013	2905.06423642782
Anaerotignum	1085	754	745	2603.74714699632	899.000003981382	1505.99999999996	774	476	1324.94106797839
Anaerotruncus	185.530793858834	161.137450830359	119.226743377146	462.018068624257	173.341669090092	279.713350331796	110.089227850611	100.49828975195	194.557483207301
Anaerovorax	0	10.7868249083647	0	0	0	0	0	0	15.2744025742156
Azospirillum	0	0	0	22.0100673700328	0	0	0	0	0
Bacillus	22	0	19	28	19	24	18	0	28
Bacteroides	7731.00086672039	4813.00000000088	5580.00952979387	11110.327743295	4059.87941405986	7184.01444349634	6677.43060844493	3446	12072.792904607
Barnesiella	1208	748	855	1453	503	888	941	511	1811
Bifidobacterium	3443.00000014402	2073	1871	0	0	0	2770	1412	3769
Blautia	80073.4268865054	55277.9884342894	48356.125642811	175100.684859298	63388.2405368778	88642.5566741952	53496.4358575135	32326.924065121	75527.6442692068
Butyricicoccus	25.4569823596701	19.8757911598979	18.9466865974079	74.3904364433504	26.6512220812885	37.594753344462	18.5921125019763	0	34.7613077278706
Butyricimonas	45	30	22	44	17	28	38	19	79
Caproiciproducens	292.392517141602	238.786801487129	180.551207507652	789.063767602153	306.05918141582	403.626321614573	198.179939090928	143.352647283866	285.001859089517
Casaltella	55.2329080926206	57.2122671338089	54.140954370781	135.771809661365	65.559631136713	81.7813119737132	47.4320002185459	32.9736527019576	67.7840944152256
Catabacter	24.8382070491625	16.6149863861893	30.6256718621126	44.1002409812803	22.6089607754987	12.5021217668057	19.0719700084748	0	30.0446108334558
Christensenella	109.161792950842	74.3850136138107	68.3743131998465	176.899759018719	57.4930812838579	109.497877029903	62.9280299915247	57.9999999999783	90.9553891665441
Clostridium	226.113812992204	178.722764447283	146.000047626739	753.337625958347	381.291573122889	464.663519617298	287.53229970524	208.037515077253	497.938614866732
Cohaesibacter	101.020663407843	93.0353967925192	103.373073512719	170.029479206839	66.4376586662464	156.648961911097	40.7844246489345	27	97.7571247584994
