Gram.Stain	PRMT_HM1_human_MONT_20240807_bc28	PRMT_HM2_human_MONT_20240807_bc29	PRMT_HM3_human_MONT_20240807_bc30	PRMT_HO1_human_ONT_20240807_bc13	PRMT_HO2_human_ONT_20240807_bc14	PRMT_HO3_human_ONT_20240807_bc15	PRMT_HP1_human_PB_20240807_bc43	PRMT_HP2_human_PB_20240807_bc44	PRMT_HP3_human_PB_20240807_bc45
negative	24279.0013766688	15361.0000076764	17891.9969966715	30700.9171673568	11335.9999999999	20212.0135705012	19032.0000016233	10086.0035895955	36018.0215260888
positive	162925.998623333	113552.999992323	100541.003003328	363871.082832641	131376.000000001	191070.986429501	110076.999998377	66552.9964104047	162300.978473911
