Gram.Stain	PRMT_HM1_human_MONT_20240807_bc28	PRMT_HM2_human_MONT_20240807_bc29	PRMT_HM3_human_MONT_20240807_bc30	PRMT_HO1_human_ONT_20240807_bc13	PRMT_HO2_human_ONT_20240807_bc14	PRMT_HO3_human_ONT_20240807_bc15	PRMT_HP1_human_PB_20240807_bc43	PRMT_HP2_human_PB_20240807_bc44	PRMT_HP3_human_PB_20240807_bc45
negative	53699.929147616	34043.9225470384	39973.467633301	67774.4540415735	26150.8309155449	45417.543554094	42067.3664267444	22753.8411334672	79613.6931084762
positive	361568.028751914	251225.044659984	224893.441414612	800075.499067232	302963.121183765	427200.418875569	245234.572705236	148652.133751325	359937.318266849
