genus	PRMT_HM1_human_MONT_20240807_bc28	PRMT_HM2_human_MONT_20240807_bc29	PRMT_HM3_human_MONT_20240807_bc30	PRMT_HO1_human_ONT_20240807_bc13	PRMT_HO2_human_ONT_20240807_bc14	PRMT_HO3_human_ONT_20240807_bc15	PRMT_HP1_human_PB_20240807_bc43	PRMT_HP2_human_PB_20240807_bc44	PRMT_HP3_human_PB_20240807_bc45
Agathobaculum	1273.5430120639	876.1242088401	785.053313402594	2992.63180283273	1085.34526217463	1672.85291323147	788.407887497482	550	1178.23869227008
Alistipes	1866	1181	1288	2180.91716735684	793	1480.00000000047	1362	715	2684
Anaerobutyricum	5942.99999991056	4549.94574012145	3581.00255846702	11437.6590233792	4376.814168516	5952.11372080135	4874.87173061523	3166.0000000023	7094.96430731512
Anaerostipes	2975.99989358299	2473.03665723844	1779.48041360959	6560.39403581644	2960.136399198	3470.06517333118	1924.00004618817	1543.00000000013	2905.06423642782
Anaerotignum	1085	754	745	2603.74714699632	899.000003981382	1505.99999999996	774	476	1324.94106797839
Bacteroides	7731.00086672039	4813.00000000088	5580.00952979387	11110.327743295	4059.87941405986	7184.01444349634	6677.43060844493	3446	12072.792904607
Barnesiella	1208	748	855	1453	503	888	941	511	1811
Bifidobacterium	3443.00000014402	2073	1871	0	0	0	2770	1412	3769
Blautia	80073.4268865054	55277.9884342894	48356.125642811	175100.684859298	63388.2405368778	88642.5566741952	53496.4358575135	32326.924065121	75527.6442692068
Collinsella	686	628	263	155	61	84	386	255	652
Dorea	5586.32350807851	4793.05186985552	3420.99945118035	12684.6482277948	5745.90632811385	6739.99914054437	3676.81054997553	2776.93548206393	5488.41251864537
Dysosmobacter	601.652651354412	334.501726528439	373.511292724416	1435.66120778003	424.690086371708	839.976823587218	317.872661604341	196.637004014183	557.31818243457
Enterocloster	1996.56673435045	1142.09348009487	1193.142079828	4493.74788013477	1416.68765960057	2409.00352318845	1392.53255763177	697.262382554094	2095.3901315864
Eubacterium	1216.82094566159	945.000049266744	763	3216.40514831063	1150.99985628536	1632.14063041749	807.00000000003	529	1190.00000025017
Faecalibacterium	21814.0068992844	14464.9999264945	14908.0013094807	54434.8416088399	17914.0577671161	30960.8456982117	13962.0803176774	7895.99612941233	23549.9937577556
Faecalicatena	765.893859043457	511.33948507825	503.759304706115	1649.12552948653	675.905715861153	958.375754638191	532.685630396094	326.798887468207	826.858630583647
Flavonifractor	520.335005249552	355.873938100945	341.615680402643	1241.37188214737	413.869994102018	700.886539870614	290.59252455285	184.710748162841	513.394563847837
Fusicatenibacter	2653.15057419691	1791.63951424424	1607.99248984353	6110.9692825295	2060.40660832113	3096.07856391545	1743.62701305606	1028.88911870951	2476.40230175331
Hungatella	1926.75238951147	1245.90578234449	1219.04134193945	4423.36564352499	1472.78706782464	2438.39833227955	1330.39509096547	735.619097308805	1899.4678172175
Lachnoclostridium	2235.9332834034	1530.55804854222	1524.98635626371	5456.5180365453	1884.9516641187	2961.16914675512	1635.21060740584	798.418729467162	2392.30851623681
Lachnospira	481.999999999938	282.999999999987	245	1313.99999902497	432	619.002276076667	380	204	505.702127127272
Lacrimispora	964.972104772784	631.177652908272	682.282018219525	2063.12431073006	654.278865962807	1086.1998384392	689.296805196186	372.645845207974	945.918244781063
Mediterraneibacter	5155.30284732386	3997.86847256462	3170.66420449895	12049.2400739752	4930.81509799836	6270.16377487885	3463.67448830323	2416.76837033867	4945.08381627402
Monoglobus	1536.91300170916	950.823763029637	954.910740330454	4309.44776323105	1346.21724451394	2149.603635902	1004.23715396841	558.609512257734	1448.48329915279
Neglecta	386.937229880078	304.000248229097	265.144333975841	944.234923987485	431.116675598137	571.006051423571	276.006869082981	188.837473260528	361.29927475213
Phascolarctobacterium	4688.00000000042	3024.99999999986	3198.00000000011	11212.0222400559	3519.99999999993	6565.99999999983	3031	1608.00000000001	4892.00000000004
Phocaeicola	12448.0005099484	7852.00000767549	9308.98746687764	14597.672256705	5454.12058594	9697.99912700442	9254.56939317832	4986.00358959552	17822.2288021302
Roseburia	1663.87031547336	1210.79062079648	1046.3291734556	3776.47490118022	1404.72935690897	1896.23097629856	981.932706805834	660.794266149682	1517.23932421315
Ruminococcus	6823.00002037515	4878.0078256056	3613	19205.409112928	7023.90795747319	9301.18225709529	4815.0000000001	2869	6727.88188794221
unassigned	1998.46477989964	1233.91368417773	1229.47554370893	4703.8960868855	1570.19275399242	2855.28286639807	1492.52443126229	763.027836631945	2519.44719243705
