Taxon	DNA.profile
p__Euryarchaeota	0.002783
p__Actinobacteria	0.018537
p__Bacteroidetes	0.236187
p__Candidatus Melainabacteria	0.003704
p__Firmicutes	0.711873
p__Lentisphaerae	0.000571
p__Proteobacteria	0.009397
p__Tenericutes	0.001616
p__Verrucomicrobia	0.011188
k__Bacteria	0.004143
