sample	instrument_platform	n_reads	total_bases	mean_len	median_len	n50_len	mean_Q	median_Q
ERR13110291	ILLUMINA	17955538	2703493322	150.565988164766	151	151	36.0141239011552	36.6689
ERR13110292	ILLUMINA	17955538	2705019210	150.650969633993	151	151	35.7421708853447	36.4305
ERR13110297	OXFORD_NANOPORE	70791	47367351	669.115438403187	456	735	15.5445751889364	15.4402
ERR13110298	OXFORD_NANOPORE	118640	116417386	981.265896830748	572	1373	15.1127528556979	15.0019
