instrument_platform	n_samples	mean_reads	sd_reads	mean_total_bases	sd_total_bases	mean_read_length	sd_read_length	mean_Q	sd_Q
ILLUMINA	2	17955538	0	2704256266	1078965.75213118	150.608478899379	0.0600909731655595	35.8781473932499	0.192299821643734
OXFORD_NANOPORE	2	94715.5	33834.3523729951	81892368.5	48825747.9896685	825.190667616968	220.723705904618	15.3286640223172	0.305344500100767
