GS_version	primer	rank	sample_name	R2	source	group
D6331	PB	phylum	PB1	0.977579979756574	./MCM_D6331_EMU_EMUdb/Observed-Theoretical Correlations.tsv	PB
D6331	PB	phylum	PB2	0.975409435351866	./MCM_D6331_EMU_EMUdb/Observed-Theoretical Correlations.tsv	PB
D6331	PB	phylum	PB3	0.981302135382213	./MCM_D6331_EMU_EMUdb/Observed-Theoretical Correlations.tsv	PB
D6331	MONT	species	MONT1	0.672574075998208	./MCM_D6331_EMU_EMUdb/Observed-Theoretical Correlations.tsv	MONT
D6331	MONT	species	MONT2	0.685325128440792	./MCM_D6331_EMU_EMUdb/Observed-Theoretical Correlations.tsv	MONT
D6331	MONT	species	MONT3	0.674777464789539	./MCM_D6331_EMU_EMUdb/Observed-Theoretical Correlations.tsv	MONT
D6331	ONT	species	ONT1	0.664186830622878	./MCM_D6331_EMU_EMUdb/Observed-Theoretical Correlations.tsv	ONT
D6331	ONT	species	ONT2	0.670227148349684	./MCM_D6331_EMU_EMUdb/Observed-Theoretical Correlations.tsv	ONT
D6331	ONT	species	ONT3	0.654323022023553	./MCM_D6331_EMU_EMUdb/Observed-Theoretical Correlations.tsv	ONT
D6331	PB	species	PB1	0.724221339239163	./MCM_D6331_EMU_EMUdb/Observed-Theoretical Correlations.tsv	PB
D6331	PB	species	PB2	0.743848210754623	./MCM_D6331_EMU_EMUdb/Observed-Theoretical Correlations.tsv	PB
D6331	PB	species	PB3	0.720891155015741	./MCM_D6331_EMU_EMUdb/Observed-Theoretical Correlations.tsv	PB
D6300	MONT	genus	MONT1	0.709269537008653	./MCM_D6300_EMU_EMUdb/Observed-Theoretical Correlations.tsv	MONT
D6300	MONT	genus	MONT2	0.647207916569384	./MCM_D6300_EMU_EMUdb/Observed-Theoretical Correlations.tsv	MONT
D6300	MONT	genus	MONT3	0.695945788600055	./MCM_D6300_EMU_EMUdb/Observed-Theoretical Correlations.tsv	MONT
D6300	ONT	genus	ONT1	0.793924896759188	./MCM_D6300_EMU_EMUdb/Observed-Theoretical Correlations.tsv	ONT
D6300	ONT	genus	ONT2	0.70787051281648	./MCM_D6300_EMU_EMUdb/Observed-Theoretical Correlations.tsv	ONT
D6300	ONT	genus	ONT3	0.764768408793617	./MCM_D6300_EMU_EMUdb/Observed-Theoretical Correlations.tsv	ONT
D6300	PB	genus	PB1	0.731721426780847	./MCM_D6300_EMU_EMUdb/Observed-Theoretical Correlations.tsv	PB
D6300	PB	genus	PB2	0.725296639088775	./MCM_D6300_EMU_EMUdb/Observed-Theoretical Correlations.tsv	PB
D6300	PB	genus	PB3	0.700239074011009	./MCM_D6300_EMU_EMUdb/Observed-Theoretical Correlations.tsv	PB
D6300	MONT	phylum	MONT1	0.931649321542247	./MCM_D6300_EMU_EMUdb/Observed-Theoretical Correlations.tsv	MONT
D6300	MONT	phylum	MONT2	0.942512839496162	./MCM_D6300_EMU_EMUdb/Observed-Theoretical Correlations.tsv	MONT
D6300	MONT	phylum	MONT3	0.93569547070198	./MCM_D6300_EMU_EMUdb/Observed-Theoretical Correlations.tsv	MONT
D6300	ONT	phylum	ONT1	0.995173937566358	./MCM_D6300_EMU_EMUdb/Observed-Theoretical Correlations.tsv	ONT
D6300	ONT	phylum	ONT2	0.994759255827336	./MCM_D6300_EMU_EMUdb/Observed-Theoretical Correlations.tsv	ONT
