phylum	Zymo_6331_ONT	PRMT_GM1_GMS_MONT_20240807_bc22_D6331	PRMT_GM2_GMS_MONT_20240807_bc23_D6331	PRMT_GM3_GMS_MONT_20240807_bc24_D6331	PRMT_GO1_GMS_ONT_20240807_bc07_D6331	PRMT_GO2_GMS_ONT_20240807_bc08_D6331	PRMT_GO3_GMS_ONT_20240807_bc09_D6331	PRMT_GP1_GMS_PB_20240807_bc37_D6331	PRMT_GP2_GMS_PB_20240807_bc38_D6331	PRMT_GP3_GMS_PB_20240807_bc39_D6331
Actinobacteria	79.02	32663.9844950893	35550.3014054723	4152.65182264094	34.989052560211	38.0240534601716	30.0506894927121	23945.8151725055	19556.211986638	23911.4338957184
Bacteroidetes	134.28	55206.9204457749	55939.2372354249	7645.87975421084	26833.6414176221	27726.3398128608	12751.0239970158	35890.8745082422	25333.3179661306	41096.5855961392
Firmicutes	500.76	338895.7488255	337812.205151084	42267.2421796895	324048.656935092	336685.618451204	144269.15778599	189099.258398806	128853.645328781	196631.209360989
Fusobacteria	67.41	6023.78396344773	5949.55350358001	875.82545354116	11176.7161834838	10521.7049171397	5078.39783767941	6365.93533668075	4470.07891711195	7099.28705523668
Proteobacteria	109.08	18947.7517034828	19472.4260465575	2678.48649130461	61282.7599805515	66677.6935921286	28992.6164256808	14627.0433289626	10205.4034667556	17628.1628720591
Verrucomicrobia	0	3309.80185825201	3298.27665788922	433.914298612987	899.236430696004	978.619173178598	436.736374811766	1642.05570609597	1055.34233458223	1773.38167501259
