species	Zymo_6300_ONT	PRMT_MM1_MCS_MONT_20240807_bc19_D6300	PRMT_MM2_MCS_MONT_20240807_bc20_D6300	PRMT_MM3_MCS_MONT_20240807_bc21_D6300	PRMT_MO1_MCS_ONT_20240807_bc04_D6300	PRMT_MO2_MCS_ONT_20240807_bc05_D6300	PRMT_MO3_MCS_ONT_20240807_bc06_D6300	PRMT_MP1_MCS_PB_20240807_bc34_D6300	PRMT_MP2_MCS_PB_20240807_bc35_D6300	PRMT_MP3_MCS_PB_20240807_bc36_D6300
Bacillus halotolerans	0	166.633583021666	100.279761832909	154.340559072813	99.6251090197844	75.7886260303922	65.6094481750091	62.4441545207573	119.174354887475	51.087778042312
Bacillus mojavensis	0	69.3550935279819	44.7693831457188	54.9256037315857	32.0330505835323	30.4939387193251	51.4299597003171	24.4637590081596	53.6013084025552	23.8998612237585
Bacillus subtilis	156.6	87027.8168476238	57143.9508550216	78240.7338372061	42567.3418549675	48057.7174387542	58649.4539291989	35303.0920864739	50956.2243367027	31986.0123607312
Bacteroides fragilis	0	0	0	11	12	0	0	0	0	11
Blautia faecis	0	0	0	11.0000000000304	0	0	0	0	0	0
Blautia glucerasea	0	18.409841348803	17.9390990617752	14.9992506248981	24	0	0	0	0	17.9970117144641
Blautia sp. SC05B48	0	22.5901586511969	17.0004815108725	30.0007493753798	0	0	0	19.0000000000401	0	20.9761561144892
Blautia wexlerae	0	28	16.0604194273522	28	16	13	0	13.9999999999599	0	13.0268321710467
Enterococcus faecalis	89.1	37859.995428691	22320.999800528	35251.0000001718	17920.5067971281	18485.9999969599	25729.0000207681	14196	21210.9293463895	13740
Escherichia coli	90.9	7761.51717013556	6048.26281672436	7880.48740692856	15789.8961249261	15479.6453366854	21744.3027206983	4918.11145009466	5546.62272645164	3539.38480159871
Faecalibacterium prausnitzii	0	62	48.0000787436763	74	40	33	18	28	16	74
Laceyella sacchari	0	255.19400198732	167.633810626087	250.000649669742	153.967524169867	147.000417522416	223.000000001695	113.000092875416	179.000000000024	116.999999999174
Limosilactobacillus fermentum	165.6	31750.0063116204	15640.9948490018	25197.9999998592	14847.4931883057	12476.999999528	17223.9999999999	13243.9999071246	19926.0706536105	10563
Listeria ivanovii	0	0	0	11.0003288119751	0	0	0	0	10.0080926641728	0
Listeria monocytogenes	126.9	38529.0003294649	20192.3713403723	33380.9990206154	18201.0324288663	16887.1130153475	23131.5066629305	14179	19852.9919073358	12512
Massilia suwonensis	0	0	0	0	0	0	11.0001746197634	0	0	0
Massilia violaceinigra	0	0	0	0	0	0	20.9998253802366	0	0	0
Megamonas funiformis	0	0	0	12	0	0	0	0	0	11
Paenibacillus cookii	0	16	10	15	0	0	0	0	0	0
Peptacetobacter hiranonis	0	36	26	29	25	16	0	20	15	46
Phascolarctobacterium succinatutens	0	0	11	0	0	0	0	0	0	0
Pseudomonas aeruginosa	37.8	1876	1293.00019947187	1615	660	657	822	1445	1600.2736742651	1027
Roseburia hominis	0	16	10	18.9999999996917	0	0	0	0	0	22
Ruminococcus bromii	0	11	0	13	0	0	0	0	0	0
Salmonella enterica	93.6	6709.90673512687	5198	6825	13530.5283440496	13339.3668088108	17894.9995939626	4306	4842.24568697954	3052
Shigella dysenteriae	0	0	0	0	0	0	14.9388642662775	0	0	0
Shigella flexneri	0	19.946592506158	0	22.0371446512334	68.8651948214294	33.3993502092632	26.4278920279358	0	14.8851818872181	0
Shigella sonnei	0	22.6278921684346	19.7371045320553	21.475448420248	48.7103667810517	45.470197801905	73.3309082720035	11.8885499053518	11.9727304165142	15.6151984012934
Staphylococcus aureus	139.5	44359.0000141064	22865	40624.0000008719	19364.0000163854	17520.0048736226	28362.0000000024	16243	25811	16055
Streptococcus alactolyticus	0	28	28	38	23	23	0	20	11	32
Veillonella rogosae	0	55	39	50	38	37	0	35	22	75
