 99.93	724657	724657	U	0	unclassified
  0.07	515	0	R	1	root
  0.07	515	10	D	10239	  Viruses
  0.06	453	0	D1	2731341	    Duplodnaviria
  0.06	453	0	K	2731360	      Heunggongvirae
  0.06	453	0	P	2731618	        Uroviricota
  0.06	453	51	C	2731619	          Caudoviricetes
  0.01	86	0	C1	3044646	            Joanripponvirinae
  0.01	86	0	G	3044772	              Natevirus
  0.01	86	0	S	3060406	                Natevirus nate
  0.01	86	86	S1	2894788	                  Bacillus phage vB_BanS_Nate
  0.01	83	0	O	1978007	            Crassvirales
  0.01	39	0	F	2942963	              Crevaviridae
  0.01	39	0	F1	2942973	                Doltivirinae
  0.01	39	0	G	2948785	                  Kingevirus
  0.01	39	0	S	2956060	                    Kingevirus communis
  0.01	39	39	S1	2986396	                      uncultured phage cr13_1
  0.01	39	0	F	2942965	              Steigviridae
  0.01	39	0	F1	2942967	                Asinivirinae
  0.01	39	0	G	2948793	                  Lahndsivirus
  0.01	39	0	S	2956099	                    Lahndsivirus rarus
  0.01	39	39	S1	2772071	                      uncultured phage cr111_1
  0.00	5	0	F	2942966	              Suoliviridae
  0.00	3	2	F1	2942975	                Oafivirinae
  0.00	1	1	G	2948645	                  Burzaovirus
  0.00	1	0	F1	2942969	                Boorivirinae
  0.00	1	0	G	2942991	                  Cohcovirus
  0.00	1	0	S	2955712	                    Cohcovirus splanchnicus
  0.00	1	1	S1	2986411	                      uncultured phage cr30_1
  0.00	1	0	F1	2942974	                Loutivirinae
  0.00	1	0	G	2942994	                  Buchavirus
  0.00	1	0	S	2955552	                    Buchavirus hominis
  0.00	1	1	S1	2772082	                      uncultured phage cr60_1
  0.01	41	34	G	2169623	            Erskinevirus
  0.00	7	0	S	2169883	              Erskinevirus EaH2
  0.00	7	7	S1	1029988	                Erwinia phage phiEaH2
  0.00	36	0	F	2560065	            Herelleviridae
  0.00	29	3	F1	2560070	              Bastillevirinae
  0.00	15	0	G	2842856	                Matervirus
  0.00	15	0	S	2560332	                  Matervirus mater
  0.00	15	15	S1	1540090	                    Bacillus phage Mater
  0.00	11	0	G	2842880	                Moonbeamvirus
  0.00	11	0	S	2560334	                  Moonbeamvirus moonbeam
  0.00	11	11	S1	1540091	                    Bacillus phage Moonbeam
  0.00	5	0	F1	2560073	              Jasinkavirinae
  0.00	5	5	G	1857844	                Pecentumvirus
  0.00	2	0	F1	2560071	              Brockvirinae
  0.00	2	0	G	2732968	                Schiekvirus
  0.00	2	0	S	2734044	                  Schiekvirus EFP01
  0.00	2	2	S1	1926594	                    Enterococcus phage EFP01
  0.00	32	0	C1	2788787	            unclassified Caudoviricetes
  0.00	15	15	S	2885983	              Microbacterium phage Pumpernickel
  0.00	5	5	S	1524882	              Sinorhizobium phage phiLM21
  0.00	4	4	S	1747326	              Enterococcus phage vB_EfaS_IME197
  0.00	3	3	S	1566990	              Streptococcus phage SpSL1
  0.00	3	3	S	2599890	              Streptomyces phage Gilgamesh
  0.00	1	1	S	1813771	              Salmonella phage 118970_sal3
  0.00	1	1	S	1147043	              Staphylococcus phage StB20
  0.00	16	0	F	2842320	            Guelinviridae
  0.00	16	16	G	2842570	              Brucesealvirus
  0.00	15	0	F	2946170	            Straboviridae
  0.00	10	0	F1	1198136	              Tevenvirinae
  0.00	5	0	G	1985329	                Moonvirus
  0.00	5	0	S	1985341	                  Moonvirus merlin
  0.00	5	5	S1	1675602	                    Citrobacter phage Merlin
  0.00	4	4	G	10663	                Tequatrovirus
  0.00	1	0	G	2843399	                Kanagawavirus
  0.00	1	0	S	2844109	                  Kanagawavirus pei20
  0.00	1	1	S1	1608310	                    Edwardsiella phage PEi20
  0.00	4	0	G	2948732	              Gualtarvirus
  0.00	4	0	S	2955964	                Gualtarvirus mp1
  0.00	4	4	S1	1852628	                  Morganella phage vB_MmoM_MP1
  0.00	1	0	G	2560244	              Tulanevirus
  0.00	1	0	S	1921531	                Tulanevirus aes508
  0.00	1	1	S1	1198013	                  Aeromonas phage Aes508
  0.00	12	9	F	2946160	            Kyanoviridae
  0.00	3	0	G	2733109	              Leucotheavirus
  0.00	3	0	S	2734114	                Leucotheavirus syn30
  0.00	3	3	S1	536474	                  Synechococcus phage Syn30
  0.00	9	0	F	3044479	            Stanwilliamsviridae
  0.00	9	0	F1	3044647	              Loccivirinae
  0.00	8	0	G	3044714	                Faustvirus
  0.00	8	0	S	3059994	                  Faustvirus faust
  0.00	8	8	S1	2767565	                    Streptomyces phage Faust
  0.00	1	0	G	3044854	                Wakandavirus
  0.00	1	0	S	3060803	                  Wakandavirus wakanda
  0.00	1	1	S1	2713267	                    Streptomyces phage Wakanda
  0.00	7	0	F	2842329	            Schitoviridae
  0.00	5	0	F1	3044643	              Demetervirinae
  0.00	5	0	G	3044697	                Cyamitesvirus
  0.00	5	0	S	3059912	                  Cyamitesvirus I16
  0.00	5	5	S1	2509728	                    Rhizobium phage RHph_I1_6
  0.00	2	0	F1	2842413	              Erskinevirinae
  0.00	2	0	G	1982576	                Johnsonvirus
  0.00	2	0	S	1982578	                  Johnsonvirus frozen
  0.00	2	2	S1	1852641	                    Erwinia phage vB_EamP_Frozen
  0.00	7	0	C1	1982875	            Arquatrovirinae
  0.00	7	0	G	2948847	              Omarvirus
  0.00	7	0	S	2956237	                Omarvirus omar
  0.00	7	7	S1	2059882	                  Streptomyces phage Omar
  0.00	6	0	G	2733138	            Toutatisvirus
  0.00	6	0	S	2734150	              Toutatisvirus toutatis
  0.00	6	6	S1	2070187	                Faecalibacterium phage FP_Toutatis
  0.00	6	0	G	2843419	            Marfavirus
  0.00	6	0	S	2845079	              Marfavirus F48
  0.00	6	6	S1	2070028	                Klebsiella phage vB_Kpn_F48
  0.00	5	5	G	1918522	            Lightbulbvirus
  0.00	5	5	G	1921407	            Pakpunavirus
  0.00	5	0	G	2733093	            Aurunvirus
  0.00	5	0	S	2734088	              Aurunvirus STIM5
  0.00	5	5	S1	1137745	                Cyanophage S-TIM5
  0.00	4	0	C1	2732612	            Dolichocephalovirinae
  0.00	4	0	G	2733154	              Poindextervirus
  0.00	4	0	S	2748760	                Poindextervirus rogue
  0.00	4	4	S1	2927986	                  Caulobacter phage CcrRogue
  0.00	3	0	G	2560165	            Lacusarxvirus
  0.00	3	0	S	2560778	              Lacusarxvirus lacusarx
  0.00	3	3	S1	1980139	                Sphingobium phage Lacusarx
  0.00	3	0	G	2733190	            Lughvirus
  0.00	3	0	S	2734248	              Lughvirus lugh
  0.00	3	3	S1	2070184	                Faecalibacterium phage FP_Lugh
  0.00	3	0	G	2560207	            Polybotosvirus
  0.00	3	0	S	2560286	              Polybotosvirus Atuph07
  0.00	3	3	S1	2024264	                Agrobacterium phage Atu_ph07
  0.00	2	0	G	2560128	            Eneladusvirus
  0.00	2	0	S	2560751	              Eneladusvirus BF
  0.00	2	2	S1	1962671	                Serratia phage BF
  0.00	2	0	F	2946167	            Peduoviridae
  0.00	1	1	G	140410	              Peduovirus
  0.00	1	0	G	2948951	              Wadgaonvirus
  0.00	1	0	S	2956672	                Wadgaonvirus wv5004651
  0.00	1	1	S1	2716351	                  Escherichia phage 500465-1
  0.00	2	0	F	2731690	            Demerecviridae
