order	Zymo_6300_ONT	PRMT_MM1_MCS_MONT_20240807_bc19_D6300	PRMT_MM2_MCS_MONT_20240807_bc20_D6300	PRMT_MM3_MCS_MONT_20240807_bc21_D6300	PRMT_MO1_MCS_ONT_20240807_bc04_D6300	PRMT_MO2_MCS_ONT_20240807_bc05_D6300	PRMT_MO3_MCS_ONT_20240807_bc06_D6300	PRMT_MP1_MCS_PB_20240807_bc34_D6300	PRMT_MP2_MCS_PB_20240807_bc35_D6300	PRMT_MP3_MCS_PB_20240807_bc36_D6300
Acidaminococcales	0	75.0589363422634	55.1128429194043	59.4253052254844	48.054690604319	42.9209215832342	11.8776146306067	42.0851417132501	30.0263885525454	91.1294852273912
Bacillales	423	373983.635749597	223325.27906099	335104.342208265	180361.811997216	183931.530246973	245147.604437426	143953.627289127	214347.473183213	133730.23104545
Bacteroidales	0	197.110193470169	135.142163976188	236.167321302345	157.251067684026	108.862687854571	29.3300471846137	136.253780171918	70.0615603492527	222.31603745441
Bifidobacteriales	0	90.6896483538606	51.0578292107297	60.0428990120235	58.872242694963	46.0471929774172	28.0500986597033	57.0737693453468	24.8522187541595	77.1096165435285
Burkholderiales	0	0	0	0	0	0	89.0473301578427	0	0	11.0156595185496
Clostridiales	0	2944.32844938697	2364.53069111262	3296.05961292782	1962.09653779577	1648.16038363902	1308.36923636081	1802.17460009676	978.796824378254	3375.76536641486
Coriobacteriales	0	10.0081823266592	13.0122899746877	0	0	0	0	0	0	11.0156595185496
Enterobacterales	184.5	31566.0741017259	24955.3977481824	32111.1219073572	65012.9735146832	64239.3943989785	87757.2493115873	20072.8535192244	22936.9537108596	14908.0071663126
Fusobacteriales	0	38.0234565809862	21.0198091015747	56.2305429701704	22.0249262459253	18.9533061419641	0	25.0377108328986	14.0123121753525	38.0540965186257
Lactobacillales	254.7	153450.014394594	85068.024637814	132821.254039887	73706.6293560219	70066.4851771527	95602.1659823898	60658.2504408188	91206.5112232286	54680.9163409692
Pseudomonadales	37.8	4287.73257624884	3004.63155018488	3584.89047481007	1548.67204069162	1451.80683789545	1864.42177238433	3200.85137422967	3598.72047216262	2344.91191789731
Selenomonadales	0	70.8587445185622	70.0538510840158	98.0669824068866	65.0735601417514	43.9958065305414	18.0096492048246	55.0605991935327	31.0272624301978	104.148053629923
Veillonellales	0	543.405054880826	414.661945548159	547.389036561035	391.463239548485	335.76870511232	125.874519996901	328.606416561398	203.547255244228	620.214417802998
Verrucomicrobiales	0	0	0	0	0	0	0	12.0180440288106	0	10.0142359259541
