species	Zymo_6300_ONT	PRMT_MM1_MCS_MONT_20240807_bc19_D6300	PRMT_MM2_MCS_MONT_20240807_bc20_D6300	PRMT_MM3_MCS_MONT_20240807_bc21_D6300	PRMT_MO1_MCS_ONT_20240807_bc04_D6300	PRMT_MO2_MCS_ONT_20240807_bc05_D6300	PRMT_MO3_MCS_ONT_20240807_bc06_D6300	PRMT_MP1_MCS_PB_20240807_bc34_D6300	PRMT_MP2_MCS_PB_20240807_bc35_D6300	PRMT_MP3_MCS_PB_20240807_bc36_D6300
Bacillus halotolerans	0	1151.16248414965	1057.66974024173	1274.20508187495	419.304212168029	387.953982565813	356.886760226434	459.748709590068	751.368308974246	437.941161083508
Bacillus mojavensis	0	851.996455878496	548.015409853301	826.228244730814	313.676869037599	343.476497206382	420.637070286732	380.104302146217	552.01646534464	312.139526608463
Bacillus subtilis	156.6	190196.616065665	125864.266748079	169938.099465658	94998.9011447917	106589.369257238	129725.156425994	76421.0926642723	111816.787990169	69926.6946577213
Bacillus velezensis	0	150.478155994727	108.564737344286	112.587522613704	88.2721329044095	88.343200165007	123.828247834393	72.6990314598312	79.4316663218685	38.3696985342373
Blautia glucerasea	0	101.005884843775	85.9590977226971	99.5538346135094	89.903522192978	61.4427293493621	22.7430387341823	75.7057662309053	45.359077722907	134.552505846566
Blautia sp. SC05B48	0	211.046879439612	177.636128384707	253.058615293014	127.301137092496	113.186142239255	58.1122871958914	134.120325442151	85.2385300305668	253.9029998802
Blautia wexlerae	0	189.166080512326	150.200446598105	227.865947585735	128.252059245834	124.567333761144	157.708770623577	118.0332746861	61.9645703187364	195.727902464279
Enterococcus faecalis	89.1	82954.6411256083	49424.2718105829	77077.9978161614	40109.2536239202	41726.783507761	57307.351630664	31547.3254476629	47235.8877817404	30521.8757804623
Escherichia coli	90.9	16714.7575433899	13205.7869074913	16969.288426763	34467.4989643155	33985.3694486153	47544.9204632664	10580.2396027269	12040.0681235505	7986.66644107905
Faecalibacterium prausnitzii	0	681.544233485515	531.180878221522	762.34481873485	458.666523999408	381.555974329975	150.437228290076	385.097868391706	240.03018294746	755.080535867679
Limosilactobacillus fermentum	165.6	70006.2440051875	35294.0993013701	55281.3755467581	33292.9446788386	28090.2255726734	38195.8013559403	28823.4386159903	43834.5691659344	23610.2451636415
Listeria monocytogenes	126.9	84922.6983635257	44986.5315376707	73720.0090726233	41274.5257907644	37731.7517764543	51779.3052081192	31204.0052872479	44204.8697105314	27811.8705290196
Peptacetobacter hiranonis	0	325.20281156781	296.029320583229	382.328216103389	255.368085723831	220.013952028436	85.3969127334125	207.270549248687	124.108741367497	367.578116238904
Pseudomonas aeruginosa	37.8	4287.73257624884	3004.63155018488	3584.89047481007	1548.67204069162	1451.80683789545	1864.42177238433	3200.85137422967	3598.72047216262	2344.91191789731
Roseburia hominis	0	144.349152419194	136.21736818581	178.137866030396	85.6984353130445	63.3882537600349	48.0008336476411	109.187869703475	62.8321357164134	188.111875895654
Salmonella enterica	93.6	14631.2324501131	11564.9407221662	14941.4331938893	30109.2295346228	29914.083211101	39783.0943696183	9392.18371344579	10760.1576303998	6854.76397108336
Shigella sonnei	0	77.539071220115	98.8257559300696	93.16709077184	125.079503832787	123.605083509931	171.490345192433	39.1046978334434	66.9975625474371	42.3515492091295
Staphylococcus aureus	139.5	96378.9589642907	50573.8370720988	88908.1429756681	43054.8625047919	38624.488765726	62559.8342242592	35326.0101842202	56762.1785020235	35114.4207828888
Streptococcus alactolyticus	0	354.27754872649	241.08961307023	353.350813038251	258.378904998524	204.429929671361	87.0066305599756	216.378687205846	126.042473014849	384.546659485952
Veillonella rogosae	0	543.405054880826	414.661945548159	547.389036561035	391.463239548485	335.76870511232	125.874519996901	328.606416561398	203.547255244228	620.214417802998
