Gram.Stain	Zymo_6300_ONT	PRMT_MM1_MCS_MONT_20240807_bc19_D6300	PRMT_MM2_MCS_MONT_20240807_bc20_D6300	PRMT_MM3_MCS_MONT_20240807_bc21_D6300	PRMT_MO1_MCS_ONT_20240807_bc04_D6300	PRMT_MO2_MCS_ONT_20240807_bc05_D6300	PRMT_MO3_MCS_ONT_20240807_bc06_D6300	PRMT_MP1_MCS_PB_20240807_bc34_D6300	PRMT_MP2_MCS_PB_20240807_bc35_D6300	PRMT_MP3_MCS_PB_20240807_bc36_D6300
negative	222.3	36088.9403280259	28116.191271445	35988.4102464398	66740.9215493048	65819.0172308705	89740.0484613141	23447.0144284877	26619.7480555468	17534.3191136275
positive	677.7	531167.99916	311361.733148653	471986.580084285	256594.001624023	256114.908433968	342241.951538668	206896.878256856	306822.234355801	192690.529985557
