phylum	Zymo_6300_ONT	PRMT_MM1_MCS_MONT_20240807_bc19_D6300	PRMT_MM2_MCS_MONT_20240807_bc20_D6300	PRMT_MM3_MCS_MONT_20240807_bc21_D6300	PRMT_MO1_MCS_ONT_20240807_bc04_D6300	PRMT_MO2_MCS_ONT_20240807_bc05_D6300	PRMT_MO3_MCS_ONT_20240807_bc06_D6300	PRMT_MP1_MCS_PB_20240807_bc34_D6300	PRMT_MP2_MCS_PB_20240807_bc35_D6300	PRMT_MP3_MCS_PB_20240807_bc36_D6300
Actinobacteria	0	100.69783068052	64.0701191854174	60.0428990120235	58.872242694963	46.0471929774172	28.0500986597033	57.0737693453468	24.8522187541595	88.125276062078
Bacteroidetes	0	279.160828677924	205.208310932005	304.159831062658	209.314298231299	162.937023011987	29.3300471846137	179.361094836136	90.0791490204676	308.4384664173
Firmicutes	677.7	531067.30132932	311297.663029468	471926.537185273	256535.129381328	256068.861240991	342213.901440008	206839.804487511	306797.382137047	192602.404709495
Fusobacteria	0	38.0234565809862	21.0198091015747	56.2305429701704	22.0249262459253	18.9533061419641	0	25.0377108328986	14.0123121753525	38.0540965186257
Proteobacteria	222.3	35853.8066779748	27960.0292983672	35696.0123821673	66561.6455553748	65691.201236874	89710.7184141295	23273.7048934541	26535.6741830222	17263.9347437285
Verrucomicrobia	0	0	0	0	0	0	0	12.0180440288106	0	10.0142359259541
