superkingdom	phylum	class	order	PRMT_CO1_canis_ONT_20240807_bc01	PRMT_CO2_canis_ONT_20240807_bc02	PRMT_CO3_canis_ONT_20240807_bc03	PRMT_CP1_canis_PB_20240807_bc31	PRMT_CP2_canis_PB_20240807_bc32	PRMT_CP3_canis_PB_20240807_bc33	PRMT_LM1_canis_MONT_20240807_bc16	PRMT_LM2_canis_MONT_20240807_bc17	PRMT_LM3_canis_MONT_20240807_bc18
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	46.6964217079551	26.1760847327576	16.0693787232004	869.597368567929	1766.57425654028	839.25389106828	767.695091952469	2227.71667879897	1548.4931649493
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	418.69128060597	257.465868244918	257.516355104452	2430.4312499412	4457.22525572374	2744.22001840683	4402.21851673737	11693.1713814103	9635.61563043265
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	59.0990947649373	57.1300082701936	50.0911069210137	189.157816597986	343.327804381334	176.435873443516	443.939233183652	1271.55200042757	958.142135229228
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	2551.6875066101	1652.55374180385	2013.47755407194	2999.54952004417	5151.95665669473	4154.91328211607	2917.93663193567	6961.12420380665	7875.51036614297
Bacteria	Candidatus Melainabacteria	unassigned	Vampirovibrionales	40.0662788570992	36.0652578083339	46.0838260306147	50.0913283561238	67.4903650455106	58.0894531371821	45.0948078780395	84.1097342832947	98.0921014694773
Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	27.0447382285419	24.0435052057511	15.0273345752005	19.0347047607599	51.0540836595963	43.0663187051522	21.0442436764184	42.041239996846	56.0627870331713
Bacteria	Firmicutes	Bacilli	Bacillales	652.353992291194	474.35919362433	461.002835294422	690.307685627123	1312.81168381481	475.879060215854	391.253578704749	1421.09710350221	1031.80210032687
Bacteria	Firmicutes	Bacilli	Lactobacillales	101514.391933855	76230.6800465673	67412.4701758039	78044.0536271502	159117.371524865	80491.0214906519	63466.1017199848	188645.349426836	138820.515291463
Bacteria	Firmicutes	Clostridia	Clostridiales	217422.695005715	151281.683951429	165867.585552585	181434.094780772	342253.785893731	218814.365659453	146672.018507326	394888.134320682	361049.754126782
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	4883.10831434878	3603.26687592364	3467.86397094328	2463.96434228519	5443.48121796023	3078.65257239459	929.512073577916	2819.40108806778	2257.7659826265
Bacteria	Firmicutes	Negativicutes	Acidaminococcales	8731.25154439295	5374.56785059515	7662.70116774178	6409.21211383983	10685.5431660897	8910.3376267617	5405.98357447459	13132.7481221077	15623.6883033236
Bacteria	Firmicutes	Negativicutes	Selenomonadales	14957.4137776665	9586.58442106426	12493.760575094	11452.7645989142	19192.376763623	15489.5251584705	9365.73661849155	22475.4515486993	26275.4471931868
Bacteria	Firmicutes	Negativicutes	Veillonellales	608.80773538448	409.158999205221	449.836996555747	665.213144647092	978.348727341889	435.202645098619	312.651335633069	1205.67205546879	953.931314383161
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	5609.5635106076	3616.89745526291	4783.35575967301	1789.2648787908	3488.69664896149	2726.19671479209	1151.421378095	2726.52651471985	2920.27053170751
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	85.1566683994463	33.0633111925178	28.0528023302293	48.0876751850776	61.5336841110084	56.3754273581835	40.0847096709284	136.132021400873	177.413710184953
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	1369.31290171187	868.571625557759	1129.71489134329	2612.72342569042	4466.63216233921	3611.93380532371	1532.22136093492	3818.7727112405	4397.07362972258
Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	67.1697464283299	57.0933473887496	47.122604979965	35.4468694314715	87.2147253022905	59.0872888182397	49.1480575055003	106.420227247129	81.0154242883775
Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	564.934531777356	432.78309370352	334.608261804614	150.273984953367	366.337504605339	190.293055410921	49.1032352449764	141.13844856084	116.130053875261
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	874.46042637133	539.973331734231	618.486976290953	326.595549467079	546.774297805262	234.774733119513	130.271902706234	545.502290559551	481.419046955983
Bacteria	Tenericutes	Mollicutes	Anaeroplasmatales	113.187230907337	64.4494128578462	78.1421397910424	41.0751120795283	85.1421317089717	52.0802004447229	18.0378742169652	53.0520409513631	59.0706624764131
