superkingdom	phylum	class	PRMT_CO1_canis_ONT_20240807_bc01	PRMT_CO2_canis_ONT_20240807_bc02	PRMT_CO3_canis_ONT_20240807_bc03	PRMT_CP1_canis_PB_20240807_bc31	PRMT_CP2_canis_PB_20240807_bc32	PRMT_CP3_canis_PB_20240807_bc33	PRMT_LM1_canis_MONT_20240807_bc16	PRMT_LM2_canis_MONT_20240807_bc17	PRMT_LM3_canis_MONT_20240807_bc18
Bacteria	Actinobacteria	Actinobacteria	57.7146483936573	26.1760847327576	16.0693787232004	869.597368567929	1780.58910303507	850.270856318435	783.728801420216	2281.76970165206	1576.52455846589
Bacteria	Actinobacteria	Coriobacteriia	477.790375370908	314.595876515112	307.607462025466	2619.58906653918	4800.55306010507	2920.65589185035	4846.15774992102	12964.7233818379	10593.7577656619
Bacteria	Bacteroidetes	Bacteroidia	2551.6875066101	1652.55374180385	2013.47755407194	2999.54952004417	5151.95665669473	4154.91328211607	2917.93663193567	6961.12420380665	7875.51036614297
Bacteria	Candidatus Melainabacteria	unassigned	40.0662788570992	36.0652578083339	46.0838260306147	50.0913283561238	67.4903650455106	58.0894531371821	45.0948078780395	84.1097342832947	98.0921014694773
Bacteria	Deferribacteres	Deferribacteres	27.0447382285419	24.0435052057511	15.0273345752005	19.0347047607599	51.0540836595963	43.0663187051522	21.0442436764184	42.041239996846	56.0627870331713
Bacteria	Firmicutes	Bacilli	102166.745926147	76705.0392401916	67873.4730110984	78734.3613127774	160430.18320868	80966.9005508678	63857.3552986896	190066.446530338	139852.31739179
Bacteria	Firmicutes	Clostridia	217422.695005715	151281.683951429	165867.585552585	181434.094780772	342253.785893731	218814.365659453	146672.018507326	394888.134320682	361049.754126782
Bacteria	Firmicutes	Erysipelotrichia	4883.10831434878	3603.26687592364	3467.86397094328	2463.96434228519	5443.48121796023	3078.65257239459	929.512073577916	2819.40108806778	2257.7659826265
Bacteria	Firmicutes	Negativicutes	24297.4730574439	15370.3112708646	20606.2987393915	18527.1898574012	30856.2686570546	24835.0654303308	15084.3715285992	36813.8717262758	42853.0668108936
Bacteria	Fusobacteria	Fusobacteriia	5609.5635106076	3616.89745526291	4783.35575967301	1789.2648787908	3488.69664896149	2726.19671479209	1151.421378095	2726.52651471985	2920.27053170751
Bacteria	Proteobacteria	Alphaproteobacteria	120.198817296504	51.0924485622211	68.1239167409087	48.0876751850776	94.0996836078834	87.1341797159952	60.1264105040527	219.213526488366	261.292630835894
Bacteria	Proteobacteria	Betaproteobacteria	1369.31290171187	868.571625557759	1129.71489134329	2612.72342569042	4466.63216233921	3611.93380532371	1532.22136093492	3818.7727112405	4397.07362972258
Bacteria	Proteobacteria	Deltaproteobacteria	0	0	0	0	23.024390670014	0	0	19.0186561890494	26.0291511225438
Bacteria	Proteobacteria	Epsilonproteobacteria	67.1697464283299	57.0933473887496	47.122604979965	35.4468694314715	87.2147253022905	59.0872888182397	49.1480575055003	106.420227247129	81.0154242883775
Bacteria	Proteobacteria	Gammaproteobacteria	1439.39495814869	972.756425437751	953.095238095568	489.893279783071	933.133011688874	442.094007553402	179.375137951211	716.670196260995	617.571524771662
Bacteria	Tenericutes	Mollicutes	113.187230907337	64.4494128578462	78.1421397910424	41.0751120795283	85.1421317089717	52.0802004447229	18.0378742169652	53.0520409513631	59.0706624764131
Bacteria	Verrucomicrobia	Verrucomicrobiae	0	0	0	11.0200922299136	0	0	0	15.0147285703021	0
