path	file.names	source	sex	dna.isolation.methods	date	name	filename
Serteperti_all_rebasecall_emu/SRTP_A_F2_210316_ZHMW_rel-abundance.tsv	SRTP_A_F2_210316_ZHMW_rel-abundance.tsv	F2	female	ZHMW	210316	F2_210316	SRTP_A_F2_210316_ZHMW_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F2_210316_ZMB_rel-abundance.tsv	SRTP_A_F2_210316_ZMB_rel-abundance.tsv	F2	female	ZMB	210316	F2_210316	SRTP_A_F2_210316_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F2_210401_ZHMW_rel-abundance.tsv	SRTP_A_F2_210401_ZHMW_rel-abundance.tsv	F2	female	ZHMW	210401	F2_210401	SRTP_A_F2_210401_ZHMW_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F2_210401_ZMB_rel-abundance.tsv	SRTP_A_F2_210401_ZMB_rel-abundance.tsv	F2	female	ZMB	210401	F2_210401	SRTP_A_F2_210401_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F2_210413_ZHMW_rel-abundance.tsv	SRTP_A_F2_210413_ZHMW_rel-abundance.tsv	F2	female	ZHMW	210413	F2_210413	SRTP_A_F2_210413_ZHMW_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F2_210413_ZMB_rel-abundance.tsv	SRTP_A_F2_210413_ZMB_rel-abundance.tsv	F2	female	ZMB	210413	F2_210413	SRTP_A_F2_210413_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F2_210426_ZMB_rel-abundance.tsv	SRTP_A_F2_210426_ZMB_rel-abundance.tsv	F2	female	ZMB	210426	F2_210426	SRTP_A_F2_210426_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F2_210603_ZMB_rel-abundance.tsv	SRTP_A_F2_210603_ZMB_rel-abundance.tsv	F2	female	ZMB	210603	F2_210603	SRTP_A_F2_210603_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F2_210705_ZHMW_rel-abundance.tsv	SRTP_A_F2_210705_ZHMW_rel-abundance.tsv	F2	female	ZHMW	210705	F2_210705	SRTP_A_F2_210705_ZHMW_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F2_210705_ZMB_rel-abundance.tsv	SRTP_A_F2_210705_ZMB_rel-abundance.tsv	F2	female	ZMB	210705	F2_210705	SRTP_A_F2_210705_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F2_210728_ZMB_rel-abundance.tsv	SRTP_A_F2_210728_ZMB_rel-abundance.tsv	F2	female	ZMB	210728	F2_210728	SRTP_A_F2_210728_ZMB_rel-abundance.tsv
Serteperti_all_rebasecall_emu/SRTP_A_F2_210803_ZMB_rel-abundance.tsv	SRTP_A_F2_210803_ZMB_rel-abundance.tsv	F2	female	ZMB	210803	F2_210803	SRTP_A_F2_210803_ZMB_rel-abundance.tsv
