sample	source	dna.isolation.methods	name	phylum	count	sum_count	norm_count
SRTP_A_F1_210317_ZHMW	F1	ZHMW	SRTP_F1_210317	Actinobacteria	374	54504	0.0068618816967562
SRTP_A_F1_210317_ZHMW	F1	ZHMW	SRTP_F1_210317	Bacteroidetes	5562	54504	0.102047556142668
SRTP_A_F1_210317_ZHMW	F1	ZHMW	SRTP_F1_210317	Cyanobacteria	0	54504	0
SRTP_A_F1_210317_ZHMW	F1	ZHMW	SRTP_F1_210317	Deferribacteres	0	54504	0
SRTP_A_F1_210317_ZHMW	F1	ZHMW	SRTP_F1_210317	Firmicutes	30024	54504	0.550858652575958
SRTP_A_F1_210317_ZHMW	F1	ZHMW	SRTP_F1_210317	Fusobacteria	14725	54504	0.270163657713195
SRTP_A_F1_210317_ZHMW	F1	ZHMW	SRTP_F1_210317	Proteobacteria	3819	54504	0.0700682518714223
SRTP_A_F1_210317_ZHMW	F1	ZHMW	SRTP_F1_210317	Synergistetes	0	54504	0
SRTP_A_F1_210317_ZHMW	F1	ZHMW	SRTP_F1_210317	Tenericutes	0	54504	0
SRTP_A_F1_210317_ZMB	F1	ZMB	SRTP_F1_210317	Actinobacteria	731	95224	0.00767663614214904
SRTP_A_F1_210317_ZMB	F1	ZMB	SRTP_F1_210317	Bacteroidetes	458	95224	0.00480971183735193
SRTP_A_F1_210317_ZMB	F1	ZMB	SRTP_F1_210317	Cyanobacteria	0	95224	0
SRTP_A_F1_210317_ZMB	F1	ZMB	SRTP_F1_210317	Deferribacteres	0	95224	0
SRTP_A_F1_210317_ZMB	F1	ZMB	SRTP_F1_210317	Firmicutes	93311	95224	0.97991052675796
SRTP_A_F1_210317_ZMB	F1	ZMB	SRTP_F1_210317	Fusobacteria	657	95224	0.00689952112912711
SRTP_A_F1_210317_ZMB	F1	ZMB	SRTP_F1_210317	Proteobacteria	67	95224	0.000703604133411745
SRTP_A_F1_210317_ZMB	F1	ZMB	SRTP_F1_210317	Synergistetes	0	95224	0
SRTP_A_F1_210317_ZMB	F1	ZMB	SRTP_F1_210317	Tenericutes	0	95224	0
SRTP_A_F1_210330_ZHMW	F1	ZHMW	SRTP_F1_210330	Actinobacteria	1352	100134	0.013501907444025
SRTP_A_F1_210330_ZHMW	F1	ZHMW	SRTP_F1_210330	Bacteroidetes	5224	100134	0.0521700920766173
SRTP_A_F1_210330_ZHMW	F1	ZHMW	SRTP_F1_210330	Cyanobacteria	0	100134	0
SRTP_A_F1_210330_ZHMW	F1	ZHMW	SRTP_F1_210330	Deferribacteres	0	100134	0
SRTP_A_F1_210330_ZHMW	F1	ZHMW	SRTP_F1_210330	Firmicutes	81576	100134	0.814668344418479
SRTP_A_F1_210330_ZHMW	F1	ZHMW	SRTP_F1_210330	Fusobacteria	6772	100134	0.0676293766353087
SRTP_A_F1_210330_ZHMW	F1	ZHMW	SRTP_F1_210330	Proteobacteria	5191	100134	0.0518405336848623
SRTP_A_F1_210330_ZHMW	F1	ZHMW	SRTP_F1_210330	Synergistetes	19	100134	0.000189745740707452
SRTP_A_F1_210330_ZHMW	F1	ZHMW	SRTP_F1_210330	Tenericutes	0	100134	0
SRTP_A_F1_210330_ZMB	F1	ZMB	SRTP_F1_210330	Actinobacteria	383	52248	0.00733042413106722
SRTP_A_F1_210330_ZMB	F1	ZMB	SRTP_F1_210330	Bacteroidetes	384	52248	0.00734956361966008
SRTP_A_F1_210330_ZMB	F1	ZMB	SRTP_F1_210330	Cyanobacteria	0	52248	0
SRTP_A_F1_210330_ZMB	F1	ZMB	SRTP_F1_210330	Deferribacteres	0	52248	0
SRTP_A_F1_210330_ZMB	F1	ZMB	SRTP_F1_210330	Firmicutes	50421	52248	0.965032154340836
SRTP_A_F1_210330_ZMB	F1	ZMB	SRTP_F1_210330	Fusobacteria	593	52248	0.0113497167355688
SRTP_A_F1_210330_ZMB	F1	ZMB	SRTP_F1_210330	Proteobacteria	467	52248	0.00893814117286786
SRTP_A_F1_210330_ZMB	F1	ZMB	SRTP_F1_210330	Synergistetes	0	52248	0
SRTP_A_F1_210330_ZMB	F1	ZMB	SRTP_F1_210330	Tenericutes	0	52248	0
SRTP_A_F1_210415_ZHMW	F1	ZHMW	SRTP_F1_210415	Actinobacteria	80	100661	0.000794746724153346
SRTP_A_F1_210415_ZHMW	F1	ZHMW	SRTP_F1_210415	Bacteroidetes	7797	100661	0.0774580026027955
SRTP_A_F1_210415_ZHMW	F1	ZHMW	SRTP_F1_210415	Cyanobacteria	0	100661	0
SRTP_A_F1_210415_ZHMW	F1	ZHMW	SRTP_F1_210415	Deferribacteres	0	100661	0
SRTP_A_F1_210415_ZHMW	F1	ZHMW	SRTP_F1_210415	Firmicutes	72403	100661	0.719275588360934
SRTP_A_F1_210415_ZHMW	F1	ZHMW	SRTP_F1_210415	Fusobacteria	17746	100661	0.176294692085316
SRTP_A_F1_210415_ZHMW	F1	ZHMW	SRTP_F1_210415	Proteobacteria	2563	100661	0.0254616981750628
SRTP_A_F1_210415_ZHMW	F1	ZHMW	SRTP_F1_210415	Synergistetes	0	100661	0
SRTP_A_F1_210415_ZHMW	F1	ZHMW	SRTP_F1_210415	Tenericutes	72	100661	0.000715272051738012
SRTP_A_F1_210415_ZMB	F1	ZMB	SRTP_F1_210415	Actinobacteria	34	66222	0.000513424541693093
SRTP_A_F1_210415_ZMB	F1	ZMB	SRTP_F1_210415	Bacteroidetes	1587	66222	0.0239648455196158
SRTP_A_F1_210415_ZMB	F1	ZMB	SRTP_F1_210415	Cyanobacteria	0	66222	0
SRTP_A_F1_210415_ZMB	F1	ZMB	SRTP_F1_210415	Deferribacteres	0	66222	0
SRTP_A_F1_210415_ZMB	F1	ZMB	SRTP_F1_210415	Firmicutes	61823	66222	0.933571924738003
SRTP_A_F1_210415_ZMB	F1	ZMB	SRTP_F1_210415	Fusobacteria	2433	66222	0.0367400561746851
SRTP_A_F1_210415_ZMB	F1	ZMB	SRTP_F1_210415	Proteobacteria	345	66222	0.00520974902600344
SRTP_A_F1_210415_ZMB	F1	ZMB	SRTP_F1_210415	Synergistetes	0	66222	0
SRTP_A_F1_210415_ZMB	F1	ZMB	SRTP_F1_210415	Tenericutes	0	66222	0
SRTP_A_F1_210705_ZHMW	F1	ZHMW	SRTP_F1_210705	Actinobacteria	153	39250	0.00389808917197452
SRTP_A_F1_210705_ZHMW	F1	ZHMW	SRTP_F1_210705	Bacteroidetes	3265	39250	0.0831847133757962
SRTP_A_F1_210705_ZHMW	F1	ZHMW	SRTP_F1_210705	Cyanobacteria	0	39250	0
SRTP_A_F1_210705_ZHMW	F1	ZHMW	SRTP_F1_210705	Deferribacteres	0	39250	0
SRTP_A_F1_210705_ZHMW	F1	ZHMW	SRTP_F1_210705	Firmicutes	18571	39250	0.473146496815287
SRTP_A_F1_210705_ZHMW	F1	ZHMW	SRTP_F1_210705	Fusobacteria	16280	39250	0.414777070063694
SRTP_A_F1_210705_ZHMW	F1	ZHMW	SRTP_F1_210705	Proteobacteria	966	39250	0.0246114649681529
SRTP_A_F1_210705_ZHMW	F1	ZHMW	SRTP_F1_210705	Synergistetes	0	39250	0
SRTP_A_F1_210705_ZHMW	F1	ZHMW	SRTP_F1_210705	Tenericutes	15	39250	0.000382165605095541
SRTP_A_F1_210705_ZMB	F1	ZMB	SRTP_F1_210705	Actinobacteria	1767	97634	0.0180982034946842
SRTP_A_F1_210705_ZMB	F1	ZMB	SRTP_F1_210705	Bacteroidetes	3353	97634	0.0343425446053629
SRTP_A_F1_210705_ZMB	F1	ZMB	SRTP_F1_210705	Cyanobacteria	0	97634	0
SRTP_A_F1_210705_ZMB	F1	ZMB	SRTP_F1_210705	Deferribacteres	0	97634	0
SRTP_A_F1_210705_ZMB	F1	ZMB	SRTP_F1_210705	Firmicutes	79376	97634	0.812995472888543
SRTP_A_F1_210705_ZMB	F1	ZMB	SRTP_F1_210705	Fusobacteria	10532	97634	0.107872257615175
SRTP_A_F1_210705_ZMB	F1	ZMB	SRTP_F1_210705	Proteobacteria	2606	97634	0.0266915213962349
SRTP_A_F1_210705_ZMB	F1	ZMB	SRTP_F1_210705	Synergistetes	0	97634	0
SRTP_A_F1_210705_ZMB	F1	ZMB	SRTP_F1_210705	Tenericutes	0	97634	0
SRTP_A_F1_210903_ZHMW	F1	ZHMW	SRTP_F1_210903	Actinobacteria	52	69552	0.000747642051989878
SRTP_A_F1_210903_ZHMW	F1	ZHMW	SRTP_F1_210903	Bacteroidetes	1709	69552	0.0245715435932827
SRTP_A_F1_210903_ZHMW	F1	ZHMW	SRTP_F1_210903	Cyanobacteria	0	69552	0
SRTP_A_F1_210903_ZHMW	F1	ZHMW	SRTP_F1_210903	Deferribacteres	0	69552	0
SRTP_A_F1_210903_ZHMW	F1	ZHMW	SRTP_F1_210903	Firmicutes	63715	69552	0.916077179664136
SRTP_A_F1_210903_ZHMW	F1	ZHMW	SRTP_F1_210903	Fusobacteria	3781	69552	0.0543622038187256
SRTP_A_F1_210903_ZHMW	F1	ZHMW	SRTP_F1_210903	Proteobacteria	295	69552	0.00424143087186565
SRTP_A_F1_210903_ZHMW	F1	ZHMW	SRTP_F1_210903	Synergistetes	0	69552	0
SRTP_A_F1_210903_ZHMW	F1	ZHMW	SRTP_F1_210903	Tenericutes	0	69552	0
SRTP_A_F1_210903_ZMB	F1	ZMB	SRTP_F1_210903	Actinobacteria	923	64288	0.0143572672971628
SRTP_A_F1_210903_ZMB	F1	ZMB	SRTP_F1_210903	Bacteroidetes	296	64288	0.00460428073668492
SRTP_A_F1_210903_ZMB	F1	ZMB	SRTP_F1_210903	Cyanobacteria	0	64288	0
SRTP_A_F1_210903_ZMB	F1	ZMB	SRTP_F1_210903	Deferribacteres	0	64288	0
SRTP_A_F1_210903_ZMB	F1	ZMB	SRTP_F1_210903	Firmicutes	61519	64288	0.956928198108512
SRTP_A_F1_210903_ZMB	F1	ZMB	SRTP_F1_210903	Fusobacteria	1371	64288	0.0213259084121453
SRTP_A_F1_210903_ZMB	F1	ZMB	SRTP_F1_210903	Proteobacteria	179	64288	0.00278434544549527
SRTP_A_F1_210903_ZMB	F1	ZMB	SRTP_F1_210903	Synergistetes	0	64288	0
SRTP_A_F1_210903_ZMB	F1	ZMB	SRTP_F1_210903	Tenericutes	0	64288	0
SRTP_A_F1_211203_ZHMW	F1	ZHMW	SRTP_F1_211203	Actinobacteria	46	31512	0.00145976136075146
SRTP_A_F1_211203_ZHMW	F1	ZHMW	SRTP_F1_211203	Bacteroidetes	447	31512	0.0141850723533892
SRTP_A_F1_211203_ZHMW	F1	ZHMW	SRTP_F1_211203	Cyanobacteria	0	31512	0
SRTP_A_F1_211203_ZHMW	F1	ZHMW	SRTP_F1_211203	Deferribacteres	0	31512	0
SRTP_A_F1_211203_ZHMW	F1	ZHMW	SRTP_F1_211203	Firmicutes	24804	31512	0.787128712871287
SRTP_A_F1_211203_ZHMW	F1	ZHMW	SRTP_F1_211203	Fusobacteria	809	31512	0.0256727595836507
SRTP_A_F1_211203_ZHMW	F1	ZHMW	SRTP_F1_211203	Proteobacteria	5406	31512	0.171553693830922
SRTP_A_F1_211203_ZHMW	F1	ZHMW	SRTP_F1_211203	Synergistetes	0	31512	0
SRTP_A_F1_211203_ZHMW	F1	ZHMW	SRTP_F1_211203	Tenericutes	0	31512	0
SRTP_A_F1_211203_ZMB	F1	ZMB	SRTP_F1_211203	Actinobacteria	25	55110	0.000453638178189076
SRTP_A_F1_211203_ZMB	F1	ZMB	SRTP_F1_211203	Bacteroidetes	104	55110	0.00188713482126656
SRTP_A_F1_211203_ZMB	F1	ZMB	SRTP_F1_211203	Cyanobacteria	0	55110	0
SRTP_A_F1_211203_ZMB	F1	ZMB	SRTP_F1_211203	Deferribacteres	0	55110	0
SRTP_A_F1_211203_ZMB	F1	ZMB	SRTP_F1_211203	Firmicutes	50992	55110	0.925276719288695
SRTP_A_F1_211203_ZMB	F1	ZMB	SRTP_F1_211203	Fusobacteria	214	55110	0.00388314280529849
SRTP_A_F1_211203_ZMB	F1	ZMB	SRTP_F1_211203	Proteobacteria	3775	55110	0.0684993649065505
SRTP_A_F1_211203_ZMB	F1	ZMB	SRTP_F1_211203	Synergistetes	0	55110	0
SRTP_A_F1_211203_ZMB	F1	ZMB	SRTP_F1_211203	Tenericutes	0	55110	0
SRTP_A_F2_210316_ZHMW	F2	ZHMW	SRTP_F2_210316	Actinobacteria	2171	67709	0.0320636842960315
SRTP_A_F2_210316_ZHMW	F2	ZHMW	SRTP_F2_210316	Bacteroidetes	5535	67709	0.0817468874152624
SRTP_A_F2_210316_ZHMW	F2	ZHMW	SRTP_F2_210316	Cyanobacteria	0	67709	0
SRTP_A_F2_210316_ZHMW	F2	ZHMW	SRTP_F2_210316	Deferribacteres	0	67709	0
SRTP_A_F2_210316_ZHMW	F2	ZHMW	SRTP_F2_210316	Firmicutes	59178	67709	0.874004932874507
SRTP_A_F2_210316_ZHMW	F2	ZHMW	SRTP_F2_210316	Fusobacteria	337	67709	0.00497718176313341
SRTP_A_F2_210316_ZHMW	F2	ZHMW	SRTP_F2_210316	Proteobacteria	488	67709	0.00720731365106559
SRTP_A_F2_210316_ZHMW	F2	ZHMW	SRTP_F2_210316	Synergistetes	0	67709	0
SRTP_A_F2_210316_ZHMW	F2	ZHMW	SRTP_F2_210316	Tenericutes	0	67709	0
SRTP_A_F2_210316_ZMB	F2	ZMB	SRTP_F2_210316	Actinobacteria	741	107453	0.00689603826789387
SRTP_A_F2_210316_ZMB	F2	ZMB	SRTP_F2_210316	Bacteroidetes	275	107453	0.00255925846649233
SRTP_A_F2_210316_ZMB	F2	ZMB	SRTP_F2_210316	Cyanobacteria	0	107453	0
SRTP_A_F2_210316_ZMB	F2	ZMB	SRTP_F2_210316	Deferribacteres	0	107453	0
SRTP_A_F2_210316_ZMB	F2	ZMB	SRTP_F2_210316	Firmicutes	105838	107453	0.984970173005872
SRTP_A_F2_210316_ZMB	F2	ZMB	SRTP_F2_210316	Fusobacteria	296	107453	0.0027546927493881
SRTP_A_F2_210316_ZMB	F2	ZMB	SRTP_F2_210316	Proteobacteria	303	107453	0.00281983751035336
SRTP_A_F2_210316_ZMB	F2	ZMB	SRTP_F2_210316	Synergistetes	0	107453	0
SRTP_A_F2_210316_ZMB	F2	ZMB	SRTP_F2_210316	Tenericutes	0	107453	0
SRTP_A_F2_210401_ZHMW	F2	ZHMW	SRTP_F2_210401	Actinobacteria	0	33765	0
SRTP_A_F2_210401_ZHMW	F2	ZHMW	SRTP_F2_210401	Bacteroidetes	2245	33765	0.0664889678661336
SRTP_A_F2_210401_ZHMW	F2	ZHMW	SRTP_F2_210401	Cyanobacteria	0	33765	0
SRTP_A_F2_210401_ZHMW	F2	ZHMW	SRTP_F2_210401	Deferribacteres	0	33765	0
SRTP_A_F2_210401_ZHMW	F2	ZHMW	SRTP_F2_210401	Firmicutes	27994	33765	0.829083370353917
SRTP_A_F2_210401_ZHMW	F2	ZHMW	SRTP_F2_210401	Fusobacteria	3123	33765	0.0924922256774767
SRTP_A_F2_210401_ZHMW	F2	ZHMW	SRTP_F2_210401	Proteobacteria	403	33765	0.011935436102473
SRTP_A_F2_210401_ZHMW	F2	ZHMW	SRTP_F2_210401	Synergistetes	0	33765	0
SRTP_A_F2_210401_ZHMW	F2	ZHMW	SRTP_F2_210401	Tenericutes	0	33765	0
SRTP_A_F2_210401_ZMB	F2	ZMB	SRTP_F2_210401	Actinobacteria	194	39318	0.0049341268630144
SRTP_A_F2_210401_ZMB	F2	ZMB	SRTP_F2_210401	Bacteroidetes	1180	39318	0.0300116994760669
SRTP_A_F2_210401_ZMB	F2	ZMB	SRTP_F2_210401	Cyanobacteria	0	39318	0
SRTP_A_F2_210401_ZMB	F2	ZMB	SRTP_F2_210401	Deferribacteres	0	39318	0
SRTP_A_F2_210401_ZMB	F2	ZMB	SRTP_F2_210401	Firmicutes	36567	39318	0.930032046390966
SRTP_A_F2_210401_ZMB	F2	ZMB	SRTP_F2_210401	Fusobacteria	1310	39318	0.0333180731471591
SRTP_A_F2_210401_ZMB	F2	ZMB	SRTP_F2_210401	Proteobacteria	67	39318	0.00170405412279363
SRTP_A_F2_210401_ZMB	F2	ZMB	SRTP_F2_210401	Synergistetes	0	39318	0
SRTP_A_F2_210401_ZMB	F2	ZMB	SRTP_F2_210401	Tenericutes	0	39318	0
SRTP_A_F2_210413_ZHMW	F2	ZHMW	SRTP_F2_210413	Actinobacteria	39	64798	0.000601870428099633
SRTP_A_F2_210413_ZHMW	F2	ZHMW	SRTP_F2_210413	Bacteroidetes	3795	64798	0.0585666224266181
SRTP_A_F2_210413_ZHMW	F2	ZHMW	SRTP_F2_210413	Cyanobacteria	0	64798	0
SRTP_A_F2_210413_ZHMW	F2	ZHMW	SRTP_F2_210413	Deferribacteres	0	64798	0
SRTP_A_F2_210413_ZHMW	F2	ZHMW	SRTP_F2_210413	Firmicutes	47525	64798	0.733433130652181
SRTP_A_F2_210413_ZHMW	F2	ZHMW	SRTP_F2_210413	Fusobacteria	12998	64798	0.200592610883052
SRTP_A_F2_210413_ZHMW	F2	ZHMW	SRTP_F2_210413	Proteobacteria	441	64798	0.00680576561004969
SRTP_A_F2_210413_ZHMW	F2	ZHMW	SRTP_F2_210413	Synergistetes	0	64798	0
SRTP_A_F2_210413_ZHMW	F2	ZHMW	SRTP_F2_210413	Tenericutes	0	64798	0
SRTP_A_F2_210413_ZMB	F2	ZMB	SRTP_F2_210413	Actinobacteria	304	50710	0.00599487280615263
SRTP_A_F2_210413_ZMB	F2	ZMB	SRTP_F2_210413	Bacteroidetes	615	50710	0.0121277854466575
SRTP_A_F2_210413_ZMB	F2	ZMB	SRTP_F2_210413	Cyanobacteria	0	50710	0
SRTP_A_F2_210413_ZMB	F2	ZMB	SRTP_F2_210413	Deferribacteres	0	50710	0
SRTP_A_F2_210413_ZMB	F2	ZMB	SRTP_F2_210413	Firmicutes	47723	50710	0.941096430684283
SRTP_A_F2_210413_ZMB	F2	ZMB	SRTP_F2_210413	Fusobacteria	1988	50710	0.0392033129560245
SRTP_A_F2_210413_ZMB	F2	ZMB	SRTP_F2_210413	Proteobacteria	80	50710	0.00157759810688227
SRTP_A_F2_210413_ZMB	F2	ZMB	SRTP_F2_210413	Synergistetes	0	50710	0
SRTP_A_F2_210413_ZMB	F2	ZMB	SRTP_F2_210413	Tenericutes	0	50710	0
SRTP_A_F2_210705_ZHMW	F2	ZHMW	SRTP_F2_210705	Actinobacteria	60	42752	0.00140344311377246
SRTP_A_F2_210705_ZHMW	F2	ZHMW	SRTP_F2_210705	Bacteroidetes	3037	42752	0.0710376122754491
SRTP_A_F2_210705_ZHMW	F2	ZHMW	SRTP_F2_210705	Cyanobacteria	0	42752	0
SRTP_A_F2_210705_ZHMW	F2	ZHMW	SRTP_F2_210705	Deferribacteres	0	42752	0
SRTP_A_F2_210705_ZHMW	F2	ZHMW	SRTP_F2_210705	Firmicutes	9474	42752	0.221603667664671
SRTP_A_F2_210705_ZHMW	F2	ZHMW	SRTP_F2_210705	Fusobacteria	29786	42752	0.696715943113773
SRTP_A_F2_210705_ZHMW	F2	ZHMW	SRTP_F2_210705	Proteobacteria	395	42752	0.00923933383233533
SRTP_A_F2_210705_ZHMW	F2	ZHMW	SRTP_F2_210705	Synergistetes	0	42752	0
SRTP_A_F2_210705_ZHMW	F2	ZHMW	SRTP_F2_210705	Tenericutes	0	42752	0
SRTP_A_F2_210705_ZMB	F2	ZMB	SRTP_F2_210705	Actinobacteria	912	95175	0.00958234830575256
SRTP_A_F2_210705_ZMB	F2	ZMB	SRTP_F2_210705	Bacteroidetes	425	95175	0.00446545836616759
SRTP_A_F2_210705_ZMB	F2	ZMB	SRTP_F2_210705	Cyanobacteria	0	95175	0
SRTP_A_F2_210705_ZMB	F2	ZMB	SRTP_F2_210705	Deferribacteres	0	95175	0
SRTP_A_F2_210705_ZMB	F2	ZMB	SRTP_F2_210705	Firmicutes	89131	95175	0.936495928552666
SRTP_A_F2_210705_ZMB	F2	ZMB	SRTP_F2_210705	Fusobacteria	4584	95175	0.0481639085894405
SRTP_A_F2_210705_ZMB	F2	ZMB	SRTP_F2_210705	Proteobacteria	123	95175	0.00129235618597321
SRTP_A_F2_210705_ZMB	F2	ZMB	SRTP_F2_210705	Synergistetes	0	95175	0
SRTP_A_F2_210705_ZMB	F2	ZMB	SRTP_F2_210705	Tenericutes	0	95175	0
SRTP_A_F3_210317_ZHMW	F3	ZHMW	SRTP_F3_210317	Actinobacteria	217	61851	0.00350843155324894
SRTP_A_F3_210317_ZHMW	F3	ZHMW	SRTP_F3_210317	Bacteroidetes	15	61851	0.000242518310132415
