DNA_isolation_method	n_samples	mean_reads	sd_reads	mean_total_bases	sd_total_bases	mean_read_length	sd_read_length	mean_max_read_len	mean_min_read_len	mean_Q	sd_Q
ZHMW	40	71357.7	42201.2005371824	110164242.2	65297862.6056163	1542.18674112461	19.9563598535872	5266.6	120.425	18.7326544729481	0.658334931581053
ZMB	40	70678.05	27448.267439555	108452755	42599351.0928394	1531.89997435408	22.4473004018242	5420.35	115.2	19.3330514294471	0.605775357664229
