Filename	Count	Bases	Mean	Median	SD	Min	Max
SRTP_A_F3_211003_ZMB	60656	93025714	1533.660545	1566	227.435063	119	4786
SRTP_A_F3_210317_ZMB	94926	150807161	1588.681299	1622	210.584523	102	7102
SRTP_A_F3_211203_ZMB	56908	87792216	1542.704295	1577	224.496658	109	4729
SRTP_A_F4_210413_ZMB	63410	97659365	1540.125611	1574	217.229685	101	3850
SRTP_A_F4_211203_ZMB	51059	78591566	1539.23042	1574	205.048444	140	3315
SRTP_A_F3_210704_ZHMW	132552	199530497	1505.299784	1569	242.056268	138	6299
SRTP_A_M1_210412_ZMB	51410	79470630	1545.820463	1578	210.143222	141	6019
SRTP_A_M1_210317_ZHMW	60579	93645473	1545.840522	1567	179.5743	138	4767
SRTP_A_F4_211203_ZHMW	69401	105723888	1523.377012	1571	230.422442	117	6339
SRTP_A_F3_210803_ZHMW	111529	174887096	1568.086291	1587	199.57256	108	6326
SRTP_A_F3_210704_ZMB	116984	180106265	1539.580327	1570	207.908246	104	4794
SRTP_A_F3_211003_ZHMW	112393	173909162	1547.330901	1574	199.710528	104	5438
SRTP_A_M1_210415_ZMB	62302	96763846	1553.14189	1579	202.874247	116	4821
SRTP_A_M1_210903_ZMB	62622	96725123	1544.586934	1578	222.877371	125	6422
SRTP_A_M1_210415_ZHMW	77937	121538296	1559.442832	1584	193.565844	114	6758
SRTP_A_M2_210317_ZHMW	33960	52349478	1541.504064	1570	202.552219	114	4749
SRTP_A_F3_211203_ZHMW	136981	211985447	1547.553653	1568	195.465768	126	5398
SRTP_A_M1_210317_ZMB	103129	158152332	1533.538888	1565	210.234144	111	4767
SRTP_A_F4_210704_ZMB	121264	188184969	1551.861797	1575	199.25884	102	5123
SRTP_A_M2_210415_ZHMW	37630	58227887	1547.379405	1575	207.583113	98	9249
SRTP_A_M1_210705_ZHMW	92530	143903393	1555.207965	1579	196.406539	108	4627
SRTP_A_M2_210330_ZMB	40358	61826935	1531.962312	1567	205.29567	93	6638
SRTP_A_M2_210330_ZHMW	46080	67240629	1459.215039	1561	307.006203	144	4663
SRTP_A_M2_210317_ZMB	52511	79033446	1505.083621	1568	252.547682	137	4565
SRTP_A_M2_210704_ZHMW	40675	63255317	1555.139939	1580	185.684041	140	4024
SRTP_A_F4_210413_ZHMW	163624	254049818	1552.643976	1581	186.317831	106	6030
SRTP_A_M1_210903_ZHMW	116742	181347326	1553.402597	1581	202.233861	117	4766
SRTP_A_F2_210213_ZMB	272750	419438877	1537.814398	1586	220.760288	126	28647
SRTP_A_M2_210803_ZHMW	55023	84067840	1527.867256	1579	242.090717	113	4949
SRTP_A_M1_210705_ZMB	136628	206045979	1508.080181	1574	269.142725	103	4873
SRTP_A_M2_210803_ZMB	57102	87818307	1537.919985	1572	211.805314	103	13020
SRTP_A_F1_211012_ZMB	281164	438397646	1559.223962	1585	175.928366	114	4581
SRTP_A_F2_210728_ZMB	254702	364651897	1431.68054	1562	350.39483	125	24890
SRTP_A_M2_211203_ZMB	50053	75604091	1510.48071	1569	236.978023	126	3501
SRTP_A_F3_210426_ZMB	244659	378914550	1548.745601	1582	184.093633	105	4726
SRTP_A_M1_210412_ZHMW	175244	271567686	1549.654687	1577	181.767787	124	4746
