sample	biosample	DNA_isolation_method	project	sample_accession	secondary_sample_accession	Sex	Date	Sample_name	Dog	Read count
SRTP_A_M1_210317_ZHMW	ERR13927413	ZHMW	PRJEB82097	SAMEA116348872	ERS21409549	M	210317	M1_210317	M1	60579
SRTP_A_M1_210317_ZMB	ERR13927414	ZMB	PRJEB82097	SAMEA116348873	ERS21409550	M	210317	M1_210317	M1	103129
SRTP_A_M1_210412_ZHMW	ERR13927415	ZHMW	PRJEB82097	SAMEA116348874	ERS21409551	M	210412	M1_210412	M1	175244
SRTP_A_M1_210412_ZMB	ERR13927416	ZMB	PRJEB82097	SAMEA116348875	ERS21409552	M	210412	M1_210412	M1	51410
SRTP_A_M1_210415_ZHMW	ERR13927418	ZHMW	PRJEB82097	SAMEA116348876	ERS21409553	M	210415	M1_210415	M1	77937
SRTP_A_M1_210415_ZMB	ERR13927419	ZMB	PRJEB82097	SAMEA116348877	ERS21409554	M	210415	M1_210415	M1	62302
SRTP_A_M1_210705_ZHMW	ERR13927420	ZHMW	PRJEB82097	SAMEA116348878	ERS21409555	M	210705	M1_210705	M1	92530
SRTP_A_M1_210705_ZMB	ERR13927421	ZMB	PRJEB82097	SAMEA116348879	ERS21409556	M	210705	M1_210705	M1	136628
SRTP_A_M1_210903_ZHMW	ERR13927423	ZHMW	PRJEB82097	SAMEA116348881	ERS21409558	M	210903	M1_210903	M1	116742
SRTP_A_M1_210903_ZMB	ERR13927424	ZMB	PRJEB82097	SAMEA116348882	ERS21409559	M	210903	M1_210903	M1	62622
SRTP_A_F1_210317_ZHMW	ERR13926669	ZHMW	PRJEB82097	SAMEA116348888	ERS21409565	F	210317	F1_210317	F1	67692
SRTP_A_F1_210317_ZMB	ERR13926672	ZMB	PRJEB82097	SAMEA116348889	ERS21409566	F	210317	F1_210317	F1	97297
SRTP_A_F1_210330_ZHMW	ERR13926673	ZHMW	PRJEB82097	SAMEA116348890	ERS21409567	F	210330	F1_210330	F1	123820
SRTP_A_F1_210330_ZMB	ERR13926674	ZMB	PRJEB82097	SAMEA116348891	ERS21409568	F	210330	F1_210330	F1	53261
SRTP_A_F1_210415_ZHMW	ERR13926677	ZHMW	PRJEB82097	SAMEA116348892	ERS21409569	F	210415	F1_210415	F1	103053
SRTP_A_F1_210415_ZMB	ERR13926678	ZMB	PRJEB82097	SAMEA116348893	ERS21409570	F	210415	F1_210415	F1	66759
SRTP_A_F1_210705_ZHMW	ERR13926681	ZHMW	PRJEB82097	SAMEA116348895	ERS21409572	F	210705	F1_210705	F1	40346
SRTP_A_F1_210705_ZMB	ERR13926682	ZMB	PRJEB82097	SAMEA116348896	ERS21409573	F	210705	F1_210705	F1	99080
SRTP_A_F1_210903_ZHMW	ERR13926688	ZHMW	PRJEB82097	SAMEA116348899	ERS21409576	F	210903	F1_210903	F1	70212
SRTP_A_F1_210903_ZMB	ERR13926690	ZMB	PRJEB82097	SAMEA116348900	ERS21409577	F	210903	F1_210903	F1	64480
SRTP_A_F1_211203_ZHMW	ERR13926705	ZHMW	PRJEB82097	SAMEA116348904	ERS21409581	F	211203	F1_211203	F1	31756
SRTP_A_F1_211203_ZMB	ERR13926708	ZMB	PRJEB82097	SAMEA116348905	ERS21409582	F	211203	F1_211203	F1	55190
SRTP_A_F2_210316_ZHMW	ERR13927192	ZHMW	PRJEB82097	SAMEA116348907	ERS21409584	F	210316	F2_210316	F2	67907
SRTP_A_F2_210316_ZMB	ERR13927194	ZMB	PRJEB82097	SAMEA116348908	ERS21409585	F	210316	F2_210316	F2	107528
SRTP_A_F2_210401_ZHMW	ERR13927195	ZHMW	PRJEB82097	SAMEA116348909	ERS21409586	F	210401	F2_210401	F2	37067
SRTP_A_F2_210401_ZMB	ERR13927196	ZMB	PRJEB82097	SAMEA116348910	ERS21409587	F	210401	F2_210401	F2	40535
SRTP_A_F2_210413_ZHMW	ERR13927197	ZHMW	PRJEB82097	SAMEA116348911	ERS21409588	F	210413	F2_210413	F2	65379
SRTP_A_F2_210413_ZMB	ERR13927199	ZMB	PRJEB82097	SAMEA116348912	ERS21409589	F	210413	F2_210413	F2	50853
SRTP_A_F2_210705_ZHMW	ERR13927209	ZHMW	PRJEB82097	SAMEA116348915	ERS21409592	F	210705	F2_210705	F2	42808
SRTP_A_F2_210705_ZMB	ERR13927211	ZMB	PRJEB82097	SAMEA116348916	ERS21409593	F	210705	F2_210705	F2	95265
SRTP_A_M4_210317_ZHMW	ERR13927572	ZHMW	PRJEB82097	SAMEA116348926	ERS21409603	M	210317	M4_210317	M4	32503
SRTP_A_M4_210317_ZMB	ERR13927573	ZMB	PRJEB82097	SAMEA116348927	ERS21409604	M	210317	M4_210317	M4	50560
SRTP_A_M4_210401_ZHMW	ERR13927574	ZHMW	PRJEB82097	SAMEA116348928	ERS21409605	M	210401	M4_210401	M4	28281
SRTP_A_M4_210401_ZMB	ERR13927575	ZMB	PRJEB82097	SAMEA116348929	ERS21409606	M	210401	M4_210401	M4	51099
SRTP_A_M4_210704_ZHMW	ERR13927576	ZHMW	PRJEB82097	SAMEA116348930	ERS21409607	M	210704	M4_210704	M4	24370
SRTP_A_M4_210704_ZMB	ERR13927577	ZMB	PRJEB82097	SAMEA116348931	ERS21409608	M	210704	M4_210704	M4	118846
SRTP_A_M4_210803_ZHMW	ERR13927579	ZHMW	PRJEB82097	SAMEA116348932	ERS21409609	M	210803	M4_210803	M4	49550
SRTP_A_M4_210803_ZMB	ERR13927580	ZMB	PRJEB82097	SAMEA116348933	ERS21409610	M	210803	M4_210803	M4	61809
SRTP_A_M2_210317_ZHMW	ERR13927437	ZHMW	PRJEB82097	SAMEA116348942	ERS21409619	M	210317	M2_210317	M2	33960
SRTP_A_M2_210317_ZMB	ERR13927439	ZMB	PRJEB82097	SAMEA116348943	ERS21409620	M	210317	M2_210317	M2	52511
SRTP_A_M2_210330_ZHMW	ERR13927441	ZHMW	PRJEB82097	SAMEA116348944	ERS21409621	M	210330	M2_210330	M2	46080
SRTP_A_M2_210330_ZMB	ERR13927442	ZMB	PRJEB82097	SAMEA116348945	ERS21409622	M	210330	M2_210330	M2	40358
SRTP_A_M2_210415_ZHMW	ERR13927443	ZHMW	PRJEB82097	SAMEA116348946	ERS21409623	M	210415	M2_210415	M2	37630
SRTP_A_M2_210415_ZMB	ERR13927444	ZMB	PRJEB82097	SAMEA116348947	ERS21409624	M	210415	M2_210415	M2	120688
SRTP_A_M2_210704_ZHMW	ERR13927445	ZHMW	PRJEB82097	SAMEA116348948	ERS21409625	M	210704	M2_210704	M2	40675
SRTP_A_M2_210704_ZMB	ERR13927447	ZMB	PRJEB82097	SAMEA116348949	ERS21409626	M	210704	M2_210704	M2	100863
SRTP_A_M2_210803_ZHMW	ERR13927466	ZHMW	PRJEB82097	SAMEA116348951	ERS21409628	M	210803	M2_210803	M2	55023
SRTP_A_M2_210803_ZMB	ERR13927467	ZMB	PRJEB82097	SAMEA116348952	ERS21409629	M	210803	M2_210803	M2	57102
SRTP_A_M2_211203_ZHMW	ERR13927494	ZHMW	PRJEB82097	SAMEA116348958	ERS21409635	M	211203	M2_211203	M2	67395
SRTP_A_M2_211203_ZMB	ERR13927495	ZMB	PRJEB82097	SAMEA116348959	ERS21409636	M	211203	M2_211203	M2	50053
SRTP_A_F3_210317_ZHMW	ERR13927298	ZHMW	PRJEB82097	SAMEA116348964	ERS21409641	F	210317	F3_210317	F3	61883
